scophthalmus_maximus ENSSMAG00000007011
cynoglossus_semilaevis ENSCSEG00000003347
gasterosteus_aculeatus ENSGACG00000000825
periophthalmus_magnuspinnatus ENSPMGG00000005121
anabas_testudineus ENSATEG00000002656
mola_mola ENSMMOG00000019555
kryptolebias_marmoratus ENSKMAG00000012949
cyprinodon_variegatus ENSCVAG00000020379
oryzias_latipes ENSORLG00020017767
oryzias_latipes_asm223469v1 ENSORLG00015020324
oryzias_latipes ENSORLG00000009325
labrus_bergylta ENSLBEG00000015426
mastacembelus_armatus ENSMAMG00000020221
acanthochromis_polyacanthus ENSAPOG00000004195
acanthochromis_polyacanthus ENSAPOG00000012389
acanthochromis_polyacanthus ENSAPOG00000012991
amphiprion_ocellaris ENSAOCG00000013097
amphiprion_percula ENSAPEG00000001738
stegastes_partitus ENSSPAG00000016008
amphilophus_citrinellus ENSACIG00000003727
pundamilia_nyererei ENSPNYG00000011629
xiphophorus_maculatus ENSXMAG00000024770
xiphophorus_couchianus ENSXCOG00000018501
gambusia_affinis ENSGAFG00000002672
poecilia_formosa ENSPFOG00000017314
poecilia_mexicana ENSPMEG00000014692
poecilia_latipinna ENSPLAG00000021574
poecilia_reticulata ENSPREG00000002284
fundulus_heteroclitus ENSFHEG00000016702
monopterus_albus ENSMALG00000003246
tetraodon_nigroviridis ENSTNIG00000015691
takifugu_rubripes ENSTRUG00000015045
labrus_bergylta ENSLBEG00000010401
maylandia_zebra ENSMZEG00005018953
astatotilapia_calliptera ENSACLG00000019421
haplochromis_burtoni ENSHBUG00000012683
neolamprologus_brichardi ENSNBRG00000022308
oreochromis_niloticus ENSONIG00000017017
oryzias_melastigma ENSOMEG00000017760
seriola_lalandi_dorsalis ENSSLDG00000012691
seriola_dumerili ENSSDUG00000012715
esox_lucius ENSELUG00000009203
peromyscus_maniculatus_bairdii ENSPEMG00000030210
scleropages_formosus ENSSFOG00015002107
paramormyrops_kingsleyae ENSPKIG00000019544
lepisosteus_oculatus ENSLOCG00000010617
gadus_morhua ENSGMOG00000000790
hippocampus_comes ENSHCOG00000017074
pygocentrus_nattereri ENSPNAG00000019540
astyanax_mexicanus ENSAMXG00000038584
ictalurus_punctatus ENSIPUG00000015922
danio_rerio ENSDARG00000100651
apteryx_rowi ENSARWG00000008238
apteryx_owenii ENSAOWG00000007172
apteryx_haastii ENSAHAG00000014197
dromaius_novaehollandiae ENSDNVG00000018363
nothoprocta_perdicaria ENSNPEG00000001147
anser_brachyrhynchus ENSABRG00000011268
anas_platyrhynchos_platyrhynchos ENSAPLG00000016296
melopsittacus_undulatus ENSMUNG00000013057
calidris_pygmaea ENSCPGG00000017549
calidris_pugnax ENSCPUG00000004534
lonchura_striata_domestica ENSLSDG00000016518
serinus_canaria ENSSCAG00000000010
cyanistes_caeruleus ENSCCEG00000020890
ficedula_albicollis ENSFALG00000003850
taeniopygia_guttata ENSTGUG00000010036
zonotrichia_albicollis ENSZALG00000009536
junco_hyemalis ENSJHYG00000018289
lepidothrix_coronata ENSLCOG00000015071
manacus_vitellinus ENSMVIG00005017878
parus_major ENSPMJG00000015192
meleagris_gallopavo ENSMGAG00000014798
gallus_gallus ENSGALG00000016772
coturnix_japonica ENSCJPG00005001272
numida_meleagris ENSNMEG00000017629
crocodylus_porosus ENSCPRG00005012308
gopherus_agassizii ENSGAGG00000007180
chelonoidis_abingdonii ENSCABG00000005848
chrysemys_picta_bellii ENSCPBG00000007327
pelodiscus_sinensis ENSPSIG00000007534
anolis_carolinensis ENSACAG00000008081
notechis_scutatus ENSNSUG00000002289
salvator_merianae ENSSMRG00000021512
pogona_vitticeps ENSPVIG00000010392
sphenodon_punctatus ENSSPUG00000009482
ursus_maritimus ENSUMAG00000007729
ursus_americanus ENSUAMG00000010417
ailuropoda_melanoleuca ENSAMEG00000015651
neovison_vison ENSNVIG00000020724
mustela_putorius_furo ENSMPUG00000012114
canis_lupus_familiaris ENSCAFG00000002226
canis_lupus_dingo ENSCAFG00020024584
vulpes_vulpes ENSVVUG00000028679
panthera_tigris_altaica ENSPTIG00000017144
panthera_pardus ENSPPRG00000016470
felis_catus ENSFCAG00000042131
myotis_lucifugus ENSMLUG00000016446
equus_caballus ENSECAG00000015752
equus_asinus_asinus ENSEASG00005018283
ovis_aries ENSOARG00000013299
capra_hircus ENSCHIG00000013469
bos_mutus ENSBMUG00000022050
bos_taurus ENSBTAG00000009962
bison_bison_bison ENSBBBG00000022953
