meleagris_gallopavo ENSMGAG00000002736
numida_meleagris ENSNMEG00000007179
manacus_vitellinus ENSMVIG00005011060
melopsittacus_undulatus ENSMUNG00000015698
lepidothrix_coronata ENSLCOG00000002453
gallus_gallus ENSGALG00000035387
coturnix_japonica ENSCJPG00005010123
anas_platyrhynchos ENSAPLG00000008351
dromaius_novaehollandiae ENSDNVG00000015291
calidris_pygmaea ENSCPGG00000012345
calidris_pugnax ENSCPUG00000010144
cyanistes_caeruleus ENSCCEG00000018738
parus_major ENSPMJG00000014084
anser_brachyrhynchus ENSABRG00000006900
apteryx_haastii ENSAHAG00000018980
apteryx_owenii ENSAOWG00000000063
apteryx_rowi ENSARWG00000002866
crocodylus_porosus ENSCPRG00005000475
gopherus_agassizii ENSGAGG00000023353
chelonoidis_abingdonii ENSCABG00000000573
chrysemys_picta ENSCPBG00000022924
pelodiscus_sinensis ENSPSIG00000003901
anolis_carolinensis ENSACAG00000027626
notechis_scutatus ENSNSUG00000012344
sphenodon_punctatus ENSSPUG00000016942
pogona_vitticeps ENSPVIG00000022896
salvator_merianae ENSSMRG00000009086
xenopus_tropicalis ENSXETG00000007884
latimeria_chalumnae ENSLACG00000019143
taeniopygia_guttata ENSTGUG00000003081
serinus_canaria ENSSCAG00000017315
ficedula_albicollis ENSFALG00000009354
lonchura_striata ENSLSDG00000005614
zonotrichia_albicollis ENSZALG00000008730
phascolarctos_cinereus ENSPCIG00000007738
vombatus_ursinus ENSVURG00010023637
sarcophilus_harrisii ENSSHAG00000009625
cavia_aperea ENSCAPG00000013836
cavia_porcellus ENSCPOG00000035205
chinchilla_lanigera ENSCLAG00000004451
heterocephalus_glaber ENSHGLG00000017381
urocitellus_parryii ENSUPAG00010016492
mus_spretus MGP_SPRETEiJ_G0027893
mus_musculus ENSMUSG00000084845
mus_caroli MGP_CAROLIEiJ_G0026899
mus_pahari MGP_PahariEiJ_G0029247
rattus_norvegicus ENSRNOG00000042211
meriones_unguiculatus ENSMUGG00000003093
cricetulus_griseus ENSCGRG00000015679
cricetulus_griseus ENSCGRG00001016338
mesocricetus_auratus ENSMAUG00000021989
peromyscus_maniculatus ENSPEMG00000007684
microtus_ochrogaster ENSMOCG00000018287
jaculus_jaculus ENSJJAG00000018935
castor_canadensis ENSCCNG00000010819
propithecus_coquereli ENSPCOG00000014392
microcebus_murinus ENSMICG00000029887
prolemur_simus ENSPSMG00000013341
otolemur_garnettii ENSOGAG00000030103
papio_anubis ENSPANG00000014200
cercocebus_atys ENSCATG00000036537
chlorocebus_sabaeus ENSCSAG00000000693
theropithecus_gelada ENSTGEG00000011624
macaca_fascicularis ENSMFAG00000001305
macaca_nemestrina ENSMNEG00000043465
macaca_mulatta ENSMMUG00000040140
rhinopithecus_bieti ENSRBIG00000039490
rhinopithecus_roxellana ENSRROG00000037048
colobus_angolensis ENSCANG00000039620
piliocolobus_tephrosceles ENSPTEG00000016695
pan_troglodytes ENSPTRG00000046881
pan_paniscus ENSPPAG00000035082
