zonotrichia_albicollis ENSZALG00000010567
cyanistes_caeruleus ENSCCEG00000004999
junco_hyemalis ENSJHYG00000012952
apteryx_rowi ENSARWG00000005134
nannospalax_galili ENSNGAG00000005825
heterocephalus_glaber ENSHGLG00100004269
ursus_americanus ENSUAMG00000011337
gasterosteus_aculeatus ENSGACG00000020232
notechis_scutatus ENSNSUG00000012903
notechis_scutatus ENSNSUG00000007371
pogona_vitticeps ENSPVIG00000022855
anolis_carolinensis ENSACAG00000006912
salvator_merianae ENSSMRG00000004433
sphenodon_punctatus ENSSPUG00000003428
chrysemys_picta ENSCPBG00000005984
gopherus_agassizii ENSGAGG00000009515
gallus_gallus ENSGALG00000047953
astyanax_mexicanus ENSAMXG00000038994
astyanax_mexicanus ENSAMXG00005017408
pygocentrus_nattereri ENSPNAG00000018911
electrophorus_electricus ENSEEEG00000013760
xiphophorus_couchianus ENSXCOG00000000148
pundamilia_nyererei ENSPNYG00000009463
labrus_bergylta ENSLBEG00000007729
cynoglossus_semilaevis ENSCSEG00000009971
amphilophus_citrinellus ENSACIG00000023341
seriola_lalandi ENSSLDG00000003595
periophthalmus_magnuspinnatus ENSPMGG00000000733
erpetoichthys_calabaricus ENSECRG00000010708
vombatus_ursinus ENSVURG00010000592
phascolarctos_cinereus ENSPCIG00000034657
notamacropus_eugenii ENSMEUG00000011037
sarcophilus_harrisii ENSSHAG00000017712
monodelphis_domestica ENSMODG00000016533
pan_troglodytes ENSPTRG00000007662
pan_troglodytes ENSPTRG00000042918
pan_paniscus ENSPPAG00000032551
homo_sapiens ENSG00000167978
gorilla_gorilla ENSGGOG00000015296
pongo_abelii ENSPPYG00000007012
nomascus_leucogenys ENSNLEG00000009466
papio_anubis ENSPANG00000016966
theropithecus_gelada ENSTGEG00000026056
cercocebus_atys ENSCATG00000038003
mandrillus_leucophaeus ENSMLEG00000041906
macaca_fascicularis ENSMFAG00000003406
macaca_mulatta ENSMMUG00000018858
macaca_nemestrina ENSMNEG00000042677
chlorocebus_sabaeus ENSCSAG00000010365
piliocolobus_tephrosceles ENSPTEG00000031217
colobus_angolensis ENSCANG00000029659
rhinopithecus_roxellana ENSRROG00000030979
rhinopithecus_bieti ENSRBIG00000033934
cebus_capucinus ENSCCAG00000031601
saimiri_boliviensis ENSSBOG00000024771
callithrix_jacchus ENSCJAG00000015354
aotus_nancymaae ENSANAG00000034911
carlito_syrichta ENSTSYG00000032523
propithecus_coquereli ENSPCOG00000016593
microcebus_murinus ENSMICG00000046582
prolemur_simus ENSPSMG00000017012
otolemur_garnettii ENSOGAG00000032989
castor_canadensis ENSCCNG00000018642
dipodomys_ordii ENSDORG00000027028
mus_spretus MGP_SPRETEiJ_G0022071
mus_musculus ENSMUSG00000039218
mus_spicilegus ENSMSIG00000014650
mus_caroli MGP_CAROLIEiJ_G0021161
mus_pahari MGP_PahariEiJ_G0023478
rattus_norvegicus ENSRNOG00000058561
meriones_unguiculatus ENSMUGG00000017578
microtus_ochrogaster ENSMOCG00000022507
peromyscus_maniculatus ENSPEMG00000011170
cricetulus_griseus ENSCGRG00015011604
cricetulus_griseus ENSCGRG00001012503
cricetulus_griseus ENSCGRG00000016285
mesocricetus_auratus ENSMAUG00000014041
nannospalax_galili ENSNGAG00000021633
jaculus_jaculus ENSJJAG00000023232
chinchilla_lanigera ENSCLAG00000012945
octodon_degus ENSODEG00000013605
cavia_porcellus ENSCPOG00000036716
cavia_aperea ENSCAPG00000016365
fukomys_damarensis ENSFDAG00000010890
fukomys_damarensis ENSFDAG00000006790
heterocephalus_glaber ENSHGLG00000013586
heterocephalus_glaber ENSHGLG00100003323
spermophilus_dauricus ENSSDAG00000008759
ictidomys_tridecemlineatus ENSSTOG00000025810
urocitellus_parryii ENSUPAG00010018344
marmota_marmota ENSMMMG00000008420
tupaia_belangeri ENSTBEG00000006307
pteropus_vampyrus ENSPVAG00000010772
myotis_lucifugus ENSMLUG00000014747
equus_asinus ENSEASG00005006019
equus_caballus ENSECAG00000011612
ursus_maritimus ENSUMAG00000000726
ursus_americanus ENSUAMG00000018078
ailuropoda_melanoleuca ENSAMEG00000018018
neovison_vison ENSNVIG00000023225
mustela_putorius ENSMPUG00000015264
canis_lupus ENSCAFG00000019346
canis_lupus ENSCAFG00020025919
vulpes_vulpes ENSVVUG00000008770
panthera_pardus ENSPPRG00000011722
panthera_tigris ENSPTIG00000018000
felis_catus ENSFCAG00000004709
bos_indicus ENSBIXG00000029726
bos_indicus ENSBIXG00005008234
bos_taurus ENSBTAG00000012683
bos_mutus ENSBMUG00000014631
bison_bison ENSBBBG00000022934
capra_hircus ENSCHIG00000011257
ovis_aries ENSOARG00000000491
tursiops_truncatus ENSTTRG00000015432
sus_scrofa ENSSSCG00000023304
erinaceus_europaeus ENSEEUG00000014137
sorex_araneus ENSSARG00000013728
oryctolagus_cuniculus ENSOCUG00000014415
ochotona_princeps ENSOPRG00000016657
dasypus_novemcinctus ENSDNOG00000048469
loxodonta_africana ENSLAFG00000000624
procavia_capensis ENSPCAG00000009687
echinops_telfairi ENSETEG00000019959
ornithorhynchus_anatinus ENSOANG00000002650
