canis_lupus_familiaris ENSCAFG00000030484
canis_lupus_dingo ENSCAFG00020018841
vulpes_vulpes ENSVVUG00000012328
ursus_maritimus ENSUMAG00000012556
ursus_americanus ENSUAMG00000021314
mustela_putorius_furo ENSMPUG00000011813
panthera_pardus ENSPPRG00000010848
panthera_tigris_altaica ENSPTIG00000016702
felis_catus ENSFCAG00000037637
bos_mutus ENSBMUG00000022378
bison_bison_bison ENSBBBG00000004337
bos_taurus ENSBTAG00000031306
ovis_aries ENSOARG00000005598
capra_hircus ENSCHIG00000010958
sus_scrofa ENSSSCG00000039069
microcebus_murinus ENSMICG00000049069
prolemur_simus ENSPSMG00000005055
otolemur_garnettii ENSOGAG00000031786
macaca_mulatta ENSMMUG00000046937
rhinopithecus_bieti ENSRBIG00000036329
theropithecus_gelada ENSTGEG00000007921
piliocolobus_tephrosceles ENSPTEG00000010650
cebus_capucinus ENSCCAG00000024980
fukomys_damarensis ENSFDAG00000009233
chinchilla_lanigera ENSCLAG00000008432
oryctolagus_cuniculus ENSOCUG00000023944
loxodonta_africana ENSLAFG00000027441
