panthera_tigris_altaica ENSPTIG00000016215
panthera_pardus ENSPPRG00000015095
felis_catus ENSFCAG00000041252
rhinopithecus_bieti ENSRBIG00000038442
mus_spicilegus ENSMSIG00000003578
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019329
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018450
mus_pahari MGP_PahariEiJ_G0019518
cricetulus_griseus_chok1gshd ENSCGRG00001011065
ochotona_princeps ENSOPRG00000014356
macaca_mulatta ENSMMUG00000048993
procavia_capensis ENSPCAG00000007725
lonchura_striata_domestica ENSLSDG00000001732
