paramormyrops_kingsleyae ENSPKIG00000009861
scleropages_formosus ENSSFOG00015018574
fundulus_heteroclitus ENSFHEG00000007884
cyprinodon_variegatus ENSCVAG00000007036
poecilia_formosa ENSPFOG00000002886
poecilia_mexicana ENSPMEG00000003846
poecilia_latipinna ENSPLAG00000005258
poecilia_reticulata ENSPREG00000006353
xiphophorus_couchianus ENSXCOG00000008748
xiphophorus_maculatus ENSXMAG00000025063
gambusia_affinis ENSGAFG00000012081
kryptolebias_marmoratus ENSKMAG00000010813
oryzias_latipes ENSORLG00000017977
oryzias_latipes_asm223469v1 ENSORLG00015009195
oryzias_latipes ENSORLG00020012567
oryzias_melastigma ENSOMEG00000004683
amphiprion_ocellaris ENSAOCG00000004259
amphiprion_percula ENSAPEG00000004629
acanthochromis_polyacanthus ENSAPOG00000023590
stegastes_partitus ENSSPAG00000020950
monopterus_albus ENSMALG00000003357
mastacembelus_armatus ENSMAMG00000000089
anabas_testudineus ENSATEG00000018209
seriola_dumerili ENSSDUG00000003922
seriola_lalandi_dorsalis ENSSLDG00000009754
astatotilapia_calliptera ENSACLG00000012312
maylandia_zebra ENSMZEG00005002881
haplochromis_burtoni ENSHBUG00000010027
pundamilia_nyererei ENSPNYG00000017605
neolamprologus_brichardi ENSNBRG00000023917
oreochromis_niloticus ENSONIG00000012345
amphilophus_citrinellus ENSACIG00000023925
takifugu_rubripes ENSTRUG00000003477
tetraodon_nigroviridis ENSTNIG00000003048
mola_mola ENSMMOG00000021311
labrus_bergylta ENSLBEG00000003647
hippocampus_comes ENSHCOG00000013159
scophthalmus_maximus ENSSMAG00000006868
cynoglossus_semilaevis ENSCSEG00000015231
periophthalmus_magnuspinnatus ENSPMGG00000019997
esox_lucius ENSELUG00000024124
astyanax_mexicanus ENSAMXG00000039729
pygocentrus_nattereri ENSPNAG00000016257
ictalurus_punctatus ENSIPUG00000006943
danio_rerio ENSDARG00000069715
lepisosteus_oculatus ENSLOCG00000009392
latimeria_chalumnae ENSLACG00000001429
xenopus_tropicalis ENSXETG00000001935
