acanthochromis_polyacanthus ENSAPOG00000016782
amphiprion_ocellaris ENSAOCG00000005972
stegastes_partitus ENSSPAG00000023098
parambassis_ranga ENSPRNG00000008438
xiphophorus_maculatus ENSXMAG00000004692
gambusia_affinis ENSGAFG00000019651
poecilia_formosa ENSPFOG00000008673
poecilia_latipinna ENSPLAG00000008874
poecilia_mexicana ENSPMEG00000017727
poecilia_reticulata ENSPREG00000000560
fundulus_heteroclitus ENSFHEG00000006919
cyprinodon_variegatus ENSCVAG00000023101
kryptolebias_marmoratus ENSKMAG00000007957
oryzias_latipes ENSORLG00000010726
oryzias_latipes ENSORLG00020018123
oryzias_latipes ENSORLG00015012774
oryzias_melastigma ENSOMEG00000000527
seriola_lalandi ENSSLDG00000008485
seriola_dumerili ENSSDUG00000001667
anabas_testudineus ENSATEG00000016206
xiphophorus_couchianus ENSXCOG00000010160
larimichthys_crocea ENSLCRG00005018963
labrus_bergylta ENSLBEG00000000592
tetraodon_nigroviridis ENSTNIG00000005553
monopterus_albus ENSMALG00000022699
mastacembelus_armatus ENSMAMG00000001183
lates_calcarifer ENSLCAG00010010303
maylandia_zebra ENSMZEG00005017524
astatotilapia_calliptera ENSACLG00000004555
haplochromis_burtoni ENSHBUG00000013084
maylandia_zebra ENSMZEG00005001602
pundamilia_nyererei ENSPNYG00000012717
neolamprologus_brichardi ENSNBRG00000007200
oreochromis_niloticus ENSONIG00000011573
amphilophus_citrinellus ENSACIG00000021622
periophthalmus_magnuspinnatus ENSPMGG00000002230
scleropages_formosus ENSSFOG00015024012
astyanax_mexicanus ENSAMXG00000013931
astyanax_mexicanus ENSAMXG00005007313
pygocentrus_nattereri ENSPNAG00000028876
ictalurus_punctatus ENSIPUG00000017532
electrophorus_electricus ENSEEEG00000000825
danio_rerio ENSDARG00000102956
clupea_harengus ENSCHAG00000014661
denticeps_clupeoides ENSDCDG00000030548
paramormyrops_kingsleyae ENSPKIG00000019891
hucho_hucho ENSHHUG00000030207
hucho_hucho ENSHHUG00000029105
esox_lucius ENSELUG00000002620
takifugu_rubripes ENSTRUG00000025863
takifugu_rubripes ENSTRUG00000022086
xenopus_tropicalis ENSXETG00000014448
eptatretus_burgeri ENSEBUG00000012539
sphenodon_punctatus ENSSPUG00000010928
sphenodon_punctatus ENSSPUG00000010915
pogona_vitticeps ENSPVIG00000000309
anolis_carolinensis ENSACAG00000010453
notechis_scutatus ENSNSUG00000019246
salvator_merianae ENSSMRG00000000198
chelonoidis_abingdonii ENSCABG00000016329
gopherus_agassizii ENSGAGG00000004388
chrysemys_picta ENSCPBG00000008563
pelodiscus_sinensis ENSPSIG00000005228
latimeria_chalumnae ENSLACG00000022262
erpetoichthys_calabaricus ENSECRG00000009783
cavia_porcellus ENSCPOG00000039565
cavia_aperea ENSCAPG00000014880
chinchilla_lanigera ENSCLAG00000013000
octodon_degus ENSODEG00000013690
heterocephalus_glaber ENSHGLG00000019064
heterocephalus_glaber ENSHGLG00100003693
fukomys_damarensis ENSFDAG00000009548
urocitellus_parryii ENSUPAG00010018550
ictidomys_tridecemlineatus ENSSTOG00000020495
marmota_marmota ENSMMMG00000008022
mus_spicilegus ENSMSIG00000014198
mus_musculus ENSMUSG00000023903
mus_spretus MGP_SPRETEiJ_G0022058
mus_caroli MGP_CAROLIEiJ_G0021148
mus_pahari MGP_PahariEiJ_G0023465
meriones_unguiculatus ENSMUGG00000017379
cricetulus_griseus ENSCGRG00015011310
cricetulus_griseus ENSCGRG00001002540
cricetulus_griseus ENSCGRG00000005820
mesocricetus_auratus ENSMAUG00000019298
microtus_ochrogaster ENSMOCG00000002390
nannospalax_galili ENSNGAG00000011294
jaculus_jaculus ENSJJAG00000014373
castor_canadensis ENSCCNG00000018002
dipodomys_ordii ENSDORG00000005827
ochotona_princeps ENSOPRG00000005777
peromyscus_maniculatus ENSPEMG00000008475
peromyscus_maniculatus ENSPEMG00000031040
