vulpes_vulpes ENSVVUG00000004192
canis_lupus_dingo ENSCAFG00020026595
capra_hircus ENSCHIG00000019182
cricetulus_griseus_crigri ENSCGRG00000003334
cricetulus_griseus_chok1gshd ENSCGRG00001015303
cricetulus_griseus_crigri-picr ENSCGRG00015008701
cricetulus_griseus_crigri-picr ENSCGRG00015001053
peromyscus_maniculatus_bairdii ENSPEMG00000016954
mus_spicilegus ENSMSIG00000001092
marmota_marmota_marmota ENSMMMG00000001663
marmota_marmota_marmota ENSMMMG00000017022
marmota_marmota_marmota ENSMMMG00000020486
theropithecus_gelada ENSTGEG00000023477
microcebus_murinus ENSMICG00000035982
choloepus_hoffmanni ENSCHOG00000004517
