chlorocebus_sabaeus ENSCSAG00000004437
theropithecus_gelada ENSTGEG00000010264
piliocolobus_tephrosceles ENSPTEG00000015912
prolemur_simus ENSPSMG00000000165
spermophilus_dauricus ENSSDAG00000008605
marmota_marmota_marmota ENSMMMG00000005752
spermophilus_dauricus ENSSDAG00000008595
urocitellus_parryii ENSUPAG00010011542
peromyscus_maniculatus_bairdii ENSPEMG00000014507
microtus_ochrogaster ENSMOCG00000009077
cricetulus_griseus_crigri ENSCGRG00000009569
cricetulus_griseus_crigri-picr ENSCGRG00015012383
cricetulus_griseus_chok1gshd ENSCGRG00001000689
mesocricetus_auratus ENSMAUG00000002687
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030635
mus_musculus ENSMUSG00000013083
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029539
mus_pahari MGP_PahariEiJ_G0012773
rattus_norvegicus ENSRNOG00000037485
meriones_unguiculatus ENSMUGG00000013406
bos_mutus ENSBMUG00000016807
bos_taurus ENSBTAG00000049126
bison_bison_bison ENSBBBG00000006120
ovis_aries ENSOARG00000004882
sus_scrofa ENSSSCG00000002903
canis_lupus_dingo ENSCAFG00020018763
canis_lupus_familiaris ENSCAFG00000006940
vulpes_vulpes ENSVVUG00000015133
ailuropoda_melanoleuca ENSAMEG00000000502
equus_caballus ENSECAG00000028076
equus_asinus_asinus ENSEASG00005001045
