mus_musculus ENSMUSG00000054091
mus_spicilegus ENSMSIG00000016527
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026550
mus_pahari MGP_PahariEiJ_G0027044
rattus_norvegicus ENSRNOG00000014654
meriones_unguiculatus ENSMUGG00000011824
meriones_unguiculatus ENSMUGG00000025019
cricetulus_griseus_chok1gshd ENSCGRG00001012650
cricetulus_griseus_crigri-picr ENSCGRG00015002483
cricetulus_griseus_crigri ENSCGRG00000002417
mesocricetus_auratus ENSMAUG00000000301
microtus_ochrogaster ENSMOCG00000008059
peromyscus_maniculatus_bairdii ENSPEMG00000024687
jaculus_jaculus ENSJJAG00000014222
castor_canadensis ENSCCNG00000017916
chinchilla_lanigera ENSCLAG00000005064
octodon_degus ENSODEG00000009429
fukomys_damarensis ENSFDAG00000016190
cavia_porcellus ENSCPOG00000021561
oryctolagus_cuniculus ENSOCUG00000027171
ochotona_princeps ENSOPRG00000007826
prolemur_simus ENSPSMG00000012419
prolemur_simus ENSPSMG00000001857
prolemur_simus ENSPSMG00000001889
microcebus_murinus ENSMICG00000047377
propithecus_coquereli ENSPCOG00000019958
prolemur_simus ENSPSMG00000021843
macaca_fascicularis ENSMFAG00000001143
macaca_nemestrina ENSMNEG00000030057
macaca_mulatta ENSMMUG00000030179
papio_anubis ENSPANG00000018596
mandrillus_leucophaeus ENSMLEG00000033024
chlorocebus_sabaeus ENSCSAG00000003745
cercocebus_atys ENSCATG00000029489
rhinopithecus_roxellana ENSRROG00000011484
rhinopithecus_bieti ENSRBIG00000038709
colobus_angolensis_palliatus ENSCANG00000007400
colobus_angolensis_palliatus ENSCANG00000037754
piliocolobus_tephrosceles ENSPTEG00000025318
mandrillus_leucophaeus ENSMLEG00000003594
theropithecus_gelada ENSTGEG00000009567
papio_anubis ENSPANG00000029783
cercocebus_atys ENSCATG00000020614
macaca_mulatta ENSMMUG00000017075
macaca_fascicularis ENSMFAG00000024402
macaca_nemestrina ENSMNEG00000014066
rhinopithecus_roxellana ENSRROG00000024930
colobus_angolensis_palliatus ENSCANG00000028877
pan_paniscus ENSPPAG00000039685
pan_troglodytes ENSPTRG00000016398
gorilla_gorilla ENSGGOG00000006489
homo_sapiens ENSG00000164096
pongo_abelii ENSPPYG00000015026
nomascus_leucogenys ENSNLEG00000028084
callithrix_jacchus ENSCJAG00000038895
callithrix_jacchus ENSCJAG00000045160
saimiri_boliviensis_boliviensis ENSSBOG00000023534
cebus_capucinus ENSCCAG00000038103
cebus_capucinus ENSCCAG00000008865
aotus_nancymaae ENSANAG00000034334
carlito_syrichta ENSTSYG00000035945
capra_hircus ENSCHIG00000001816
capra_hircus ENSCHIG00000017837
ovis_aries ENSOARG00000000250
bos_taurus ENSBTAG00000048273
bos_mutus ENSBMUG00000004224
bison_bison_bison ENSBBBG00000022087
sus_scrofa ENSSSCG00000031773
vicugna_pacos ENSVPAG00000007122
tursiops_truncatus ENSTTRG00000002907
pteropus_vampyrus ENSPVAG00000000341
ursus_americanus ENSUAMG00000000602
ursus_maritimus ENSUMAG00000003683
ailuropoda_melanoleuca ENSAMEG00000019703
neovison_vison ENSNVIG00000012753
canis_lupus_familiaris ENSCAFG00000012457
canis_lupus_dingo ENSCAFG00020017515
canis_lupus_dingo ENSCAFG00020006780
vulpes_vulpes ENSVVUG00000008204
panthera_pardus ENSPPRG00000002293
panthera_tigris_altaica ENSPTIG00000011587
felis_catus ENSFCAG00000043946
equus_asinus_asinus ENSEASG00005009709
equus_caballus ENSECAG00000016365
loxodonta_africana ENSLAFG00000005175
procavia_capensis ENSPCAG00000015560
choloepus_hoffmanni ENSCHOG00000005841
