melopsittacus_undulatus ENSMUNG00000006043
cyanistes_caeruleus ENSCCEG00000019439
pogona_vitticeps ENSPVIG00000019878
anolis_carolinensis ENSACAG00000013123
salvator_merianae ENSSMRG00000002643
notechis_scutatus ENSNSUG00000011348
sphenodon_punctatus ENSSPUG00000018341
chelonoidis_abingdonii ENSCABG00000023178
gopherus_agassizii ENSGAGG00000013522
chrysemys_picta ENSCPBG00000019710
pelodiscus_sinensis ENSPSIG00000016030
apteryx_owenii ENSAOWG00000019460
apteryx_haastii ENSAHAG00000005100
apteryx_rowi ENSARWG00000012846
dromaius_novaehollandiae ENSDNVG00000005296
anser_brachyrhynchus ENSABRG00000005190
anas_platyrhynchos ENSAPLG00000027195
calidris_pygmaea ENSCPGG00000006050
calidris_pugnax ENSCPUG00000004137
ficedula_albicollis ENSFALG00000010549
serinus_canaria ENSSCAG00000006848
parus_major ENSPMJG00000001879
lepidothrix_coronata ENSLCOG00000002867
gallus_gallus ENSGALG00000052939
vombatus_ursinus ENSVURG00010020242
phascolarctos_cinereus ENSPCIG00000019486
notamacropus_eugenii ENSMEUG00000009550
monodelphis_domestica ENSMODG00000013113
sarcophilus_harrisii ENSSHAG00000005717
mus_spicilegus ENSMSIG00000023586
mus_spretus MGP_SPRETEiJ_G0030580
mus_musculus ENSMUSG00000030583
mus_pahari MGP_PahariEiJ_G0012717
rattus_norvegicus ENSRNOG00000020703
meriones_unguiculatus ENSMUGG00000011298
microtus_ochrogaster ENSMOCG00000017151
peromyscus_maniculatus ENSPEMG00000003548
cricetulus_griseus ENSCGRG00001017102
cricetulus_griseus ENSCGRG00015027089
cricetulus_griseus ENSCGRG00000011391
mesocricetus_auratus ENSMAUG00000003142
nannospalax_galili ENSNGAG00000002504
jaculus_jaculus ENSJJAG00000022860
castor_canadensis ENSCCNG00000026822
dipodomys_ordii ENSDORG00000004510
chinchilla_lanigera ENSCLAG00000015062
octodon_degus ENSODEG00000016468
cavia_aperea ENSCAPG00000007678
cavia_porcellus ENSCPOG00000012585
heterocephalus_glaber ENSHGLG00100017928
heterocephalus_glaber ENSHGLG00000014474
fukomys_damarensis ENSFDAG00000015993
urocitellus_parryii ENSUPAG00010011458
ictidomys_tridecemlineatus ENSSTOG00000014427
spermophilus_dauricus ENSSDAG00000005163
marmota_marmota ENSMMMG00000004070
oryctolagus_cuniculus ENSOCUG00000009410
ochotona_princeps ENSOPRG00000007818
tupaia_belangeri ENSTBEG00000001898
pan_troglodytes ENSPTRG00000010917
pan_paniscus ENSPPAG00000042170
homo_sapiens ENSG00000105738
gorilla_gorilla ENSGGOG00000006506
pongo_abelii ENSPPYG00000009923
nomascus_leucogenys ENSNLEG00000016944
papio_anubis ENSPANG00000006734
theropithecus_gelada ENSTGEG00000006072
cercocebus_atys ENSCATG00000037119
macaca_fascicularis ENSMFAG00000037792
macaca_mulatta ENSMMUG00000003492
macaca_nemestrina ENSMNEG00000037061
mandrillus_leucophaeus ENSMLEG00000027317
chlorocebus_sabaeus ENSCSAG00000004143
colobus_angolensis ENSCANG00000042613
piliocolobus_tephrosceles ENSPTEG00000013387
rhinopithecus_roxellana ENSRROG00000041601
rhinopithecus_bieti ENSRBIG00000038710
cebus_capucinus ENSCCAG00000037736
saimiri_boliviensis ENSSBOG00000023332
callithrix_jacchus ENSCJAG00000037808
aotus_nancymaae ENSANAG00000027634
carlito_syrichta ENSTSYG00000005280
otolemur_garnettii ENSOGAG00000031845
otolemur_garnettii ENSOGAG00000006487
propithecus_coquereli ENSPCOG00000024197
microcebus_murinus ENSMICG00000004406
prolemur_simus ENSPSMG00000006403
sorex_araneus ENSSARG00000000433
erinaceus_europaeus ENSEEUG00000005744
equus_caballus ENSECAG00000023553
equus_asinus ENSEASG00005002464
sus_scrofa ENSSSCG00000002950
vicugna_pacos ENSVPAG00000003698
capra_hircus ENSCHIG00000013381
ovis_aries ENSOARG00000005522
bos_indicus ENSBIXG00005001064
bos_indicus ENSBIXG00000016202
bos_taurus ENSBTAG00000018225
bos_mutus ENSBMUG00000000622
bison_bison ENSBBBG00000021508
tursiops_truncatus ENSTTRG00000009088
ursus_americanus ENSUAMG00000013925
ursus_maritimus ENSUMAG00000018238
ailuropoda_melanoleuca ENSAMEG00000010583
neovison_vison ENSNVIG00000008144
mustela_putorius ENSMPUG00000017847
canis_lupus ENSCAFG00020017934
canis_lupus ENSCAFG00000005973
vulpes_vulpes ENSVVUG00000013260
panthera_pardus ENSPPRG00000001316
panthera_tigris ENSPTIG00000012222
felis_catus ENSFCAG00000014488
pteropus_vampyrus ENSPVAG00000015247
myotis_lucifugus ENSMLUG00000012365
sus_scrofa ENSSSCG00000049428
loxodonta_africana ENSLAFG00000006854
procavia_capensis ENSPCAG00000000533
echinops_telfairi ENSETEG00000007166
dasypus_novemcinctus ENSDNOG00000011792
choloepus_hoffmanni ENSCHOG00000006228
chlorocebus_sabaeus ENSCSAG00000004139
mus_caroli MGP_CAROLIEiJ_G0029483
ornithorhynchus_anatinus ENSOANG00000013196
ornithorhynchus_anatinus ENSOANG00000003414
xiphophorus_couchianus ENSXCOG00000007911
paramormyrops_kingsleyae ENSPKIG00000010957
paramormyrops_kingsleyae ENSPKIG00000010934
scleropages_formosus ENSSFOG00015006579
denticeps_clupeoides ENSDCDG00000034378
clupea_harengus ENSCHAG00000016813
astyanax_mexicanus ENSAMXG00000031508
astyanax_mexicanus ENSAMXG00005006885
pygocentrus_nattereri ENSPNAG00000019408
ictalurus_punctatus ENSIPUG00000012143
danio_rerio ENSDARG00000061699
lates_calcarifer ENSLCAG00010006575
lates_calcarifer ENSLCAG00010006555
seriola_dumerili ENSSDUG00000018397
seriola_lalandi ENSSLDG00000020970
scophthalmus_maximus ENSSMAG00000013788
monopterus_albus ENSMALG00000012042
mastacembelus_armatus ENSMAMG00000011563
anabas_testudineus ENSATEG00000013302
betta_splendens ENSBSLG00000005425
cottoperca_gobio ENSCGOG00000009564
gasterosteus_aculeatus ENSGACG00000009761
labrus_bergylta ENSLBEG00000020711
takifugu_rubripes ENSTRUG00000011034
tetraodon_nigroviridis ENSTNIG00000007739
mola_mola ENSMMOG00000012510
larimichthys_crocea ENSLCRG00005003625
stegastes_partitus ENSSPAG00000010985
stegastes_partitus ENSSPAG00000010971
stegastes_partitus ENSSPAG00000011001
amphiprion_ocellaris ENSAOCG00000010252
amphiprion_percula ENSAPEG00000024329
acanthochromis_polyacanthus ENSAPOG00000016721
parambassis_ranga ENSPRNG00000004158
xiphophorus_maculatus ENSXMAG00000021118
xiphophorus_couchianus ENSXCOG00000012619
gambusia_affinis ENSGAFG00000012223
poecilia_formosa ENSPFOG00000009920
poecilia_latipinna ENSPLAG00000019921
poecilia_mexicana ENSPMEG00000012789
poecilia_reticulata ENSPREG00000000759
fundulus_heteroclitus ENSFHEG00000006398
cyprinodon_variegatus ENSCVAG00000004984
kryptolebias_marmoratus ENSKMAG00000021136
oryzias_latipes ENSORLG00020003062
oryzias_latipes ENSORLG00020003049
oryzias_latipes ENSORLG00015005352
oryzias_latipes ENSORLG00000006721
oryzias_melastigma ENSOMEG00000013380
gouania_willdenowi ENSGWIG00000015424
maylandia_zebra ENSMZEG00005016755
astatotilapia_calliptera ENSACLG00000015945
haplochromis_burtoni ENSHBUG00000001930
pundamilia_nyererei ENSPNYG00000006392
neolamprologus_brichardi ENSNBRG00000003799
oreochromis_niloticus ENSONIG00000003689
amphilophus_citrinellus ENSACIG00000013854
cynoglossus_semilaevis ENSCSEG00000017030
hippocampus_comes ENSHCOG00000007347
periophthalmus_magnuspinnatus ENSPMGG00000014134
gadus_morhua ENSGMOG00000008076
hucho_hucho ENSHHUG00000033665
hucho_hucho ENSHHUG00000003454
esox_lucius ENSELUG00000014332
lepisosteus_oculatus ENSLOCG00000014617
hucho_hucho ENSHHUG00000020721
esox_lucius ENSELUG00000009408
pygocentrus_nattereri ENSPNAG00000016717
astyanax_mexicanus ENSAMXG00000027386
latimeria_chalumnae ENSLACG00000018804
xenopus_tropicalis ENSXETG00000014368
erpetoichthys_calabaricus ENSECRG00000000066
callorhinchus_milii ENSCMIG00000006469
petromyzon_marinus ENSPMAG00000008110
