homo_sapiens ENSG00000186493
pongo_abelii ENSPPYG00000015326
chlorocebus_sabaeus ENSCSAG00000017351
pan_troglodytes ENSPTRG00000028783
pan_paniscus ENSPPAG00000035929
gorilla_gorilla ENSGGOG00000015708
nomascus_leucogenys ENSNLEG00000011229
rhinopithecus_roxellana ENSRROG00000031597
rhinopithecus_bieti ENSRBIG00000041721
colobus_angolensis_palliatus ENSCANG00000027234
macaca_mulatta ENSMMUG00000015889
macaca_fascicularis ENSMFAG00000044972
macaca_nemestrina ENSMNEG00000031139
papio_anubis ENSPANG00000004028
cercocebus_atys ENSCATG00000003877
pteropus_vampyrus ENSPVAG00000001270
