crocodylus_porosus ENSCPRG00005012769
xenopus_tropicalis ENSXETG00000025936
anolis_carolinensis ENSACAG00000000999
pogona_vitticeps ENSPVIG00000008829
notechis_scutatus ENSNSUG00000019179
salvator_merianae ENSSMRG00000005226
sphenodon_punctatus ENSSPUG00000006600
chelonoidis_abingdonii ENSCABG00000017428
pelodiscus_sinensis ENSPSIG00000010556
meleagris_gallopavo ENSMGAG00000004456
gallus_gallus ENSGALG00000008757
numida_meleagris ENSNMEG00000000361
anser_brachyrhynchus ENSABRG00000002531
anas_platyrhynchos_platyrhynchos ENSAPLG00000022779
parus_major ENSPMJG00000001670
cyanistes_caeruleus ENSCCEG00000012211
ficedula_albicollis ENSFALG00000013649
zonotrichia_albicollis ENSZALG00000012452
junco_hyemalis ENSJHYG00000003583
taeniopygia_guttata ENSTGUG00000002376
lonchura_striata_domestica ENSLSDG00000000481
serinus_canaria ENSSCAG00000001087
lepidothrix_coronata ENSLCOG00000013446
manacus_vitellinus ENSMVIG00005018450
melopsittacus_undulatus ENSMUNG00000006819
apteryx_owenii ENSAOWG00000011875
apteryx_haastii ENSAHAG00000018475
apteryx_rowi ENSARWG00000006001
nothoprocta_perdicaria ENSNPEG00000016029
dromaius_novaehollandiae ENSDNVG00000014860
calidris_pugnax ENSCPUG00000002828
calidris_pygmaea ENSCPGG00000000047
coturnix_japonica ENSCJPG00005011494
gopherus_agassizii ENSGAGG00000014030
chrysemys_picta_bellii ENSCPBG00000001049
latimeria_chalumnae ENSLACG00000016382
mola_mola ENSMMOG00000018724
takifugu_rubripes ENSTRUG00000023857
cynoglossus_semilaevis ENSCSEG00000001218
monopterus_albus ENSMALG00000007116
mastacembelus_armatus ENSMAMG00000018449
anabas_testudineus ENSATEG00000016095
seriola_dumerili ENSSDUG00000019746
seriola_lalandi_dorsalis ENSSLDG00000012178
gasterosteus_aculeatus ENSGACG00000019671
scophthalmus_maximus ENSSMAG00000021053
pundamilia_nyererei ENSPNYG00000015458
haplochromis_burtoni ENSHBUG00000001986
astatotilapia_calliptera ENSACLG00000002666
maylandia_zebra ENSMZEG00005013817
neolamprologus_brichardi ENSNBRG00000020157
oreochromis_niloticus ENSONIG00000006779
amphilophus_citrinellus ENSACIG00000018095
fundulus_heteroclitus ENSFHEG00000014292
cyprinodon_variegatus ENSCVAG00000012574
poecilia_formosa ENSPFOG00000024518
poecilia_latipinna ENSPLAG00000008806
poecilia_mexicana ENSPMEG00000010430
poecilia_reticulata ENSPREG00000004825
gambusia_affinis ENSGAFG00000000856
xiphophorus_maculatus ENSXMAG00000029354
xiphophorus_couchianus ENSXCOG00000010740
oryzias_latipes ENSORLG00000025795
oryzias_melastigma ENSOMEG00000009532
amphiprion_percula ENSAPEG00000022193
amphiprion_ocellaris ENSAOCG00000006339
acanthochromis_polyacanthus ENSAPOG00000024171
stegastes_partitus ENSSPAG00000018861
periophthalmus_magnuspinnatus ENSPMGG00000012945
hippocampus_comes ENSHCOG00000010066
gadus_morhua ENSGMOG00000005308
esox_lucius ENSELUG00000011877
astyanax_mexicanus ENSAMXG00000039764
astyanax_mexicanus ENSAMXG00000036226
pygocentrus_nattereri ENSPNAG00000017655
ictalurus_punctatus ENSIPUG00000024308
danio_rerio ENSDARG00000091683
paramormyrops_kingsleyae ENSPKIG00000005004
pygocentrus_nattereri ENSPNAG00000006356
astyanax_mexicanus ENSAMXG00000031062
ictalurus_punctatus ENSIPUG00000016747
danio_rerio ENSDARG00000037337
hippocampus_comes ENSHCOG00000010855
oryzias_latipes_asm223469v1 ENSORLG00015004679
oryzias_latipes ENSORLG00000025748
oryzias_latipes ENSORLG00020000515
oryzias_melastigma ENSOMEG00000023337
hippocampus_comes ENSHCOG00000000405
periophthalmus_magnuspinnatus ENSPMGG00000009588
gasterosteus_aculeatus ENSGACG00000012052
gadus_morhua ENSGMOG00000004440
esox_lucius ENSELUG00000015120
poecilia_mexicana ENSPMEG00000016562
poecilia_mexicana ENSPMEG00000004953
poecilia_latipinna ENSPLAG00000017666
poecilia_reticulata ENSPREG00000000842
xiphophorus_maculatus ENSXMAG00000024487
xiphophorus_couchianus ENSXCOG00000013812
cyprinodon_variegatus ENSCVAG00000010110
fundulus_heteroclitus ENSFHEG00000010430
kryptolebias_marmoratus ENSKMAG00000018126
takifugu_rubripes ENSTRUG00000012558
cynoglossus_semilaevis ENSCSEG00000000521
anabas_testudineus ENSATEG00000012860
mastacembelus_armatus ENSMAMG00000022136
monopterus_albus ENSMALG00000020752
haplochromis_burtoni ENSHBUG00000018590
astatotilapia_calliptera ENSACLG00000026147
pundamilia_nyererei ENSPNYG00000008998
maylandia_zebra ENSMZEG00005027347
oreochromis_niloticus ENSONIG00000001213
neolamprologus_brichardi ENSNBRG00000010873
amphilophus_citrinellus ENSACIG00000012353
seriola_dumerili ENSSDUG00000020172
seriola_lalandi_dorsalis ENSSLDG00000017291
scophthalmus_maximus ENSSMAG00000019273
amphiprion_ocellaris ENSAOCG00000020405
amphiprion_percula ENSAPEG00000001341
acanthochromis_polyacanthus ENSAPOG00000005397
mola_mola ENSMMOG00000007343
labrus_bergylta ENSLBEG00000008256
poecilia_formosa ENSPFOG00000023191
gambusia_affinis ENSGAFG00000012600
stegastes_partitus ENSSPAG00000019760
scleropages_formosus ENSSFOG00015010755
lepisosteus_oculatus ENSLOCG00000016014
petromyzon_marinus ENSPMAG00000008097
eptatretus_burgeri ENSEBUG00000004833
phascolarctos_cinereus ENSPCIG00000037069
notamacropus_eugenii ENSMEUG00000007341
sarcophilus_harrisii ENSSHAG00000004303
monodelphis_domestica ENSMODG00000003628
prolemur_simus ENSPSMG00000000727
propithecus_coquereli ENSPCOG00000024225
microcebus_murinus ENSMICG00000003722
otolemur_garnettii ENSOGAG00000016640
pan_troglodytes ENSPTRG00000012002
pan_paniscus ENSPPAG00000036249
gorilla_gorilla ENSGGOG00000022874
homo_sapiens ENSG00000119865
pongo_abelii ENSPPYG00000012351
nomascus_leucogenys ENSNLEG00000009999
rhinopithecus_bieti ENSRBIG00000034326
rhinopithecus_roxellana ENSRROG00000033471
piliocolobus_tephrosceles ENSPTEG00000019915
colobus_angolensis_palliatus ENSCANG00000041990
macaca_nemestrina ENSMNEG00000028096
macaca_mulatta ENSMMUG00000046992
macaca_fascicularis ENSMFAG00000035167
cercocebus_atys ENSCATG00000037632
papio_anubis ENSPANG00000029881
mandrillus_leucophaeus ENSMLEG00000039450
theropithecus_gelada ENSTGEG00000010910
chlorocebus_sabaeus ENSCSAG00000014867
callithrix_jacchus ENSCJAG00000039706
saimiri_boliviensis_boliviensis ENSSBOG00000020258
cebus_capucinus ENSCCAG00000034672
aotus_nancymaae ENSANAG00000029323
carlito_syrichta ENSTSYG00000035659
heterocephalus_glaber_female ENSHGLG00000018775
heterocephalus_glaber_male ENSHGLG00100002863
fukomys_damarensis ENSFDAG00000011207
chinchilla_lanigera ENSCLAG00000012035
octodon_degus ENSODEG00000011175
cavia_porcellus ENSCPOG00000033555
dipodomys_ordii ENSDORG00000025749
castor_canadensis ENSCCNG00000010374
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016948
mus_spicilegus ENSMSIG00000001023
mus_musculus ENSMUSG00000044629
mus_pahari MGP_PahariEiJ_G0016785
rattus_norvegicus ENSRNOG00000005326
meriones_unguiculatus ENSMUGG00000019644
cricetulus_griseus_chok1gshd ENSCGRG00001014944
cricetulus_griseus_crigri ENSCGRG00000009319
mesocricetus_auratus ENSMAUG00000019592
microtus_ochrogaster ENSMOCG00000004432
peromyscus_maniculatus_bairdii ENSPEMG00000031287
nannospalax_galili ENSNGAG00000019719
jaculus_jaculus ENSJJAG00000016204
urocitellus_parryii ENSUPAG00010010645
spermophilus_dauricus ENSSDAG00000020230
ictidomys_tridecemlineatus ENSSTOG00000004875
marmota_marmota_marmota ENSMMMG00000005618
oryctolagus_cuniculus ENSOCUG00000006109
ochotona_princeps ENSOPRG00000009658
ailuropoda_melanoleuca ENSAMEG00000004912
ursus_maritimus ENSUMAG00000021144
mustela_putorius_furo ENSMPUG00000006263
neovison_vison ENSNVIG00000018162
panthera_pardus ENSPPRG00000014986
panthera_tigris_altaica ENSPTIG00000015693
felis_catus ENSFCAG00000038689
myotis_lucifugus ENSMLUG00000029512
pteropus_vampyrus ENSPVAG00000012697
erinaceus_europaeus ENSEEUG00000000866
ursus_americanus ENSUAMG00000000454
pongo_abelii ENSPPYG00000029813
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016106
erinaceus_europaeus ENSEEUG00000011880
vicugna_pacos ENSVPAG00000012084
cavia_aperea ENSCAPG00000016514
cricetulus_griseus_crigri-picr ENSCGRG00015027920
tupaia_belangeri ENSTBEG00000005932
choloepus_hoffmanni ENSCHOG00000003180
equus_caballus ENSECAG00000028870
equus_asinus_asinus ENSEASG00005007311
canis_lupus_familiaris ENSCAFG00000031669
canis_lupus_dingo ENSCAFG00020000090
sorex_araneus ENSSARG00000002854
ovis_aries ENSOARG00000019907
capra_hircus ENSCHIG00000017116
bos_taurus ENSBTAG00000001408
bos_mutus ENSBMUG00000020261
bison_bison_bison ENSBBBG00000016489
tursiops_truncatus ENSTTRG00000014005
sus_scrofa ENSSSCG00000008349
dasypus_novemcinctus ENSDNOG00000000214
loxodonta_africana ENSLAFG00000006280
procavia_capensis ENSPCAG00000013660
ornithorhynchus_anatinus ENSOANG00000008389
caenorhabditis_elegans_strain_n2 WBGene00017914
