periophthalmus_magnuspinnatus ENSPMGG00000018414
hippocampus_comes ENSHCOG00000014719
mola_mola ENSMMOG00000006944
gouania_willdenowi ENSGWIG00000000877
cyprinodon_variegatus ENSCVAG00000012904
fundulus_heteroclitus ENSFHEG00000008809
poecilia_formosa ENSPFOG00000003736
poecilia_mexicana ENSPMEG00000000814
poecilia_latipinna ENSPLAG00000000386
poecilia_reticulata ENSPREG00000015914
xiphophorus_maculatus ENSXMAG00000019938
gambusia_affinis ENSGAFG00000017273
kryptolebias_marmoratus ENSKMAG00000014482
amphiprion_ocellaris ENSAOCG00000004013
amphiprion_percula ENSAPEG00000020873
acanthochromis_polyacanthus ENSAPOG00000019114
gasterosteus_aculeatus ENSGACG00000003746
parambassis_ranga ENSPRNG00000018389
stegastes_partitus ENSSPAG00000017359
astatotilapia_calliptera ENSACLG00000025122
maylandia_zebra ENSMZEG00005008979
haplochromis_burtoni ENSHBUG00000012915
pundamilia_nyererei ENSPNYG00000019948
neolamprologus_brichardi ENSNBRG00000013666
amphilophus_citrinellus ENSACIG00000007181
cottoperca_gobio ENSCGOG00000018399
lates_calcarifer ENSLCAG00010011005
seriola_dumerili ENSSDUG00000021877
seriola_lalandi ENSSLDG00000003246
scophthalmus_maximus ENSSMAG00000001607
oryzias_latipes ENSORLG00015006978
oryzias_latipes ENSORLG00020010787
oryzias_latipes ENSORLG00000029139
oryzias_melastigma ENSOMEG00000014215
mastacembelus_armatus ENSMAMG00000009694
monopterus_albus ENSMALG00000015871
anabas_testudineus ENSATEG00000010708
betta_splendens ENSBSLG00000001234
labrus_bergylta ENSLBEG00000026920
gadus_morhua ENSGMOG00000011944
neolamprologus_brichardi ENSNBRG00000014879
esox_lucius ENSELUG00000007267
pygocentrus_nattereri ENSPNAG00000004341
astyanax_mexicanus ENSAMXG00000033579
ictalurus_punctatus ENSIPUG00000015096
electrophorus_electricus ENSEEEG00000005470
danio_rerio ENSDARG00000097082
clupea_harengus ENSCHAG00000019891
scleropages_formosus ENSSFOG00015005835
paramormyrops_kingsleyae ENSPKIG00000017139
lepisosteus_oculatus ENSLOCG00000005370
erpetoichthys_calabaricus ENSECRG00000008895
