caenorhabditis_elegans WBGene00016011
drosophila_melanogaster FBgn0086691
eptatretus_burgeri ENSEBUG00000004270
petromyzon_marinus ENSPMAG00000000315
astyanax_mexicanus ENSAMXG00005013244
astyanax_mexicanus ENSAMXG00000031748
pygocentrus_nattereri ENSPNAG00000011060
ictalurus_punctatus ENSIPUG00000001793
danio_rerio ENSDARG00000035882
clupea_harengus ENSCHAG00000009857
oryzias_latipes ENSORLG00015015318
oryzias_latipes ENSORLG00000026007
oryzias_latipes ENSORLG00020007258
oryzias_melastigma ENSOMEG00000013208
periophthalmus_magnuspinnatus ENSPMGG00000022971
gadus_morhua ENSGMOG00000002196
seriola_lalandi ENSSLDG00000013916
seriola_dumerili ENSSDUG00000011665
lates_calcarifer ENSLCAG00010014208
monopterus_albus ENSMALG00000005610
mastacembelus_armatus ENSMAMG00000014238
anabas_testudineus ENSATEG00000013313
cottoperca_gobio ENSCGOG00000005541
gasterosteus_aculeatus ENSGACG00000003632
labrus_bergylta ENSLBEG00000027122
larimichthys_crocea ENSLCRG00005011736
amphiprion_ocellaris ENSAOCG00000012164
stegastes_partitus ENSSPAG00000019562
parambassis_ranga ENSPRNG00000024885
poecilia_formosa ENSPFOG00000014757
poecilia_latipinna ENSPLAG00000003076
poecilia_mexicana ENSPMEG00000022345
xiphophorus_couchianus ENSXCOG00000020050
gambusia_affinis ENSGAFG00000010376
gouania_willdenowi ENSGWIG00000001739
maylandia_zebra ENSMZEG00005003305
amphilophus_citrinellus ENSACIG00000016465
hippocampus_comes ENSHCOG00000020716
xiphophorus_maculatus ENSXMAG00000003693
poecilia_reticulata ENSPREG00000008630
fundulus_heteroclitus ENSFHEG00000019695
cyprinodon_variegatus ENSCVAG00000023041
kryptolebias_marmoratus ENSKMAG00000007630
cynoglossus_semilaevis ENSCSEG00000017340
mola_mola ENSMMOG00000018535
takifugu_rubripes ENSTRUG00000014973
betta_splendens ENSBSLG00000017847
scophthalmus_maximus ENSSMAG00000007263
acanthochromis_polyacanthus ENSAPOG00000018254
amphiprion_percula ENSAPEG00000010862
haplochromis_burtoni ENSHBUG00000002322
pundamilia_nyererei ENSPNYG00000012172
oreochromis_niloticus ENSONIG00000002675
astatotilapia_calliptera ENSACLG00000014849
neolamprologus_brichardi ENSNBRG00000013480
esox_lucius ENSELUG00000015237
clupea_harengus ENSCHAG00000019727
denticeps_clupeoides ENSDCDG00000020699
denticeps_clupeoides ENSDCDG00000022879
mola_mola ENSMMOG00000018248
mola_mola ENSMMOG00000018246
cynoglossus_semilaevis ENSCSEG00000008726
seriola_lalandi ENSSLDG00000012590
seriola_lalandi ENSSLDG00000004936
seriola_dumerili ENSSDUG00000007850
scophthalmus_maximus ENSSMAG00000010449
lates_calcarifer ENSLCAG00010020711
mastacembelus_armatus ENSMAMG00000004006
anabas_testudineus ENSATEG00000024808
cottoperca_gobio ENSCGOG00000016260
larimichthys_crocea ENSLCRG00005016328
amphiprion_percula ENSAPEG00000007659
amphiprion_ocellaris ENSAOCG00000000693
acanthochromis_polyacanthus ENSAPOG00000008174
stegastes_partitus ENSSPAG00000014984
parambassis_ranga ENSPRNG00000018902
