petromyzon_marinus ENSPMAG00000008076
eptatretus_burgeri ENSEBUG00000004405
anolis_carolinensis ENSACAG00000010127
notechis_scutatus ENSNSUG00000004647
pogona_vitticeps ENSPVIG00000017284
salvator_merianae ENSSMRG00000000786
sphenodon_punctatus ENSSPUG00000005676
anser_brachyrhynchus ENSABRG00000011799
anas_platyrhynchos_platyrhynchos ENSAPLG00000014894
meleagris_gallopavo ENSMGAG00000012769
gallus_gallus ENSGALG00000003995
coturnix_japonica ENSCJPG00005011660
numida_meleagris ENSNMEG00000015720
junco_hyemalis ENSJHYG00000006820
zonotrichia_albicollis ENSZALG00000000095
serinus_canaria ENSSCAG00000007512
lonchura_striata_domestica ENSLSDG00000013303
taeniopygia_guttata ENSTGUG00000006210
ficedula_albicollis ENSFALG00000006357
parus_major ENSPMJG00000019079
cyanistes_caeruleus ENSCCEG00000007330
lepidothrix_coronata ENSLCOG00000011002
manacus_vitellinus ENSMVIG00005011162
melopsittacus_undulatus ENSMUNG00000006382
calidris_pygmaea ENSCPGG00000010296
calidris_pugnax ENSCPUG00000020017
apteryx_haastii ENSAHAG00000014430
apteryx_rowi ENSARWG00000014161
apteryx_owenii ENSAOWG00000007629
dromaius_novaehollandiae ENSDNVG00000007826
nothoprocta_perdicaria ENSNPEG00000011013
crocodylus_porosus ENSCPRG00005015710
gopherus_agassizii ENSGAGG00000023159
chelonoidis_abingdonii ENSCABG00000008325
chrysemys_picta_bellii ENSCPBG00000020222
pelodiscus_sinensis ENSPSIG00000007018
erinaceus_europaeus ENSEEUG00000005568
sorex_araneus ENSSARG00000010129
saimiri_boliviensis_boliviensis ENSSBOG00000021352
callithrix_jacchus ENSCJAG00000045605
cebus_capucinus ENSCCAG00000036226
aotus_nancymaae ENSANAG00000022216
cebus_capucinus ENSCCAG00000031032
aotus_nancymaae ENSANAG00000020670
pan_troglodytes ENSPTRG00000008938
pan_paniscus ENSPPAG00000033864
gorilla_gorilla ENSGGOG00000015953
homo_sapiens ENSG00000132591
pongo_abelii ENSPPYG00000008113
nomascus_leucogenys ENSNLEG00000002994
rhinopithecus_bieti ENSRBIG00000006150
rhinopithecus_roxellana ENSRROG00000026778
piliocolobus_tephrosceles ENSPTEG00000031804
colobus_angolensis_palliatus ENSCANG00000028131
papio_anubis ENSPANG00000023400
theropithecus_gelada ENSTGEG00000008800
cercocebus_atys ENSCATG00000041378
mandrillus_leucophaeus ENSMLEG00000040246
macaca_fascicularis ENSMFAG00000000501
macaca_mulatta ENSMMUG00000002776
macaca_nemestrina ENSMNEG00000039112
chlorocebus_sabaeus ENSCSAG00000007105
carlito_syrichta ENSTSYG00000007492
propithecus_coquereli ENSPCOG00000023179
microcebus_murinus ENSMICG00000005345
prolemur_simus ENSPSMG00000024953
otolemur_garnettii ENSOGAG00000011082
tupaia_belangeri ENSTBEG00000007215
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017631
mus_spicilegus ENSMSIG00000010857
mus_musculus ENSMUSG00000020832
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016788
mus_pahari MGP_PahariEiJ_G0017925
rattus_norvegicus ENSRNOG00000010673
meriones_unguiculatus ENSMUGG00000023539
microtus_ochrogaster ENSMOCG00000022786
peromyscus_maniculatus_bairdii ENSPEMG00000000668
cricetulus_griseus_crigri ENSCGRG00000002004
cricetulus_griseus_chok1gshd ENSCGRG00001016601
cricetulus_griseus_crigri-picr ENSCGRG00015015977
mesocricetus_auratus ENSMAUG00000001516
nannospalax_galili ENSNGAG00000019318
jaculus_jaculus ENSJJAG00000002041
jaculus_jaculus ENSJJAG00000014664
castor_canadensis ENSCCNG00000022995
dipodomys_ordii ENSDORG00000011319
cavia_porcellus ENSCPOG00000009576
octodon_degus ENSODEG00000011337
chinchilla_lanigera ENSCLAG00000004778
heterocephalus_glaber_female ENSHGLG00000009773
heterocephalus_glaber_male ENSHGLG00100018820
fukomys_damarensis ENSFDAG00000001767
urocitellus_parryii ENSUPAG00010022201
ictidomys_tridecemlineatus ENSSTOG00000003459
spermophilus_dauricus ENSSDAG00000009790
marmota_marmota_marmota ENSMMMG00000011830
oryctolagus_cuniculus ENSOCUG00000005572
ochotona_princeps ENSOPRG00000014488
dasypus_novemcinctus ENSDNOG00000044554
bos_mutus ENSBMUG00000008115
bos_taurus ENSBTAG00000015639
bison_bison_bison ENSBBBG00000004947
capra_hircus ENSCHIG00000021850
ovis_aries ENSOARG00000004456
tursiops_truncatus ENSTTRG00000004107
sus_scrofa ENSSSCG00000017776
vicugna_pacos ENSVPAG00000006626
ursus_maritimus ENSUMAG00000011679
ursus_americanus ENSUAMG00000015904
ailuropoda_melanoleuca ENSAMEG00000004602
mustela_putorius_furo ENSMPUG00000014146
neovison_vison ENSNVIG00000016704
canis_lupus_dingo ENSCAFG00020011718
canis_lupus_familiaris ENSCAFG00000018813
vulpes_vulpes ENSVVUG00000017651
panthera_tigris_altaica ENSPTIG00000013961
panthera_pardus ENSPPRG00000006097
felis_catus ENSFCAG00000005232
pteropus_vampyrus ENSPVAG00000001796
myotis_lucifugus ENSMLUG00000013467
equus_caballus ENSECAG00000013325
equus_asinus_asinus ENSEASG00005009864
marmota_marmota_marmota ENSMMMG00000011619
urocitellus_parryii ENSUPAG00010006206
pan_paniscus ENSPPAG00000034297
loxodonta_africana ENSLAFG00000005438
procavia_capensis ENSPCAG00000003013
echinops_telfairi ENSETEG00000011551
choloepus_hoffmanni ENSCHOG00000007676
notamacropus_eugenii ENSMEUG00000015582
phascolarctos_cinereus ENSPCIG00000035507
sarcophilus_harrisii ENSSHAG00000014995
monodelphis_domestica ENSMODG00000019305
ornithorhynchus_anatinus ENSOANG00000008691
xenopus_tropicalis ENSXETG00000019633
latimeria_chalumnae ENSLACG00000012328
takifugu_rubripes ENSTRUG00000000660
