amphilophus_citrinellus ENSACIG00000018175
xiphophorus_couchianus ENSXCOG00000001840
mola_mola ENSMMOG00000001904
cynoglossus_semilaevis ENSCSEG00000019343
fundulus_heteroclitus ENSFHEG00000002413
cyprinodon_variegatus ENSCVAG00000014963
poecilia_latipinna ENSPLAG00000010487
poecilia_formosa ENSPFOG00000017751
poecilia_mexicana ENSPMEG00000020767
poecilia_reticulata ENSPREG00000021841
xiphophorus_maculatus ENSXMAG00000013686
gambusia_affinis ENSGAFG00000015404
kryptolebias_marmoratus ENSKMAG00000015039
oryzias_latipes ENSORLG00000006904
oryzias_latipes_asm223469v1 ENSORLG00015012070
oryzias_latipes ENSORLG00020013768
oryzias_melastigma ENSOMEG00000018327
haplochromis_burtoni ENSHBUG00000000542
pundamilia_nyererei ENSPNYG00000013712
astatotilapia_calliptera ENSACLG00000006007
maylandia_zebra ENSMZEG00005012336
neolamprologus_brichardi ENSNBRG00000011712
oreochromis_niloticus ENSONIG00000020052
labrus_bergylta ENSLBEG00000025570
monopterus_albus ENSMALG00000019705
tetraodon_nigroviridis ENSTNIG00000005873
takifugu_rubripes ENSTRUG00000013225
gasterosteus_aculeatus ENSGACG00000008065
seriola_dumerili ENSSDUG00000023346
seriola_lalandi_dorsalis ENSSLDG00000011085
amphiprion_ocellaris ENSAOCG00000004087
amphiprion_percula ENSAPEG00000009106
acanthochromis_polyacanthus ENSAPOG00000019264
stegastes_partitus ENSSPAG00000007221
anabas_testudineus ENSATEG00000017662
scophthalmus_maximus ENSSMAG00000015441
mastacembelus_armatus ENSMAMG00000011251
periophthalmus_magnuspinnatus ENSPMGG00000005312
hippocampus_comes ENSHCOG00000018196
gadus_morhua ENSGMOG00000012876
esox_lucius ENSELUG00000003539
pygocentrus_nattereri ENSPNAG00000019227
astyanax_mexicanus ENSAMXG00000013291
ictalurus_punctatus ENSIPUG00000021084
danio_rerio ENSDARG00000088619
scleropages_formosus ENSSFOG00015017394
paramormyrops_kingsleyae ENSPKIG00000024761
lepisosteus_oculatus ENSLOCG00000003577
pan_paniscus ENSPPAG00000027911
pan_troglodytes ENSPTRG00000023363
homo_sapiens ENSG00000148300
gorilla_gorilla ENSGGOG00000014508
pongo_abelii ENSPPYG00000019735
nomascus_leucogenys ENSNLEG00000013130
