marmota_marmota ENSMMMG00000023651
mesocricetus_auratus ENSMAUG00000019034
castor_canadensis ENSCCNG00000029982
macaca_nemestrina ENSMNEG00000036857
macaca_fascicularis ENSMFAG00000036077
papio_anubis ENSPANG00000032816
cercocebus_atys ENSCATG00000036518
mandrillus_leucophaeus ENSMLEG00000039060
macaca_nemestrina ENSMNEG00000035118
macaca_mulatta ENSMMUG00000040634
colobus_angolensis ENSCANG00000041475
piliocolobus_tephrosceles ENSPTEG00000019786
equus_caballus ENSECAG00000036514
macaca_mulatta ENSMMUG00000039300
macaca_fascicularis ENSMFAG00000034388
macaca_nemestrina ENSMNEG00000020347
mandrillus_leucophaeus ENSMLEG00000040787
cercocebus_atys ENSCATG00000029788
papio_anubis ENSPANG00000030437
theropithecus_gelada ENSTGEG00000028230
piliocolobus_tephrosceles ENSPTEG00000027225
cebus_capucinus ENSCCAG00000033092
aotus_nancymaae ENSANAG00000018546
castor_canadensis ENSCCNG00000004714
heterocephalus_glaber ENSHGLG00100006138
spermophilus_dauricus ENSSDAG00000005502
sphenodon_punctatus ENSSPUG00000015068
labrus_bergylta ENSLBEG00000001219
xiphophorus_couchianus ENSXCOG00000008060
haplochromis_burtoni ENSHBUG00000018769
