anabas_testudineus ENSATEG00000016737
monopterus_albus ENSMALG00000020532
amphiprion_ocellaris ENSAOCG00000001913
amphiprion_percula ENSAPEG00000017004
acanthochromis_polyacanthus ENSAPOG00000020213
seriola_dumerili ENSSDUG00000016143
seriola_lalandi_dorsalis ENSSLDG00000007264
cynoglossus_semilaevis ENSCSEG00000019851
takifugu_rubripes ENSTRUG00000010212
stegastes_partitus ENSSPAG00000006204
amphilophus_citrinellus ENSACIG00000017090
poecilia_formosa ENSPFOG00000009193
poecilia_mexicana ENSPMEG00000020096
poecilia_latipinna ENSPLAG00000006643
poecilia_reticulata ENSPREG00000017365
xiphophorus_maculatus ENSXMAG00000004239
gambusia_affinis ENSGAFG00000011915
cyprinodon_variegatus ENSCVAG00000017129
fundulus_heteroclitus ENSFHEG00000004355
oryzias_latipes_asm223469v1 ENSORLG00015011804
oryzias_latipes ENSORLG00000005806
oryzias_latipes ENSORLG00020005319
oryzias_melastigma ENSOMEG00000007852
mola_mola ENSMMOG00000000851
gasterosteus_aculeatus ENSGACG00000016510
scophthalmus_maximus ENSSMAG00000005816
kryptolebias_marmoratus ENSKMAG00000014639
tetraodon_nigroviridis ENSTNIG00000018764
astatotilapia_calliptera ENSACLG00000005953
maylandia_zebra ENSMZEG00005019776
pundamilia_nyererei ENSPNYG00000007849
haplochromis_burtoni ENSHBUG00000018061
neolamprologus_brichardi ENSNBRG00000008706
oreochromis_niloticus ENSONIG00000007747
labrus_bergylta ENSLBEG00000018253
mastacembelus_armatus ENSMAMG00000014848
periophthalmus_magnuspinnatus ENSPMGG00000022963
hippocampus_comes ENSHCOG00000011755
gadus_morhua ENSGMOG00000003441
esox_lucius ENSELUG00000008636
astyanax_mexicanus ENSAMXG00000039935
pygocentrus_nattereri ENSPNAG00000029164
ictalurus_punctatus ENSIPUG00000014015
danio_rerio ENSDARG00000016858
paramormyrops_kingsleyae ENSPKIG00000011258
paramormyrops_kingsleyae ENSPKIG00000006436
scleropages_formosus ENSSFOG00015010316
taeniopygia_guttata ENSTGUG00000000033
taeniopygia_guttata ENSTGUG00000000034
anolis_carolinensis ENSACAG00000018004
pogona_vitticeps ENSPVIG00000009624
notechis_scutatus ENSNSUG00000012942
salvator_merianae ENSSMRG00000016590
sphenodon_punctatus ENSSPUG00000015295
crocodylus_porosus ENSCPRG00005014735
serinus_canaria ENSSCAG00000016088
chelonoidis_abingdonii ENSCABG00000015904
gopherus_agassizii ENSGAGG00000015574
chrysemys_picta_bellii ENSCPBG00000025649
pelodiscus_sinensis ENSPSIG00000006254
parus_major ENSPMJG00000002909
lonchura_striata_domestica ENSLSDG00000004854
lepidothrix_coronata ENSLCOG00000015916
melopsittacus_undulatus ENSMUNG00000011776
anas_platyrhynchos_platyrhynchos ENSAPLG00000001268
anser_brachyrhynchus ENSABRG00000001503
gallus_gallus ENSGALG00000037160
coturnix_japonica ENSCJPG00005004928
numida_meleagris ENSNMEG00000015176
gallus_gallus ENSGALG00000029545
calidris_pygmaea ENSCPGG00000014311
calidris_pugnax ENSCPUG00000011391
cyanistes_caeruleus ENSCCEG00000018312
zonotrichia_albicollis ENSZALG00000003049
serinus_canaria ENSSCAG00000016234
apteryx_owenii ENSAOWG00000001822
dromaius_novaehollandiae ENSDNVG00000004981
ficedula_albicollis ENSFALG00000008945
apteryx_rowi ENSARWG00000000563
apteryx_haastii ENSAHAG00000018785
nothoprocta_perdicaria ENSNPEG00000003720
manacus_vitellinus ENSMVIG00005001309
ursus_maritimus ENSUMAG00000002746
notamacropus_eugenii ENSMEUG00000011322
ornithorhynchus_anatinus ENSOANG00000007611
sarcophilus_harrisii ENSSHAG00000017444
monodelphis_domestica ENSMODG00000003475
phascolarctos_cinereus ENSPCIG00000019168
castor_canadensis ENSCCNG00000021736
dipodomys_ordii ENSDORG00000001837
urocitellus_parryii ENSUPAG00010015842
ictidomys_tridecemlineatus ENSSTOG00000020985
octodon_degus ENSODEG00000018424
chinchilla_lanigera ENSCLAG00000007063
heterocephalus_glaber_female ENSHGLG00000009069
heterocephalus_glaber_male ENSHGLG00100006804
microtus_ochrogaster ENSMOCG00000001269
peromyscus_maniculatus_bairdii ENSPEMG00000021331
cricetulus_griseus_crigri-picr ENSCGRG00015024740
cricetulus_griseus_chok1gshd ENSCGRG00001017713
mesocricetus_auratus ENSMAUG00000020326
nannospalax_galili ENSNGAG00000004962
mus_musculus ENSMUSG00000025880
mus_spicilegus ENSMSIG00000019123
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023320
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022407
mus_pahari MGP_PahariEiJ_G0019136
rattus_norvegicus ENSRNOG00000018359
meriones_unguiculatus ENSMUGG00000019982
jaculus_jaculus ENSJJAG00000017342
oryctolagus_cuniculus ENSOCUG00000024309
microcebus_murinus ENSMICG00000034183
propithecus_coquereli ENSPCOG00000003237
prolemur_simus ENSPSMG00000018729
nomascus_leucogenys ENSNLEG00000034951
ochotona_princeps ENSOPRG00000003587
otolemur_garnettii ENSOGAG00000013932
ursus_americanus ENSUAMG00000021020
ailuropoda_melanoleuca ENSAMEG00000006739
neovison_vison ENSNVIG00000001490
mustela_putorius_furo ENSMPUG00000000842
canis_lupus_familiaris ENSCAFG00000019069
canis_lupus_dingo ENSCAFG00020026477
vulpes_vulpes ENSVVUG00000014344
felis_catus ENSFCAG00000042475
panthera_pardus ENSPPRG00000002686
tursiops_truncatus ENSTTRG00000004362
sus_scrofa ENSSSCG00000004507
pteropus_vampyrus ENSPVAG00000001966
myotis_lucifugus ENSMLUG00000016080
sorex_araneus ENSSARG00000004025
equus_asinus_asinus ENSEASG00005016092
equus_caballus ENSECAG00000020583
bos_mutus ENSBMUG00000013143
bos_taurus ENSBTAG00000012441
bison_bison_bison ENSBBBG00000010410
capra_hircus ENSCHIG00000019461
panthera_tigris_altaica ENSPTIG00000013182
cercocebus_atys ENSCATG00000037681
chlorocebus_sabaeus ENSCSAG00000018024
theropithecus_gelada ENSTGEG00000026335
macaca_fascicularis ENSMFAG00000042998
macaca_nemestrina ENSMNEG00000039694
papio_anubis ENSPANG00000025519
piliocolobus_tephrosceles ENSPTEG00000019326
homo_sapiens ENSG00000101665
pan_troglodytes ENSPTRG00000010010
pongo_abelii ENSPPYG00000009148
saimiri_boliviensis_boliviensis ENSSBOG00000028839
callithrix_jacchus ENSCJAG00000039611
colobus_angolensis_palliatus ENSCANG00000021466
rhinopithecus_bieti ENSRBIG00000037910
rhinopithecus_roxellana ENSRROG00000043502
mandrillus_leucophaeus ENSMLEG00000038861
gorilla_gorilla ENSGGOG00000010554
pan_paniscus ENSPPAG00000031318
aotus_nancymaae ENSANAG00000028079
cebus_capucinus ENSCCAG00000033513
cavia_porcellus ENSCPOG00000030295
cavia_aperea ENSCAPG00000010337
dasypus_novemcinctus ENSDNOG00000047206
echinops_telfairi ENSETEG00000001041
marmota_marmota_marmota ENSMMMG00000006202
spermophilus_dauricus ENSSDAG00000021774
carlito_syrichta ENSTSYG00000035286
loxodonta_africana ENSLAFG00000008013
spermophilus_dauricus ENSSDAG00000013131
cricetulus_griseus_crigri ENSCGRG00000015010
fukomys_damarensis ENSFDAG00000017680
ovis_aries ENSOARG00000003809
procavia_capensis ENSPCAG00000015115
ornithorhynchus_anatinus ENSOANG00000007018
xenopus_tropicalis ENSXETG00000020317
latimeria_chalumnae ENSLACG00000005807
scleropages_formosus ENSSFOG00015022632
xiphophorus_couchianus ENSXCOG00000002476
petromyzon_marinus ENSPMAG00000003798
