spermophilus_dauricus ENSSDAG00000009075
urocitellus_parryii ENSUPAG00010017218
marmota_marmota_marmota ENSMMMG00000017725
cavia_porcellus ENSCPOG00000015283
chinchilla_lanigera ENSCLAG00000004336
cricetulus_griseus_chok1gshd ENSCGRG00001011588
cricetulus_griseus_crigri-picr ENSCGRG00015000642
castor_canadensis ENSCCNG00000015552
oryctolagus_cuniculus ENSOCUG00000003701
pan_troglodytes ENSPTRG00000015984
pan_paniscus ENSPPAG00000013870
gorilla_gorilla ENSGGOG00000025418
homo_sapiens ENSG00000174123
pongo_abelii ENSPPYG00000014667
nomascus_leucogenys ENSNLEG00000017048
rhinopithecus_roxellana ENSRROG00000019917
rhinopithecus_bieti ENSRBIG00000029426
colobus_angolensis_palliatus ENSCANG00000010599
piliocolobus_tephrosceles ENSPTEG00000022504
mandrillus_leucophaeus ENSMLEG00000003050
theropithecus_gelada ENSTGEG00000000782
cercocebus_atys ENSCATG00000020190
papio_anubis ENSPANG00000034361
macaca_mulatta ENSMMUG00000003373
macaca_fascicularis ENSMFAG00000029645
macaca_nemestrina ENSMNEG00000015099
chlorocebus_sabaeus ENSCSAG00000019693
callithrix_jacchus ENSCJAG00000000842
ursus_maritimus ENSUMAG00000000597
ailuropoda_melanoleuca ENSAMEG00000018488
canis_lupus_familiaris ENSCAFG00000016175
canis_lupus_dingo ENSCAFG00020027421
vulpes_vulpes ENSVVUG00000014533
panthera_pardus ENSPPRG00000021395
panthera_tigris_altaica ENSPTIG00000001074
felis_catus ENSFCAG00000007666
equus_asinus_asinus ENSEASG00005008127
equus_caballus ENSECAG00000020892
ovis_aries ENSOARG00000000520
capra_hircus ENSCHIG00000010004
bison_bison_bison ENSBBBG00000001131
bos_taurus ENSBTAG00000014042
sus_scrofa ENSSSCG00000027877
loxodonta_africana ENSLAFG00000008544
dasypus_novemcinctus ENSDNOG00000048094
phascolarctos_cinereus ENSPCIG00000032085
notamacropus_eugenii ENSMEUG00000014359
sarcophilus_harrisii ENSSHAG00000010643
