electrophorus_electricus ENSEEEG00000013394
ictalurus_punctatus ENSIPUG00000019194
astyanax_mexicanus ENSAMXG00005004077
astyanax_mexicanus ENSAMXG00000038906
pygocentrus_nattereri ENSPNAG00000006794
danio_rerio ENSDARG00000061379
denticeps_clupeoides ENSDCDG00000019315
xiphophorus_maculatus ENSXMAG00000007224
xiphophorus_couchianus ENSXCOG00000016831
gambusia_affinis ENSGAFG00000011873
poecilia_formosa ENSPFOG00000017613
poecilia_latipinna ENSPLAG00000019331
poecilia_mexicana ENSPMEG00000020102
poecilia_mexicana ENSPMEG00000020136
poecilia_latipinna ENSPLAG00000004547
poecilia_reticulata ENSPREG00000002905
cyprinodon_variegatus ENSCVAG00000013047
fundulus_heteroclitus ENSFHEG00000005975
oryzias_latipes ENSORLG00000008983
oryzias_latipes ENSORLG00020011082
oryzias_latipes ENSORLG00015022983
oryzias_melastigma ENSOMEG00000005068
mola_mola ENSMMOG00000018221
cynoglossus_semilaevis ENSCSEG00000016555
cynoglossus_semilaevis ENSCSEG00000013836
scophthalmus_maximus ENSSMAG00000010274
amphiprion_percula ENSAPEG00000019935
amphiprion_ocellaris ENSAOCG00000020199
acanthochromis_polyacanthus ENSAPOG00000021943
stegastes_partitus ENSSPAG00000021744
parambassis_ranga ENSPRNG00000011778
pundamilia_nyererei ENSPNYG00000019157
maylandia_zebra ENSMZEG00005017209
haplochromis_burtoni ENSHBUG00000012208
astatotilapia_calliptera ENSACLG00000003724
neolamprologus_brichardi ENSNBRG00000003589
oreochromis_niloticus ENSONIG00000013745
amphilophus_citrinellus ENSACIG00000021135
monopterus_albus ENSMALG00000010801
mastacembelus_armatus ENSMAMG00000013014
anabas_testudineus ENSATEG00000005253
betta_splendens ENSBSLG00000004697
seriola_dumerili ENSSDUG00000015337
seriola_lalandi ENSSLDG00000002915
lates_calcarifer ENSLCAG00010028116
scophthalmus_maximus ENSSMAG00000010242
labrus_bergylta ENSLBEG00000015052
gasterosteus_aculeatus ENSGACG00000009895
larimichthys_crocea ENSLCRG00005017004
takifugu_rubripes ENSTRUG00000009392
tetraodon_nigroviridis ENSTNIG00000015411
gouania_willdenowi ENSGWIG00000001583
hippocampus_comes ENSHCOG00000000430
periophthalmus_magnuspinnatus ENSPMGG00000021948
gadus_morhua ENSGMOG00000010684
hucho_hucho ENSHHUG00000005783
esox_lucius ENSELUG00000001671
scleropages_formosus ENSSFOG00015005457
paramormyrops_kingsleyae ENSPKIG00000015594
hucho_hucho ENSHHUG00000003673
danio_rerio ENSDARG00000100353
lepisosteus_oculatus ENSLOCG00000005987
chrysemys_picta ENSCPBG00000027574
gopherus_agassizii ENSGAGG00000000961
anas_platyrhynchos ENSAPLG00000023658
anser_brachyrhynchus ENSABRG00000022583
gallus_gallus ENSGALG00000026553
coturnix_japonica ENSCJPG00005008010
numida_meleagris ENSNMEG00000008198
ficedula_albicollis ENSFALG00000009891
ficedula_albicollis ENSFALG00000009897
serinus_canaria ENSSCAG00000007021
zonotrichia_albicollis ENSZALG00000003247
taeniopygia_guttata ENSTGUG00000003671
taeniopygia_guttata ENSTGUG00000003634
lonchura_striata ENSLSDG00000001221
parus_major ENSPMJG00000016131
cyanistes_caeruleus ENSCCEG00000016822
manacus_vitellinus ENSMVIG00005014800
lepidothrix_coronata ENSLCOG00000000029
calidris_pygmaea ENSCPGG00000006225
calidris_pugnax ENSCPUG00000014861
melopsittacus_undulatus ENSMUNG00000013310
nothoprocta_perdicaria ENSNPEG00000016039
nothoprocta_perdicaria ENSNPEG00000016040
apteryx_haastii ENSAHAG00000007732
apteryx_haastii ENSAHAG00000007722
apteryx_owenii ENSAOWG00000001744
apteryx_rowi ENSARWG00000011870
dromaius_novaehollandiae ENSDNVG00000014048
anolis_carolinensis ENSACAG00000016641
pogona_vitticeps ENSPVIG00000011570
notechis_scutatus ENSNSUG00000007222
salvator_merianae ENSSMRG00000001128
dasypus_novemcinctus ENSDNOG00000040392
choloepus_hoffmanni ENSCHOG00000013349
loxodonta_africana ENSLAFG00000029991
loxodonta_africana ENSLAFG00000013738
procavia_capensis ENSPCAG00000008375
echinops_telfairi ENSETEG00000018935
chinchilla_lanigera ENSCLAG00000009334
cavia_porcellus ENSCPOG00000036038
heterocephalus_glaber ENSHGLG00000011995
urocitellus_parryii ENSUPAG00010014213
spermophilus_dauricus ENSSDAG00000011492
marmota_marmota ENSMMMG00000007285
dipodomys_ordii ENSDORG00000026339
castor_canadensis ENSCCNG00000023714
mus_spicilegus ENSMSIG00000012218
mus_musculus ENSMUSG00000047419
mus_spretus MGP_SPRETEiJ_G0019661
mus_pahari MGP_PahariEiJ_G0015855
rattus_norvegicus ENSRNOG00000023803
meriones_unguiculatus ENSMUGG00000020449
meriones_unguiculatus ENSMUGG00000020649
peromyscus_maniculatus ENSPEMG00000020808
microtus_ochrogaster ENSMOCG00000020302
cricetulus_griseus ENSCGRG00001003968
cricetulus_griseus ENSCGRG00000004934
cricetulus_griseus ENSCGRG00015013436
nannospalax_galili ENSNGAG00000019733
jaculus_jaculus ENSJJAG00000020442
ochotona_princeps ENSOPRG00000015145
oryctolagus_cuniculus ENSOCUG00000001264
tupaia_belangeri ENSTBEG00000017127
pan_paniscus ENSPPAG00000036589
pan_troglodytes ENSPTRG00000023686
homo_sapiens ENSG00000164309
gorilla_gorilla ENSGGOG00000006288
pongo_abelii ENSPPYG00000015591
nomascus_leucogenys ENSNLEG00000012895
papio_anubis ENSPANG00000006609
mandrillus_leucophaeus ENSMLEG00000029723
theropithecus_gelada ENSTGEG00000024743
cercocebus_atys ENSCATG00000030915
macaca_fascicularis ENSMFAG00000000649
macaca_mulatta ENSMMUG00000020733
macaca_nemestrina ENSMNEG00000037356
chlorocebus_sabaeus ENSCSAG00000015197
piliocolobus_tephrosceles ENSPTEG00000035811
