piliocolobus_tephrosceles ENSPTEG00000038962
otolemur_garnettii ENSOGAG00000006257
castor_canadensis ENSCCNG00000015903
nannospalax_galili ENSNGAG00000015355
urocitellus_parryii ENSUPAG00010002898
marmota_marmota_marmota ENSMMMG00000007913
ovis_aries ENSOARG00000015914
ovis_aries ENSOARG00000000289
ovis_aries ENSOARG00000003816
bison_bison_bison ENSBBBG00000004706
bos_mutus ENSBMUG00000014123
bison_bison_bison ENSBBBG00000001903
bos_taurus ENSBTAG00000003957
myotis_lucifugus ENSMLUG00000029197
equus_asinus_asinus ENSEASG00005001723
loxodonta_africana ENSLAFG00000015425
loxodonta_africana ENSLAFG00000032665
loxodonta_africana ENSLAFG00000022020
dasypus_novemcinctus ENSDNOG00000045631
