gambusia_affinis ENSGAFG00000002835
xiphophorus_maculatus ENSXMAG00000008337
poecilia_mexicana ENSPMEG00000019259
poecilia_formosa ENSPFOG00000000715
poecilia_latipinna ENSPLAG00000002182
poecilia_reticulata ENSPREG00000009138
xiphophorus_couchianus ENSXCOG00000017454
fundulus_heteroclitus ENSFHEG00000011489
cyprinodon_variegatus ENSCVAG00000013258
kryptolebias_marmoratus ENSKMAG00000010876
oryzias_latipes ENSORLG00020010328
oryzias_latipes_asm223469v1 ENSORLG00015003188
oryzias_latipes ENSORLG00000023248
oryzias_melastigma ENSOMEG00000021255
amphiprion_ocellaris ENSAOCG00000000673
amphiprion_percula ENSAPEG00000002146
acanthochromis_polyacanthus ENSAPOG00000005498
stegastes_partitus ENSSPAG00000003833
hippocampus_comes ENSHCOG00000004188
mola_mola ENSMMOG00000020922
tetraodon_nigroviridis ENSTNIG00000014949
astatotilapia_calliptera ENSACLG00000000488
maylandia_zebra ENSMZEG00005022980
haplochromis_burtoni ENSHBUG00000007590
pundamilia_nyererei ENSPNYG00000012990
neolamprologus_brichardi ENSNBRG00000020641
oreochromis_niloticus ENSONIG00000000848
gasterosteus_aculeatus ENSGACG00000009465
seriola_dumerili ENSSDUG00000022505
seriola_lalandi_dorsalis ENSSLDG00000023767
amphilophus_citrinellus ENSACIG00000008308
labrus_bergylta ENSLBEG00000006866
mastacembelus_armatus ENSMAMG00000022045
monopterus_albus ENSMALG00000008787
anabas_testudineus ENSATEG00000023370
periophthalmus_magnuspinnatus ENSPMGG00000001949
gadus_morhua ENSGMOG00000017917
esox_lucius ENSELUG00000016362
ictalurus_punctatus ENSIPUG00000016123
pygocentrus_nattereri ENSPNAG00000001078
danio_rerio ENSDARG00000030163
paramormyrops_kingsleyae ENSPKIG00000022022
lepisosteus_oculatus ENSLOCG00000013828
