mustela_putorius_furo ENSMPUG00000005132
ailuropoda_melanoleuca ENSAMEG00000019836
tupaia_belangeri ENSTBEG00000012493
neovison_vison ENSNVIG00000007515
vulpes_vulpes ENSVVUG00000012730
panthera_pardus ENSPPRG00000012488
panthera_tigris_altaica ENSPTIG00000012070
felis_catus ENSFCAG00000044106
bos_mutus ENSBMUG00000026616
bison_bison_bison ENSBBBG00000014145
equus_caballus ENSECAG00000030006
pan_troglodytes ENSPTRG00000050785
homo_sapiens ENSG00000188585
gorilla_gorilla ENSGGOG00000043663
nomascus_leucogenys ENSNLEG00000033644
mandrillus_leucophaeus ENSMLEG00000032623
cercocebus_atys ENSCATG00000009812
theropithecus_gelada ENSTGEG00000001956
papio_anubis ENSPANG00000029589
macaca_fascicularis ENSMFAG00000040960
macaca_nemestrina ENSMNEG00000035294
rhinopithecus_roxellana ENSRROG00000039626
rhinopithecus_bieti ENSRBIG00000033973
colobus_angolensis_palliatus ENSCANG00000040949
piliocolobus_tephrosceles ENSPTEG00000008962
cebus_capucinus ENSCCAG00000013946
saimiri_boliviensis_boliviensis ENSSBOG00000017566
callithrix_jacchus ENSCJAG00000041211
aotus_nancymaae ENSANAG00000020097
carlito_syrichta ENSTSYG00000031770
microcebus_murinus ENSMICG00000042193
propithecus_coquereli ENSPCOG00000017806
cricetulus_griseus_crigri-picr ENSCGRG00015013775
mus_spicilegus ENSMSIG00000015513
dasypus_novemcinctus ENSDNOG00000034274
echinops_telfairi ENSETEG00000005602
crocodylus_porosus ENSCPRG00005006166
