propithecus_coquereli ENSPCOG00000019130
microcebus_murinus ENSMICG00000045337
cercocebus_atys ENSCATG00000022340
papio_anubis ENSPANG00000032597
mandrillus_leucophaeus ENSMLEG00000027556
theropithecus_gelada ENSTGEG00000028165
macaca_fascicularis ENSMFAG00000023927
macaca_mulatta ENSMMUG00000038404
macaca_nemestrina ENSMNEG00000013564
piliocolobus_tephrosceles ENSPTEG00000028096
callithrix_jacchus ENSCJAG00000038161
spermophilus_dauricus ENSSDAG00000009257
spermophilus_dauricus ENSSDAG00000009249
marmota_marmota_marmota ENSMMMG00000017220
urocitellus_parryii ENSUPAG00010018232
vulpes_vulpes ENSVVUG00000003534
vulpes_vulpes ENSVVUG00000013388
canis_lupus_dingo ENSCAFG00020027244
panthera_tigris_altaica ENSPTIG00000003842
panthera_pardus ENSPPRG00000020851
felis_catus ENSFCAG00000040987
sus_scrofa ENSSSCG00000034157
