lonchura_striata_domestica ENSLSDG00000012075
serinus_canaria ENSSCAG00000011787
parus_major ENSPMJG00000001651
calidris_pugnax ENSCPUG00000004156
melopsittacus_undulatus ENSMUNG00000001627
apteryx_owenii ENSAOWG00000009624
apteryx_haastii ENSAHAG00000007708
apteryx_rowi ENSARWG00000008602
gopherus_agassizii ENSGAGG00000011382
chrysemys_picta_bellii ENSCPBG00000007978
notechis_scutatus ENSNSUG00000008170
pogona_vitticeps ENSPVIG00000019985
pogona_vitticeps ENSPVIG00000009059
salvator_merianae ENSSMRG00000000317
salvator_merianae ENSSMRG00000013726
salvator_merianae ENSSMRG00000010730
