panthera_tigris_altaica ENSPTIG00000021653
panthera_pardus ENSPPRG00000007556
felis_catus ENSFCAG00000041823
neovison_vison ENSNVIG00000002339
pteropus_vampyrus ENSPVAG00000000359
myotis_lucifugus ENSMLUG00000027219
bos_mutus ENSBMUG00000025292
bison_bison_bison ENSBBBG00000007867
tursiops_truncatus ENSTTRG00000001071
vicugna_pacos ENSVPAG00000000383
cricetulus_griseus_chok1gshd ENSCGRG00001022801
cricetulus_griseus_crigri-picr ENSCGRG00015019982
cricetulus_griseus_crigri ENSCGRG00000016273
mesocricetus_auratus ENSMAUG00000007928
microtus_ochrogaster ENSMOCG00000019263
peromyscus_maniculatus_bairdii ENSPEMG00000010732
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023249
mus_spicilegus ENSMSIG00000005361
mus_musculus ENSMUSG00000073551
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022337
mus_pahari MGP_PahariEiJ_G0019067
rattus_norvegicus ENSRNOG00000038793
nannospalax_galili ENSNGAG00000017603
jaculus_jaculus ENSJJAG00000020648
ictidomys_tridecemlineatus ENSSTOG00000032408
marmota_marmota_marmota ENSMMMG00000018976
urocitellus_parryii ENSUPAG00010013067
spermophilus_dauricus ENSSDAG00000011946
dipodomys_ordii ENSDORG00000027988
oryctolagus_cuniculus ENSOCUG00000024941
aotus_nancymaae ENSANAG00000024157
callithrix_jacchus ENSCJAG00000044950
gorilla_gorilla ENSGGOG00000025175
homo_sapiens ENSG00000214510
pan_troglodytes ENSPTRG00000034142
pan_paniscus ENSPPAG00000026789
pongo_abelii ENSPPYG00000015924
nomascus_leucogenys ENSNLEG00000010067
rhinopithecus_bieti ENSRBIG00000034804
rhinopithecus_roxellana ENSRROG00000042203
piliocolobus_tephrosceles ENSPTEG00000022366
colobus_angolensis_palliatus ENSCANG00000036244
theropithecus_gelada ENSTGEG00000000096
papio_anubis ENSPANG00000016765
cercocebus_atys ENSCATG00000033181
chlorocebus_sabaeus ENSCSAG00000011916
macaca_nemestrina ENSMNEG00000028624
macaca_fascicularis ENSMFAG00000001756
mandrillus_leucophaeus ENSMLEG00000041668
carlito_syrichta ENSTSYG00000011962
microcebus_murinus ENSMICG00000043271
prolemur_simus ENSPSMG00000024551
propithecus_coquereli ENSPCOG00000018652
procavia_capensis ENSPCAG00000008564
