xiphophorus_couchianus ENSXCOG00000013971
xiphophorus_maculatus ENSXMAG00000022786
gambusia_affinis ENSGAFG00000013440
poecilia_reticulata ENSPREG00000003653
cyprinodon_variegatus ENSCVAG00000015704
kryptolebias_marmoratus ENSKMAG00000003094
hippocampus_comes ENSHCOG00000004076
periophthalmus_magnuspinnatus ENSPMGG00000012509
amphiprion_ocellaris ENSAOCG00000000573
amphiprion_percula ENSAPEG00000000109
acanthochromis_polyacanthus ENSAPOG00000006533
stegastes_partitus ENSSPAG00000009972
haplochromis_burtoni ENSHBUG00000008179
pundamilia_nyererei ENSPNYG00000002195
astatotilapia_calliptera ENSACLG00000011306
maylandia_zebra ENSMZEG00005014019
neolamprologus_brichardi ENSNBRG00000019035
cynoglossus_semilaevis ENSCSEG00000003033
labrus_bergylta ENSLBEG00000026076
mola_mola ENSMMOG00000006543
hippocampus_comes ENSHCOG00000019037
gadus_morhua ENSGMOG00000014334
serinus_canaria ENSSCAG00000013594
taeniopygia_guttata ENSTGUG00000011200
gallus_gallus ENSGALG00000028318
