anser_brachyrhynchus ENSABRG00000014838
anas_platyrhynchos ENSAPLG00000025197
numida_meleagris ENSNMEG00000018244
calidris_pygmaea ENSCPGG00000016733
calidris_pugnax ENSCPUG00000013504
apteryx_owenii ENSAOWG00000017771
apteryx_rowi ENSARWG00000009246
apteryx_haastii ENSAHAG00000018278
dromaius_novaehollandiae ENSDNVG00000003465
crocodylus_porosus ENSCPRG00005013908
gopherus_agassizii ENSGAGG00000010979
chelonoidis_abingdonii ENSCABG00000010405
chrysemys_picta ENSCPBG00000012683
pelodiscus_sinensis ENSPSIG00000004921
anolis_carolinensis ENSACAG00000003860
pogona_vitticeps ENSPVIG00000013750
salvator_merianae ENSSMRG00000005829
sphenodon_punctatus ENSSPUG00000003559
bos_indicus ENSBIXG00005018816
bos_indicus ENSBIXG00000018778
bos_taurus ENSBTAG00000027557
bos_mutus ENSBMUG00000023350
bison_bison ENSBBBG00000013728
ovis_aries ENSOARG00000004005
capra_hircus ENSCHIG00000025346
sus_scrofa ENSSSCG00000023097
tursiops_truncatus ENSTTRG00000000449
vicugna_pacos ENSVPAG00000011825
sorex_araneus ENSSARG00000012223
sorex_araneus ENSSARG00000000642
erinaceus_europaeus ENSEEUG00000010466
equus_caballus ENSECAG00000010878
equus_asinus ENSEASG00005015461
pteropus_vampyrus ENSPVAG00000015791
myotis_lucifugus ENSMLUG00000017629
ursus_americanus ENSUAMG00000026154
ursus_maritimus ENSUMAG00000014405
ailuropoda_melanoleuca ENSAMEG00000006904
mustela_putorius ENSMPUG00000005490
neovison_vison ENSNVIG00000012294
canis_lupus ENSCAFG00000009143
canis_lupus ENSCAFG00020019155
vulpes_vulpes ENSVVUG00000026805
panthera_tigris ENSPTIG00000015467
panthera_pardus ENSPPRG00000016866
felis_catus ENSFCAG00000029105
pan_troglodytes ENSPTRG00000003551
pan_paniscus ENSPPAG00000034993
homo_sapiens ENSG00000175213
gorilla_gorilla ENSGGOG00000010152
pongo_abelii ENSPPYG00000003318
nomascus_leucogenys ENSNLEG00000014132
cercocebus_atys ENSCATG00000035814
papio_anubis ENSPANG00000032617
theropithecus_gelada ENSTGEG00000026785
mandrillus_leucophaeus ENSMLEG00000044029
macaca_fascicularis ENSMFAG00000036575
macaca_nemestrina ENSMNEG00000040215
macaca_mulatta ENSMMUG00000063711
chlorocebus_sabaeus ENSCSAG00000005681
piliocolobus_tephrosceles ENSPTEG00000032295
colobus_angolensis ENSCANG00000035271
rhinopithecus_bieti ENSRBIG00000010662
rhinopithecus_roxellana ENSRROG00000033904
callithrix_jacchus ENSCJAG00000019859
saimiri_boliviensis ENSSBOG00000033023
cebus_capucinus ENSCCAG00000029472
aotus_nancymaae ENSANAG00000036294
carlito_syrichta ENSTSYG00000025443
microcebus_murinus ENSMICG00000045320
propithecus_coquereli ENSPCOG00000028698
prolemur_simus ENSPSMG00000013083
otolemur_garnettii ENSOGAG00000034080
castor_canadensis ENSCCNG00000021712
dipodomys_ordii ENSDORG00000000387
mus_spicilegus ENSMSIG00000020068
mus_spretus MGP_SPRETEiJ_G0024875
mus_musculus ENSMUSG00000075040
mus_caroli MGP_CAROLIEiJ_G0023965
mus_pahari MGP_PahariEiJ_G0025402
meriones_unguiculatus ENSMUGG00000001847
cricetulus_griseus ENSCGRG00001023588
cricetulus_griseus ENSCGRG00000017618
cricetulus_griseus ENSCGRG00015014930
mesocricetus_auratus ENSMAUG00000014763
peromyscus_maniculatus ENSPEMG00000016757
nannospalax_galili ENSNGAG00000000309
jaculus_jaculus ENSJJAG00000015381
urocitellus_parryii ENSUPAG00010010704
ictidomys_tridecemlineatus ENSSTOG00000005114
spermophilus_dauricus ENSSDAG00000002173
marmota_marmota ENSMMMG00000013944
oryctolagus_cuniculus ENSOCUG00000010953
ochotona_princeps ENSOPRG00000009225
heterocephalus_glaber ENSHGLG00000017915
heterocephalus_glaber ENSHGLG00100018161
tupaia_belangeri ENSTBEG00000004260
choloepus_hoffmanni ENSCHOG00000009909
dasypus_novemcinctus ENSDNOG00000047669
loxodonta_africana ENSLAFG00000027848
procavia_capensis ENSPCAG00000014001
echinops_telfairi ENSETEG00000017621
monodelphis_domestica ENSMODG00000019895
xenopus_tropicalis ENSXETG00000016321
latimeria_chalumnae ENSLACG00000018810
clupea_harengus ENSCHAG00000000319
denticeps_clupeoides ENSDCDG00000029055
astyanax_mexicanus ENSAMXG00005002417
astyanax_mexicanus ENSAMXG00000032642
ictalurus_punctatus ENSIPUG00000002563
electrophorus_electricus ENSEEEG00000012116
danio_rerio ENSDARG00000036043
hucho_hucho ENSHHUG00000024351
esox_lucius ENSELUG00000022222
scleropages_formosus ENSSFOG00015009198
paramormyrops_kingsleyae ENSPKIG00000002884
oryzias_latipes ENSORLG00020004668
oryzias_latipes ENSORLG00015006993
oryzias_latipes ENSORLG00000028648
oryzias_melastigma ENSOMEG00000014797
gouania_willdenowi ENSGWIG00000007133
poecilia_latipinna ENSPLAG00000019895
poecilia_mexicana ENSPMEG00000021147
poecilia_reticulata ENSPREG00000017068
poecilia_formosa ENSPFOG00000001760
gambusia_affinis ENSGAFG00000018557
xiphophorus_maculatus ENSXMAG00000018347
xiphophorus_couchianus ENSXCOG00000002869
fundulus_heteroclitus ENSFHEG00000016754
cyprinodon_variegatus ENSCVAG00000003585
kryptolebias_marmoratus ENSKMAG00000011150
astatotilapia_calliptera ENSACLG00000006114
maylandia_zebra ENSMZEG00005016411
haplochromis_burtoni ENSHBUG00000002500
pundamilia_nyererei ENSPNYG00000001838
neolamprologus_brichardi ENSNBRG00000011290
oreochromis_niloticus ENSONIG00000007031
tetraodon_nigroviridis ENSTNIG00000001518
takifugu_rubripes ENSTRUG00000019631
labrus_bergylta ENSLBEG00000015384
labrus_bergylta ENSLBEG00000018734
larimichthys_crocea ENSLCRG00005021317
cottoperca_gobio ENSCGOG00000012163
seriola_dumerili ENSSDUG00000019730
seriola_lalandi ENSSLDG00000024399
mastacembelus_armatus ENSMAMG00000000890
monopterus_albus ENSMALG00000019613
lates_calcarifer ENSLCAG00010004093
amphiprion_percula ENSAPEG00000000200
acanthochromis_polyacanthus ENSAPOG00000008740
stegastes_partitus ENSSPAG00000022555
parambassis_ranga ENSPRNG00000005807
anabas_testudineus ENSATEG00000022912
betta_splendens ENSBSLG00000009458
scophthalmus_maximus ENSSMAG00000004766
cynoglossus_semilaevis ENSCSEG00000010218
hippocampus_comes ENSHCOG00000006401
gadus_morhua ENSGMOG00000007809
lepisosteus_oculatus ENSLOCG00000005752
lepisosteus_oculatus ENSLOCG00000005829
erpetoichthys_calabaricus ENSECRG00000004627
erpetoichthys_calabaricus ENSECRG00000022117
callorhinchus_milii ENSCMIG00000008713
