parus_major ENSPMJG00000016525
cyanistes_caeruleus ENSCCEG00000020563
manacus_vitellinus ENSMVIG00005014822
lepidothrix_coronata ENSLCOG00000007029
gallus_gallus ENSGALG00000051706
coturnix_japonica ENSCJPG00005001683
apteryx_owenii ENSAOWG00000000516
pogona_vitticeps ENSPVIG00000013698
notechis_scutatus ENSNSUG00000013606
salvator_merianae ENSSMRG00000000469
sus_scrofa ENSSSCG00000034534
capra_hircus ENSCHIG00000014554
cricetulus_griseus_crigri-picr ENSCGRG00015017132
cricetulus_griseus_crigri ENSCGRG00000013986
cricetulus_griseus_chok1gshd ENSCGRG00001006751
peromyscus_maniculatus_bairdii ENSPEMG00000002288
mus_spicilegus ENSMSIG00000015626
rattus_norvegicus ENSRNOG00000056259
dipodomys_ordii ENSDORG00000023457
heterocephalus_glaber_male ENSHGLG00100017944
heterocephalus_glaber_female ENSHGLG00000018622
fukomys_damarensis ENSFDAG00000005785
chinchilla_lanigera ENSCLAG00000002013
microcebus_murinus ENSMICG00000042660
prolemur_simus ENSPSMG00000011840
theropithecus_gelada ENSTGEG00000027346
piliocolobus_tephrosceles ENSPTEG00000036826
