anser_brachyrhynchus ENSABRG00000015596
anas_platyrhynchos ENSAPLG00000029740
numida_meleagris ENSNMEG00000021550
coturnix_japonica ENSCJPG00005010277
melopsittacus_undulatus ENSMUNG00000010993
gallus_gallus ENSGALG00000031423
junco_hyemalis ENSJHYG00000009715
lepidothrix_coronata ENSLCOG00000000072
ficedula_albicollis ENSFALG00000005353
lonchura_striata ENSLSDG00000012786
parus_major ENSPMJG00000000744
calidris_pygmaea ENSCPGG00000012710
calidris_pugnax ENSCPUG00000011836
nothoprocta_perdicaria ENSNPEG00000015143
chelonoidis_abingdonii ENSCABG00000005437
gopherus_agassizii ENSGAGG00000012469
chrysemys_picta ENSCPBG00000010018
notechis_scutatus ENSNSUG00000016323
anolis_carolinensis ENSACAG00000007289
salvator_merianae ENSSMRG00000018294
vombatus_ursinus ENSVURG00010018172
phascolarctos_cinereus ENSPCIG00000030921
monodelphis_domestica ENSMODG00000001251
neovison_vison ENSNVIG00000018412
mustela_putorius ENSMPUG00000007160
ursus_americanus ENSUAMG00000021110
canis_lupus ENSCAFG00020013554
felis_catus ENSFCAG00000045950
panthera_pardus ENSPPRG00000003651
equus_asinus ENSEASG00005010730
equus_caballus ENSECAG00000029061
bos_indicus ENSBIXG00005013129
bos_indicus ENSBIXG00000005468
bos_taurus ENSBTAG00000010414
capra_hircus ENSCHIG00000014219
sus_scrofa ENSSSCG00000030552
myotis_lucifugus ENSMLUG00000006249
ailuropoda_melanoleuca ENSAMEG00000017464
bos_mutus ENSBMUG00000015624
ovis_aries ENSOARG00000004283
loxodonta_africana ENSLAFG00000021953
pan_paniscus ENSPPAG00000033541
gorilla_gorilla ENSGGOG00000013269
heterocephalus_glaber ENSHGLG00100002316
rattus_norvegicus ENSRNOG00000008105
colobus_angolensis ENSCANG00000033807
chinchilla_lanigera ENSCLAG00000008314
heterocephalus_glaber ENSHGLG00000001509
octodon_degus ENSODEG00000006537
dipodomys_ordii ENSDORG00000015486
pan_troglodytes ENSPTRG00000000724
homo_sapiens ENSG00000142700
rhinopithecus_bieti ENSRBIG00000031089
rhinopithecus_roxellana ENSRROG00000013168
piliocolobus_tephrosceles ENSPTEG00000027941
chlorocebus_sabaeus ENSCSAG00000001259
mandrillus_leucophaeus ENSMLEG00000021929
cercocebus_atys ENSCATG00000036373
macaca_nemestrina ENSMNEG00000036377
macaca_fascicularis ENSMFAG00000039805
macaca_mulatta ENSMMUG00000052908
theropithecus_gelada ENSTGEG00000003220
papio_anubis ENSPANG00000012592
cebus_capucinus ENSCCAG00000026118
callithrix_jacchus ENSCJAG00000041134
saimiri_boliviensis ENSSBOG00000025121
aotus_nancymaae ENSANAG00000033164
vicugna_pacos ENSVPAG00000007442
pteropus_vampyrus ENSPVAG00000005723
erinaceus_europaeus ENSEEUG00000010248
echinops_telfairi ENSETEG00000000334
procavia_capensis ENSPCAG00000006879
pongo_abelii ENSPPYG00000001366
nomascus_leucogenys ENSNLEG00000027959
urocitellus_parryii ENSUPAG00010022391
ictidomys_tridecemlineatus ENSSTOG00000024624
castor_canadensis ENSCCNG00000001336
cricetulus_griseus ENSCGRG00001010624
cricetulus_griseus ENSCGRG00015022616
mesocricetus_auratus ENSMAUG00000012169
microtus_ochrogaster ENSMOCG00000018451
peromyscus_maniculatus ENSPEMG00000028558
mus_spicilegus ENSMSIG00000010966
mus_spretus MGP_SPRETEiJ_G0027257
mus_musculus ENSMUSG00000047143
mus_caroli MGP_CAROLIEiJ_G0026288
mus_pahari MGP_PahariEiJ_G0028621
nannospalax_galili ENSNGAG00000010314
meriones_unguiculatus ENSMUGG00000023573
jaculus_jaculus ENSJJAG00000021824
oryctolagus_cuniculus ENSOCUG00000001019
propithecus_coquereli ENSPCOG00000028074
prolemur_simus ENSPSMG00000003033
microcebus_murinus ENSMICG00000044233
otolemur_garnettii ENSOGAG00000026143
dasypus_novemcinctus ENSDNOG00000041150
xenopus_tropicalis ENSXETG00000007996
manacus_vitellinus ENSMVIG00005011618
latimeria_chalumnae ENSLACG00000012046
electrophorus_electricus ENSEEEG00000001514
ictalurus_punctatus ENSIPUG00000001399
danio_rerio ENSDARG00000039412
clupea_harengus ENSCHAG00000008219
hucho_hucho ENSHHUG00000034923
hucho_hucho ENSHHUG00000042339
esox_lucius ENSELUG00000008044
oryzias_latipes ENSORLG00015010007
oryzias_latipes ENSORLG00020014205
