oryzias_latipes_asm223469v1 ENSORLG00015003833
fundulus_heteroclitus ENSFHEG00000004974
amphilophus_citrinellus ENSACIG00000016837
periophthalmus_magnuspinnatus ENSPMGG00000003742
cynoglossus_semilaevis ENSCSEG00000019175
ictalurus_punctatus ENSIPUG00000001828
xiphophorus_couchianus ENSXCOG00000013583
gopherus_agassizii ENSGAGG00000003248
pogona_vitticeps ENSPVIG00000002474
homo_sapiens ENSG00000271949
castor_canadensis ENSCCNG00000000403
chelonoidis_abingdonii ENSCABG00000011940
nothoprocta_perdicaria ENSNPEG00000002750
poecilia_reticulata ENSPREG00000013967
poecilia_latipinna ENSPLAG00000009778
fundulus_heteroclitus ENSFHEG00000009677
