seriola_dumerili ENSSDUG00000009961
seriola_lalandi_dorsalis ENSSLDG00000004363
scophthalmus_maximus ENSSMAG00000006584
labrus_bergylta ENSLBEG00000026264
mola_mola ENSMMOG00000002052
cyprinodon_variegatus ENSCVAG00000012678
fundulus_heteroclitus ENSFHEG00000008803
poecilia_formosa ENSPFOG00000020683
poecilia_latipinna ENSPLAG00000008394
poecilia_mexicana ENSPMEG00000000151
poecilia_reticulata ENSPREG00000020783
xiphophorus_maculatus ENSXMAG00000020207
xiphophorus_couchianus ENSXCOG00000011203
gambusia_affinis ENSGAFG00000017515
kryptolebias_marmoratus ENSKMAG00000000161
oryzias_latipes_asm223469v1 ENSORLG00015018525
oryzias_latipes ENSORLG00000025525
oryzias_latipes ENSORLG00020003831
oryzias_melastigma ENSOMEG00000018605
haplochromis_burtoni ENSHBUG00000016251
pundamilia_nyererei ENSPNYG00000000759
astatotilapia_calliptera ENSACLG00000003056
maylandia_zebra ENSMZEG00005027012
neolamprologus_brichardi ENSNBRG00000001530
oreochromis_niloticus ENSONIG00000021033
amphilophus_citrinellus ENSACIG00000014170
amphiprion_ocellaris ENSAOCG00000011952
amphiprion_percula ENSAPEG00000000773
acanthochromis_polyacanthus ENSAPOG00000012574
stegastes_partitus ENSSPAG00000020017
monopterus_albus ENSMALG00000006733
mastacembelus_armatus ENSMAMG00000007595
anabas_testudineus ENSATEG00000004394
cynoglossus_semilaevis ENSCSEG00000000161
periophthalmus_magnuspinnatus ENSPMGG00000011402
takifugu_rubripes ENSTRUG00000022520
gasterosteus_aculeatus ENSGACG00000006191
hippocampus_comes ENSHCOG00000018514
esox_lucius ENSELUG00000005101
pygocentrus_nattereri ENSPNAG00000020447
astyanax_mexicanus ENSAMXG00000012258
ictalurus_punctatus ENSIPUG00000019388
scleropages_formosus ENSSFOG00015016523
paramormyrops_kingsleyae ENSPKIG00000003416
esox_lucius ENSELUG00000004649
lepisosteus_oculatus ENSLOCG00000017711
