sarcophilus_harrisii ENSSHAG00000008952
phascolarctos_cinereus ENSPCIG00000005004
otolemur_garnettii ENSOGAG00000028752
prolemur_simus ENSPSMG00000006420
theropithecus_gelada ENSTGEG00000028806
chlorocebus_sabaeus ENSCSAG00000018428
piliocolobus_tephrosceles ENSPTEG00000033567
pan_troglodytes ENSPTRG00000045172
homo_sapiens ENSG00000214688
gorilla_gorilla ENSGGOG00000037482
pongo_abelii ENSPPYG00000002360
chinchilla_lanigera ENSCLAG00000017366
cavia_porcellus ENSCPOG00000036163
octodon_degus ENSODEG00000014972
heterocephalus_glaber_female ENSHGLG00000019204
heterocephalus_glaber_male ENSHGLG00100010634
marmota_marmota_marmota ENSMMMG00000006857
ictidomys_tridecemlineatus ENSSTOG00000021747
urocitellus_parryii ENSUPAG00010004231
mus_spicilegus ENSMSIG00000013035
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016168
mus_musculus ENSMUSG00000090439
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015357
mus_pahari MGP_PahariEiJ_G0030773
rattus_norvegicus ENSRNOG00000046494
meriones_unguiculatus ENSMUGG00000015519
microtus_ochrogaster ENSMOCG00000014295
peromyscus_maniculatus_bairdii ENSPEMG00000008830
cricetulus_griseus_crigri-picr ENSCGRG00015008419
cricetulus_griseus_chok1gshd ENSCGRG00001005354
cricetulus_griseus_crigri ENSCGRG00000019658
mesocricetus_auratus ENSMAUG00000015274
nannospalax_galili ENSNGAG00000012878
castor_canadensis ENSCCNG00000031001
bos_taurus ENSBTAG00000045826
bos_mutus ENSBMUG00000018064
bison_bison_bison ENSBBBG00000021078
tursiops_truncatus ENSTTRG00000011209
sus_scrofa ENSSSCG00000038545
pteropus_vampyrus ENSPVAG00000011959
equus_caballus ENSECAG00000031137
equus_asinus_asinus ENSEASG00005016518
ursus_americanus ENSUAMG00000006629
ursus_maritimus ENSUMAG00000008857
canis_lupus_dingo ENSCAFG00020025459
canis_lupus_dingo ENSCAFG00020001177
canis_lupus_familiaris ENSCAFG00000030162
vulpes_vulpes ENSVVUG00000022581
neovison_vison ENSNVIG00000010675
panthera_pardus ENSPPRG00000016350
panthera_tigris_altaica ENSPTIG00000005727
felis_catus ENSFCAG00000042774
ochotona_princeps ENSOPRG00000018264
dasypus_novemcinctus ENSDNOG00000037764
procavia_capensis ENSPCAG00000012965
anolis_carolinensis ENSACAG00000028208
pogona_vitticeps ENSPVIG00000022349
notechis_scutatus ENSNSUG00000015199
salvator_merianae ENSSMRG00000011742
sphenodon_punctatus ENSSPUG00000016365
calidris_pygmaea ENSCPGG00000008384
calidris_pugnax ENSCPUG00000014269
melopsittacus_undulatus ENSMUNG00000011571
lepidothrix_coronata ENSLCOG00000004977
manacus_vitellinus ENSMVIG00005004386
cyanistes_caeruleus ENSCCEG00000019187
parus_major ENSPMJG00000015053
zonotrichia_albicollis ENSZALG00000002034
junco_hyemalis ENSJHYG00000009869
serinus_canaria ENSSCAG00000016549
lonchura_striata_domestica ENSLSDG00000017557
apteryx_owenii ENSAOWG00000010890
apteryx_haastii ENSAHAG00000004874
apteryx_rowi ENSARWG00000008819
dromaius_novaehollandiae ENSDNVG00000015525
crocodylus_porosus ENSCPRG00005008083
chelonoidis_abingdonii ENSCABG00000019494
gopherus_agassizii ENSGAGG00000016074
chrysemys_picta_bellii ENSCPBG00000025932
pelodiscus_sinensis ENSPSIG00000001121
lepisosteus_oculatus ENSLOCG00000018239
