lepisosteus_oculatus ENSLOCG00000015551
paramormyrops_kingsleyae ENSPKIG00000021492
apteryx_owenii ENSAOWG00000012950
apteryx_rowi ENSARWG00000009035
apteryx_haastii ENSAHAG00000018224
dromaius_novaehollandiae ENSDNVG00000006029
nothoprocta_perdicaria ENSNPEG00000015612
parus_major ENSPMJG00000014419
notechis_scutatus ENSNSUG00000015375
castor_canadensis ENSCCNG00000009414
dipodomys_ordii ENSDORG00000027557
ictidomys_tridecemlineatus ENSSTOG00000034966
meriones_unguiculatus ENSMUGG00000008629
meriones_unguiculatus ENSMUGG00000010009
mus_spicilegus ENSMSIG00000019575
cricetulus_griseus_crigri-picr ENSCGRG00015006202
cricetulus_griseus_chok1gshd ENSCGRG00001008358
cricetulus_griseus_crigri-picr ENSCGRG00015008951
microtus_ochrogaster ENSMOCG00000000716
nannospalax_galili ENSNGAG00000013358
jaculus_jaculus ENSJJAG00000005271
octodon_degus ENSODEG00000009591
octodon_degus ENSODEG00000014106
cavia_aperea ENSCAPG00000000410
cavia_porcellus ENSCPOG00000004435
tupaia_belangeri ENSTBEG00000004626
mandrillus_leucophaeus ENSMLEG00000003375
macaca_nemestrina ENSMNEG00000026442
rhinopithecus_roxellana ENSRROG00000013085
rhinopithecus_roxellana ENSRROG00000023125
rhinopithecus_bieti ENSRBIG00000017988
piliocolobus_tephrosceles ENSPTEG00000005365
piliocolobus_tephrosceles ENSPTEG00000005243
pan_troglodytes ENSPTRG00000023227
pan_paniscus ENSPPAG00000023609
callithrix_jacchus ENSCJAG00000046243
callithrix_jacchus ENSCJAG00000046057
carlito_syrichta ENSTSYG00000000845
otolemur_garnettii ENSOGAG00000029795
pteropus_vampyrus ENSPVAG00000016471
neovison_vison ENSNVIG00000017467
ovis_aries ENSOARG00000014935
pan_troglodytes ENSPTRG00000047401
pan_troglodytes ENSPTRG00000048137
pan_paniscus ENSPPAG00000028199
colobus_angolensis_palliatus ENSCANG00000001709
piliocolobus_tephrosceles ENSPTEG00000028077
panthera_pardus ENSPPRG00000024214
erinaceus_europaeus ENSEEUG00000002329
latimeria_chalumnae ENSLACG00000007672
mastacembelus_armatus ENSMAMG00000022556
takifugu_rubripes ENSTRUG00000010963
cynoglossus_semilaevis ENSCSEG00000001603
kryptolebias_marmoratus ENSKMAG00000003156
gasterosteus_aculeatus ENSGACG00000011558
labrus_bergylta ENSLBEG00000000541
mola_mola ENSMMOG00000007733
seriola_dumerili ENSSDUG00000003170
seriola_lalandi_dorsalis ENSSLDG00000001270
amphiprion_percula ENSAPEG00000010300
amphiprion_ocellaris ENSAOCG00000000282
acanthochromis_polyacanthus ENSAPOG00000022780
stegastes_partitus ENSSPAG00000022744
anabas_testudineus ENSATEG00000021507
monopterus_albus ENSMALG00000014759
haplochromis_burtoni ENSHBUG00000003375
neolamprologus_brichardi ENSNBRG00000010708
oreochromis_niloticus ENSONIG00000016075
amphilophus_citrinellus ENSACIG00000003269
poecilia_mexicana ENSPMEG00000015419
poecilia_reticulata ENSPREG00000012478
poecilia_formosa ENSPFOG00000013152
poecilia_latipinna ENSPLAG00000012639
xiphophorus_maculatus ENSXMAG00000000171
xiphophorus_couchianus ENSXCOG00000003780
gambusia_affinis ENSGAFG00000014202
cyprinodon_variegatus ENSCVAG00000004811
fundulus_heteroclitus ENSFHEG00000001180
oryzias_latipes ENSORLG00020017665
hippocampus_comes ENSHCOG00000019712
periophthalmus_magnuspinnatus ENSPMGG00000015514
gadus_morhua ENSGMOG00000011896
astyanax_mexicanus ENSAMXG00000040689
pygocentrus_nattereri ENSPNAG00000002903
ictalurus_punctatus ENSIPUG00000015317
scleropages_formosus ENSSFOG00015017733
maylandia_zebra ENSMZEG00005004484
pundamilia_nyererei ENSPNYG00000019989
oryzias_latipes_asm223469v1 ENSORLG00015003772
oryzias_latipes ENSORLG00000029546
oryzias_melastigma ENSOMEG00000022866
scophthalmus_maximus ENSSMAG00000004941
tetraodon_nigroviridis ENSTNIG00000018689
esox_lucius ENSELUG00000004527
petromyzon_marinus ENSPMAG00000006335
danio_rerio ENSDARG00000032725
eptatretus_burgeri ENSEBUG00000007396
anas_platyrhynchos_platyrhynchos ENSAPLG00000017479
