urocitellus_parryii ENSUPAG00010010443
spermophilus_dauricus ENSSDAG00000023082
ictidomys_tridecemlineatus ENSSTOG00000031327
cricetulus_griseus_crigri ENSCGRG00000004152
cricetulus_griseus_chok1gshd ENSCGRG00001022977
cricetulus_griseus_crigri-picr ENSCGRG00015014342
mesocricetus_auratus ENSMAUG00000012402
microtus_ochrogaster ENSMOCG00000014993
mus_spicilegus ENSMSIG00000028046
mus_musculus ENSMUSG00000030877
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031517
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030403
mus_pahari MGP_PahariEiJ_G0013613
rattus_norvegicus ENSRNOG00000028473
heterocephalus_glaber_female ENSHGLG00000008491
heterocephalus_glaber_male ENSHGLG00100010365
cavia_aperea ENSCAPG00000015157
cavia_porcellus ENSCPOG00000022230
chinchilla_lanigera ENSCLAG00000013981
octodon_degus ENSODEG00000012830
oryctolagus_cuniculus ENSOCUG00000025489
prolemur_simus ENSPSMG00000018641
otolemur_garnettii ENSOGAG00000034154
canis_lupus_dingo ENSCAFG00020021494
canis_lupus_familiaris ENSCAFG00000017726
vulpes_vulpes ENSVVUG00000006417
ursus_americanus ENSUAMG00000002040
ursus_maritimus ENSUMAG00000009511
ailuropoda_melanoleuca ENSAMEG00000003544
panthera_tigris_altaica ENSPTIG00000012406
panthera_pardus ENSPPRG00000007206
felis_catus ENSFCAG00000024230
bos_mutus ENSBMUG00000025120
bos_taurus ENSBTAG00000032373
bison_bison_bison ENSBBBG00000020282
capra_hircus ENSCHIG00000018112
ovis_aries ENSOARG00000015831
sus_scrofa ENSSSCG00000036268
