otolemur_garnettii ENSOGAG00000033179
meriones_unguiculatus ENSMUGG00000022935
bos_taurus ENSBTAG00000026263
bos_mutus ENSBMUG00000018177
bison_bison_bison ENSBBBG00000016281
ovis_aries ENSOARG00000008991
capra_hircus ENSCHIG00000015006
tursiops_truncatus ENSTTRG00000003663
sus_scrofa ENSSSCG00000003070
vicugna_pacos ENSVPAG00000005081
ursus_americanus ENSUAMG00000013698
ursus_maritimus ENSUMAG00000023055
ailuropoda_melanoleuca ENSAMEG00000006129
neovison_vison ENSNVIG00000024690
mustela_putorius_furo ENSMPUG00000006522
canis_lupus_familiaris ENSCAFG00000029944
canis_lupus_dingo ENSCAFG00020013117
vulpes_vulpes ENSVVUG00000008630
panthera_tigris_altaica ENSPTIG00000011243
panthera_pardus ENSPPRG00000014129
felis_catus ENSFCAG00000037598
pteropus_vampyrus ENSPVAG00000015577
equus_caballus ENSECAG00000019518
equus_asinus_asinus ENSEASG00005013620
sorex_araneus ENSSARG00000008073
pan_paniscus ENSPPAG00000004432
pan_troglodytes ENSPTRG00000011098
homo_sapiens ENSG00000124459
pongo_abelii ENSPPYG00000010079
nomascus_leucogenys ENSNLEG00000001805
papio_anubis ENSPANG00000019290
theropithecus_gelada ENSTGEG00000017558
cercocebus_atys ENSCATG00000036397
macaca_mulatta ENSMMUG00000021474
macaca_fascicularis ENSMFAG00000038406
macaca_nemestrina ENSMNEG00000038456
mandrillus_leucophaeus ENSMLEG00000043843
chlorocebus_sabaeus ENSCSAG00000003351
piliocolobus_tephrosceles ENSPTEG00000032514
colobus_angolensis_palliatus ENSCANG00000041424
rhinopithecus_bieti ENSRBIG00000024295
rhinopithecus_roxellana ENSRROG00000035206
callithrix_jacchus ENSCJAG00000013375
cebus_capucinus ENSCCAG00000032415
saimiri_boliviensis_boliviensis ENSSBOG00000029214
aotus_nancymaae ENSANAG00000024028
carlito_syrichta ENSTSYG00000029294
prolemur_simus ENSPSMG00000011339
propithecus_coquereli ENSPCOG00000011112
microcebus_murinus ENSMICG00000031263
tupaia_belangeri ENSTBEG00000005619
urocitellus_parryii ENSUPAG00010021867
spermophilus_dauricus ENSSDAG00000009723
marmota_marmota_marmota ENSMMMG00000016099
ictidomys_tridecemlineatus ENSSTOG00000006275
castor_canadensis ENSCCNG00000000300
heterocephalus_glaber_female ENSHGLG00000003117
heterocephalus_glaber_male ENSHGLG00100007647
fukomys_damarensis ENSFDAG00000020545
chinchilla_lanigera ENSCLAG00000002994
octodon_degus ENSODEG00000011301
cavia_aperea ENSCAPG00000006470
cavia_porcellus ENSCPOG00000002985
cricetulus_griseus_chok1gshd ENSCGRG00001012640
cricetulus_griseus_crigri ENSCGRG00000017528
cricetulus_griseus_crigri-picr ENSCGRG00015014077
peromyscus_maniculatus_bairdii ENSPEMG00000000860
mus_musculus ENSMUSG00000074282
mus_spicilegus ENSMSIG00000000665
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030423
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029329
mus_pahari MGP_PahariEiJ_G0021180
nannospalax_galili ENSNGAG00000019166
meriones_unguiculatus ENSMUGG00000006019
ursus_americanus ENSUAMG00000013624
rattus_norvegicus ENSRNOG00000055608
ochotona_princeps ENSOPRG00000009545
oryctolagus_cuniculus ENSOCUG00000014634
choloepus_hoffmanni ENSCHOG00000010383
dasypus_novemcinctus ENSDNOG00000004415
procavia_capensis ENSPCAG00000008810
