gadus_morhua ENSGMOG00000010947
esox_lucius ENSELUG00000001706
pygocentrus_nattereri ENSPNAG00000004701
astyanax_mexicanus ENSAMXG00000033304
ictalurus_punctatus ENSIPUG00000007783
danio_rerio ENSDARG00000014675
scophthalmus_maximus ENSSMAG00000003225
cynoglossus_semilaevis ENSCSEG00000007421
monopterus_albus ENSMALG00000018787
poecilia_formosa ENSPFOG00000009675
poecilia_latipinna ENSPLAG00000015663
poecilia_mexicana ENSPMEG00000011961
poecilia_reticulata ENSPREG00000019632
gambusia_affinis ENSGAFG00000005746
xiphophorus_maculatus ENSXMAG00000025812
xiphophorus_couchianus ENSXCOG00000019812
cyprinodon_variegatus ENSCVAG00000017556
kryptolebias_marmoratus ENSKMAG00000011369
oryzias_latipes_asm223469v1 ENSORLG00015008871
oryzias_latipes ENSORLG00000027127
oryzias_latipes ENSORLG00020014765
oryzias_melastigma ENSOMEG00000006357
haplochromis_burtoni ENSHBUG00000020740
maylandia_zebra ENSMZEG00005026548
oreochromis_niloticus ENSONIG00000019728
neolamprologus_brichardi ENSNBRG00000016520
amphilophus_citrinellus ENSACIG00000004110
amphiprion_ocellaris ENSAOCG00000009314
amphiprion_percula ENSAPEG00000008329
acanthochromis_polyacanthus ENSAPOG00000011496
stegastes_partitus ENSSPAG00000022136
labrus_bergylta ENSLBEG00000026565
mastacembelus_armatus ENSMAMG00000016832
anabas_testudineus ENSATEG00000009499
seriola_lalandi_dorsalis ENSSLDG00000014634
seriola_dumerili ENSSDUG00000018087
hippocampus_comes ENSHCOG00000002626
gasterosteus_aculeatus ENSGACG00000004526
tetraodon_nigroviridis ENSTNIG00000017559
pundamilia_nyererei ENSPNYG00000010787
astatotilapia_calliptera ENSACLG00000009992
fundulus_heteroclitus ENSFHEG00000000265
tetraodon_nigroviridis ENSTNIG00000018329
mola_mola ENSMMOG00000003692
anabas_testudineus ENSATEG00000023726
cyprinodon_variegatus ENSCVAG00000023112
labrus_bergylta ENSLBEG00000013030
mola_mola ENSMMOG00000016477
seriola_dumerili ENSSDUG00000021873
periophthalmus_magnuspinnatus ENSPMGG00000001275
takifugu_rubripes ENSTRUG00000010789
astyanax_mexicanus ENSAMXG00000032378
scleropages_formosus ENSSFOG00015010061
paramormyrops_kingsleyae ENSPKIG00000002379
