vombatus_ursinus ENSVURG00010021355
phascolarctos_cinereus ENSPCIG00000025273
sarcophilus_harrisii ENSSHAG00000015647
monodelphis_domestica ENSMODG00000029268
pteropus_vampyrus ENSPVAG00000017747
myotis_lucifugus ENSMLUG00000009623
ursus_maritimus ENSUMAG00000010435
ursus_americanus ENSUAMG00000008493
ailuropoda_melanoleuca ENSAMEG00000016373
mustela_putorius ENSMPUG00000000197
neovison_vison ENSNVIG00000018495
canis_lupus ENSCAFG00020025435
canis_lupus ENSCAFG00000013184
vulpes_vulpes ENSVVUG00000022748
panthera_pardus ENSPPRG00000008342
felis_catus ENSFCAG00000014287
equus_caballus ENSECAG00000023275
equus_asinus ENSEASG00005008310
capra_hircus ENSCHIG00000010033
capra_hircus ENSCHIG00000006603
ovis_aries ENSOARG00000017587
bos_indicus ENSBIXG00005018415
bos_indicus ENSBIXG00000004987
bos_taurus ENSBTAG00000011543
bos_mutus ENSBMUG00000011821
tursiops_truncatus ENSTTRG00000001984
sus_scrofa ENSSSCG00000037319
erinaceus_europaeus ENSEEUG00000015956
castor_canadensis ENSCCNG00000010242
dipodomys_ordii ENSDORG00000029674
cricetulus_griseus ENSCGRG00015017274
cricetulus_griseus ENSCGRG00001002477
cricetulus_griseus ENSCGRG00000013190
mesocricetus_auratus ENSMAUG00000000914
microtus_ochrogaster ENSMOCG00000014895
peromyscus_maniculatus ENSPEMG00000010110
mus_spicilegus ENSMSIG00000019277
mus_musculus ENSMUSG00000026285
mus_spretus MGP_SPRETEiJ_G0015274
mus_caroli MGP_CAROLIEiJ_G0014470
mus_pahari MGP_PahariEiJ_G0027706
rattus_norvegicus ENSRNOG00000049797
rattus_norvegicus ENSRNOG00000019043
meriones_unguiculatus ENSMUGG00000011351
nannospalax_galili ENSNGAG00000019405
ictidomys_tridecemlineatus ENSSTOG00000022396
urocitellus_parryii ENSUPAG00010002914
spermophilus_dauricus ENSSDAG00000014689
marmota_marmota ENSMMMG00000007868
chinchilla_lanigera ENSCLAG00000001882
octodon_degus ENSODEG00000011912
cavia_porcellus ENSCPOG00000037292
cavia_aperea ENSCAPG00000013502
heterocephalus_glaber ENSHGLG00000003894
heterocephalus_glaber ENSHGLG00100011484
fukomys_damarensis ENSFDAG00000001451
oryctolagus_cuniculus ENSOCUG00000008079
ochotona_princeps ENSOPRG00000010956
rhinopithecus_roxellana ENSRROG00000038538
rhinopithecus_bieti ENSRBIG00000039390
colobus_angolensis ENSCANG00000043056
piliocolobus_tephrosceles ENSPTEG00000037036
macaca_mulatta ENSMMUG00000063159
macaca_fascicularis ENSMFAG00000037504
macaca_nemestrina ENSMNEG00000034272
theropithecus_gelada ENSTGEG00000027428
cercocebus_atys ENSCATG00000032569
mandrillus_leucophaeus ENSMLEG00000041019
chlorocebus_sabaeus ENSCSAG00000005736
papio_anubis ENSPANG00000009490
gorilla_gorilla ENSGGOG00000014312
homo_sapiens ENSG00000188389
pan_troglodytes ENSPTRG00000051175
pongo_abelii ENSPPYG00000013360
nomascus_leucogenys ENSNLEG00000007780
cebus_capucinus ENSCCAG00000031217
saimiri_boliviensis ENSSBOG00000030074
callithrix_jacchus ENSCJAG00000019795
aotus_nancymaae ENSANAG00000032711
carlito_syrichta ENSTSYG00000026255
microcebus_murinus ENSMICG00000032951
prolemur_simus ENSPSMG00000011707
propithecus_coquereli ENSPCOG00000022702
otolemur_garnettii ENSOGAG00000006347
procavia_capensis ENSPCAG00000012037
loxodonta_africana ENSLAFG00000027822
echinops_telfairi ENSETEG00000011860
dasypus_novemcinctus ENSDNOG00000032057
ornithorhynchus_anatinus ENSOANG00000031433
gallus_gallus ENSGALG00000046559
coturnix_japonica ENSCJPG00005013604
meleagris_gallopavo ENSMGAG00000007656
numida_meleagris ENSNMEG00000005706
anser_brachyrhynchus ENSABRG00000008331
calidris_pugnax ENSCPUG00000017119
calidris_pygmaea ENSCPGG00000018372
lepidothrix_coronata ENSLCOG00000000767
manacus_vitellinus ENSMVIG00005003563
ficedula_albicollis ENSFALG00000007441
junco_hyemalis ENSJHYG00000012199
zonotrichia_albicollis ENSZALG00000006499
serinus_canaria ENSSCAG00000014875
parus_major ENSPMJG00000019596
cyanistes_caeruleus ENSCCEG00000014422
lonchura_striata ENSLSDG00000010015
melopsittacus_undulatus ENSMUNG00000008417
apteryx_owenii ENSAOWG00000018406
apteryx_haastii ENSAHAG00000006492
apteryx_rowi ENSARWG00000007276
dromaius_novaehollandiae ENSDNVG00000006457
nothoprocta_perdicaria ENSNPEG00000008096
crocodylus_porosus ENSCPRG00005012496
gopherus_agassizii ENSGAGG00000023268
chrysemys_picta ENSCPBG00000008181
pelodiscus_sinensis ENSPSIG00000002201
