microcebus_murinus ENSMICG00000033762
rhinopithecus_bieti ENSRBIG00000030463
cavia_aperea ENSCAPG00000017662
propithecus_coquereli ENSPCOG00000020279
prolemur_simus ENSPSMG00000025032
pongo_abelii ENSPPYG00000010987
bos_taurus ENSBTAG00000003212
bos_mutus ENSBMUG00000000490
bison_bison_bison ENSBBBG00000014753
capra_hircus ENSCHIG00000026109
tursiops_truncatus ENSTTRG00000004140
sus_scrofa ENSSSCG00000007336
vicugna_pacos ENSVPAG00000006305
myotis_lucifugus ENSMLUG00000013436
erinaceus_europaeus ENSEEUG00000014222
ovis_aries ENSOARG00000018032
heterocephalus_glaber_female ENSHGLG00000013216
heterocephalus_glaber_male ENSHGLG00100018649
fukomys_damarensis ENSFDAG00000007476
chinchilla_lanigera ENSCLAG00000010875
cavia_porcellus ENSCPOG00000025309
nannospalax_galili ENSNGAG00000023928
cricetulus_griseus_crigri-picr ENSCGRG00015024515
jaculus_jaculus ENSJJAG00000020284
tupaia_belangeri ENSTBEG00000006732
loxodonta_africana ENSLAFG00000017275
oryctolagus_cuniculus ENSOCUG00000014583
pan_troglodytes ENSPTRG00000013476
pan_paniscus ENSPPAG00000041820
nomascus_leucogenys ENSNLEG00000006284
macaca_fascicularis ENSMFAG00000033180
macaca_mulatta ENSMMUG00000019174
chlorocebus_sabaeus ENSCSAG00000013707
cercocebus_atys ENSCATG00000031935
rhinopithecus_roxellana ENSRROG00000039734
papio_anubis ENSPANG00000017151
gorilla_gorilla ENSGGOG00000004609
macaca_nemestrina ENSMNEG00000042447
colobus_angolensis_palliatus ENSCANG00000043108
saimiri_boliviensis_boliviensis ENSSBOG00000035722
cebus_capucinus ENSCCAG00000034940
callithrix_jacchus ENSCJAG00000041804
aotus_nancymaae ENSANAG00000025678
carlito_syrichta ENSTSYG00000034126
otolemur_garnettii ENSOGAG00000028302
ictidomys_tridecemlineatus ENSSTOG00000005293
urocitellus_parryii ENSUPAG00010002865
octodon_degus ENSODEG00000014304
rattus_norvegicus ENSRNOG00000024923
dipodomys_ordii ENSDORG00000024939
mandrillus_leucophaeus ENSMLEG00000033602
homo_sapiens ENSG00000053438
ursus_americanus ENSUAMG00000023134
ailuropoda_melanoleuca ENSAMEG00000012305
canis_lupus_dingo ENSCAFG00020012495
canis_lupus_familiaris ENSCAFG00000008786
vulpes_vulpes ENSVVUG00000029290
felis_catus ENSFCAG00000037238
panthera_pardus ENSPPRG00000005260
pteropus_vampyrus ENSPVAG00000016603
equus_caballus ENSECAG00000036225
equus_asinus_asinus ENSEASG00005000396
procavia_capensis ENSPCAG00000013420
echinops_telfairi ENSETEG00000000772
dasypus_novemcinctus ENSDNOG00000042602
