sarcophilus_harrisii ENSSHAG00000014168
monodelphis_domestica ENSMODG00000025196
phascolarctos_cinereus ENSPCIG00000006739
pan_paniscus ENSPPAG00000001688
pan_troglodytes ENSPTRG00000020956
homo_sapiens ENSG00000137124
gorilla_gorilla ENSGGOG00000013340
gorilla_gorilla ENSGGOG00000040134
pongo_abelii ENSPPYG00000019051
nomascus_leucogenys ENSNLEG00000018370
macaca_fascicularis ENSMFAG00000018664
macaca_mulatta ENSMMUG00000013057
macaca_nemestrina ENSMNEG00000025411
papio_anubis ENSPANG00000031016
theropithecus_gelada ENSTGEG00000003589
cercocebus_atys ENSCATG00000017475
mandrillus_leucophaeus ENSMLEG00000035506
chlorocebus_sabaeus ENSCSAG00000000458
piliocolobus_tephrosceles ENSPTEG00000024882
colobus_angolensis_palliatus ENSCANG00000032691
rhinopithecus_bieti ENSRBIG00000024801
rhinopithecus_roxellana ENSRROG00000010758
saimiri_boliviensis_boliviensis ENSSBOG00000015493
cebus_capucinus ENSCCAG00000005595
callithrix_jacchus ENSCJAG00000010672
aotus_nancymaae ENSANAG00000021218
carlito_syrichta ENSTSYG00000007762
prolemur_simus ENSPSMG00000023842
microcebus_murinus ENSMICG00000008819
propithecus_coquereli ENSPCOG00000007513
otolemur_garnettii ENSOGAG00000027154
marmota_marmota_marmota ENSMMMG00000007976
ursus_maritimus ENSUMAG00000011632
ursus_americanus ENSUAMG00000004998
ailuropoda_melanoleuca ENSAMEG00000018686
neovison_vison ENSNVIG00000015764
mustela_putorius_furo ENSMPUG00000018536
canis_lupus_dingo ENSCAFG00020017924
canis_lupus_familiaris ENSCAFG00000002400
vulpes_vulpes ENSVVUG00000019848
panthera_pardus ENSPPRG00000019923
panthera_tigris_altaica ENSPTIG00000007121
felis_catus ENSFCAG00000002741
equus_caballus ENSECAG00000026817
equus_asinus_asinus ENSEASG00005000734
bos_taurus ENSBTAG00000020385
bos_mutus ENSBMUG00000002345
bison_bison_bison ENSBBBG00000018719
sus_scrofa ENSSSCG00000005361
loxodonta_africana ENSLAFG00000018533
mus_spicilegus ENSMSIG00000020300
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026938
mus_musculus ENSMUSG00000035561
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025975
mus_pahari MGP_PahariEiJ_G0028311
rattus_norvegicus ENSRNOG00000011497
meriones_unguiculatus ENSMUGG00000011586
peromyscus_maniculatus_bairdii ENSPEMG00000001901
microtus_ochrogaster ENSMOCG00000015209
cricetulus_griseus_crigri ENSCGRG00000019453
cricetulus_griseus_crigri-picr ENSCGRG00015028037
cricetulus_griseus_chok1gshd ENSCGRG00001004840
mesocricetus_auratus ENSMAUG00000002155
nannospalax_galili ENSNGAG00000000163
jaculus_jaculus ENSJJAG00000002242
urocitellus_parryii ENSUPAG00010016648
spermophilus_dauricus ENSSDAG00000020688
ictidomys_tridecemlineatus ENSSTOG00000013325
marmota_marmota_marmota ENSMMMG00000005452
chinchilla_lanigera ENSCLAG00000015458
octodon_degus ENSODEG00000014240
heterocephalus_glaber_male ENSHGLG00100012058
heterocephalus_glaber_female ENSHGLG00000003415
ochotona_princeps ENSOPRG00000010129
oryctolagus_cuniculus ENSOCUG00000023726
sorex_araneus ENSSARG00000014569
echinops_telfairi ENSETEG00000004081
erinaceus_europaeus ENSEEUG00000015299
dasypus_novemcinctus ENSDNOG00000014481
ornithorhynchus_anatinus ENSOANG00000002719
xenopus_tropicalis ENSXETG00000014720
