maylandia_zebra ENSMZEG00005000565
neolamprologus_brichardi ENSNBRG00000018104
amphilophus_citrinellus ENSACIG00000007751
xiphophorus_couchianus ENSXCOG00000001728
gambusia_affinis ENSGAFG00000004052
stegastes_partitus ENSSPAG00000005496
scophthalmus_maximus ENSSMAG00000000700
hippocampus_comes ENSHCOG00000019776
periophthalmus_magnuspinnatus ENSPMGG00000010842
lepisosteus_oculatus ENSLOCG00000015913
apteryx_owenii ENSAOWG00000008182
apteryx_rowi ENSARWG00000000386
apteryx_haastii ENSAHAG00000016647
nothoprocta_perdicaria ENSNPEG00000009954
dromaius_novaehollandiae ENSDNVG00000001502
anas_platyrhynchos_platyrhynchos ENSAPLG00000025497
anser_brachyrhynchus ENSABRG00000005592
coturnix_japonica ENSCJPG00005013379
numida_meleagris ENSNMEG00000011218
calidris_pugnax ENSCPUG00000008445
calidris_pygmaea ENSCPGG00000003923
melopsittacus_undulatus ENSMUNG00000015989
parus_major ENSPMJG00000010771
ficedula_albicollis ENSFALG00000009316
lonchura_striata_domestica ENSLSDG00000006522
serinus_canaria ENSSCAG00000013307
junco_hyemalis ENSJHYG00000017057
lepidothrix_coronata ENSLCOG00000012984
manacus_vitellinus ENSMVIG00005006578
crocodylus_porosus ENSCPRG00005009811
gopherus_agassizii ENSGAGG00000016921
chelonoidis_abingdonii ENSCABG00000019253
chrysemys_picta_bellii ENSCPBG00000026301
anolis_carolinensis ENSACAG00000028969
pogona_vitticeps ENSPVIG00000006579
salvator_merianae ENSSMRG00000012722
ursus_americanus ENSUAMG00000010882
ursus_maritimus ENSUMAG00000004465
ailuropoda_melanoleuca ENSAMEG00000005862
mustela_putorius_furo ENSMPUG00000007775
canis_lupus_familiaris ENSCAFG00000003299
canis_lupus_dingo ENSCAFG00020006480
vulpes_vulpes ENSVVUG00000010984
equus_asinus_asinus ENSEASG00005004080
capra_hircus ENSCHIG00000009535
ovis_aries ENSOARG00000003322
bos_mutus ENSBMUG00000002814
sus_scrofa ENSSSCG00000016650
colobus_angolensis_palliatus ENSCANG00000038086
rhinopithecus_roxellana ENSRROG00000031676
pan_paniscus ENSPPAG00000028203
aotus_nancymaae ENSANAG00000009394
carlito_syrichta ENSTSYG00000002916
castor_canadensis ENSCCNG00000010490
dipodomys_ordii ENSDORG00000026936
meriones_unguiculatus ENSMUGG00000000902
mus_spicilegus ENSMSIG00000003815
mesocricetus_auratus ENSMAUG00000003972
jaculus_jaculus ENSJJAG00000024110
heterocephalus_glaber_male ENSHGLG00100007945
octodon_degus ENSODEG00000006131
spermophilus_dauricus ENSSDAG00000003258
ochotona_princeps ENSOPRG00000000996
myotis_lucifugus ENSMLUG00000010701
latimeria_chalumnae ENSLACG00000013398
petromyzon_marinus ENSPMAG00000002979
eptatretus_burgeri ENSEBUG00000002800
