mus_musculus ENSMUSG00000066938
mus_spretus MGP_SPRETEiJ_G0022823
mus_caroli MGP_CAROLIEiJ_G0021907
mus_spicilegus ENSMSIG00000007236
mus_pahari MGP_PahariEiJ_G0020897
meriones_unguiculatus ENSMUGG00000018540
cricetulus_griseus ENSCGRG00001011662
cricetulus_griseus ENSCGRG00015016365
peromyscus_maniculatus ENSPEMG00000028661
chinchilla_lanigera ENSCLAG00000017724
ictidomys_tridecemlineatus ENSSTOG00000026079
marmota_marmota ENSMMMG00000016715
urocitellus_parryii ENSUPAG00010004140
castor_canadensis ENSCCNG00000022121
loxodonta_africana ENSLAFG00000026405
