amphiprion_ocellaris ENSAOCG00000007800
acanthochromis_polyacanthus ENSAPOG00000022241
stegastes_partitus ENSSPAG00000022044
cyprinodon_variegatus ENSCVAG00000010692
fundulus_heteroclitus ENSFHEG00000002219
xiphophorus_couchianus ENSXCOG00000020372
xiphophorus_maculatus ENSXMAG00000029162
gambusia_affinis ENSGAFG00000005083
poecilia_latipinna ENSPLAG00000015403
poecilia_reticulata ENSPREG00000014609
poecilia_formosa ENSPFOG00000018096
poecilia_mexicana ENSPMEG00000004434
kryptolebias_marmoratus ENSKMAG00000013076
oryzias_latipes ENSORLG00000026923
oryzias_latipes ENSORLG00020001832
oryzias_latipes_asm223469v1 ENSORLG00015014554
oryzias_melastigma ENSOMEG00000008351
astatotilapia_calliptera ENSACLG00000025423
maylandia_zebra ENSMZEG00005019708
haplochromis_burtoni ENSHBUG00000010260
pundamilia_nyererei ENSPNYG00000013829
neolamprologus_brichardi ENSNBRG00000022993
oreochromis_niloticus ENSONIG00000014907
amphilophus_citrinellus ENSACIG00000000160
mastacembelus_armatus ENSMAMG00000008338
tetraodon_nigroviridis ENSTNIG00000017959
takifugu_rubripes ENSTRUG00000025377
mola_mola ENSMMOG00000008632
seriola_lalandi_dorsalis ENSSLDG00000020411
seriola_dumerili ENSSDUG00000014511
scophthalmus_maximus ENSSMAG00000004296
labrus_bergylta ENSLBEG00000012350
labrus_bergylta ENSLBEG00000011098
monopterus_albus ENSMALG00000006195
anabas_testudineus ENSATEG00000001450
hippocampus_comes ENSHCOG00000010413
periophthalmus_magnuspinnatus ENSPMGG00000012865
esox_lucius ENSELUG00000019837
danio_rerio ENSDARG00000114258
paramormyrops_kingsleyae ENSPKIG00000022522
scleropages_formosus ENSSFOG00015012875
lepisosteus_oculatus ENSLOCG00000002682
