chrysemys_picta ENSCPBG00000016083
calidris_pygmaea ENSCPGG00000014367
monodelphis_domestica ENSMODG00000005844
junco_hyemalis ENSJHYG00000014585
serinus_canaria ENSSCAG00000002779
melopsittacus_undulatus ENSMUNG00000015681
gallus_gallus ENSGALG00000033569
apteryx_owenii ENSAOWG00000005870
crocodylus_porosus ENSCPRG00005011253
sphenodon_punctatus ENSSPUG00000011990
urocitellus_parryii ENSUPAG00010023422
spermophilus_dauricus ENSSDAG00000002623
marmota_marmota ENSMMMG00000003480
castor_canadensis ENSCCNG00000016610
oryctolagus_cuniculus ENSOCUG00000036543
piliocolobus_tephrosceles ENSPTEG00000024937
capra_hircus ENSCHIG00000010902
manacus_vitellinus ENSMVIG00005017693
erpetoichthys_calabaricus ENSECRG00000006508
eptatretus_burgeri ENSEBUG00000016815
