tursiops_truncatus ENSTTRG00000004195
vicugna_pacos ENSVPAG00000011156
pteropus_vampyrus ENSPVAG00000015082
erinaceus_europaeus ENSEEUG00000008307
sorex_araneus ENSSARG00000011691
pan_paniscus ENSPPAG00000040567
pan_troglodytes ENSPTRG00000006231
gorilla_gorilla ENSGGOG00000009355
rhinopithecus_bieti ENSRBIG00000031563
rhinopithecus_roxellana ENSRROG00000040454
colobus_angolensis_palliatus ENSCANG00000030721
macaca_mulatta ENSMMUG00000038390
mandrillus_leucophaeus ENSMLEG00000007006
macaca_fascicularis ENSMFAG00000033313
cercocebus_atys ENSCATG00000039455
chlorocebus_sabaeus ENSCSAG00000015809
papio_anubis ENSPANG00000020459
callithrix_jacchus ENSCJAG00000035022
saimiri_boliviensis_boliviensis ENSSBOG00000034922
tupaia_belangeri ENSTBEG00000002534
procavia_capensis ENSPCAG00000004739
