seriola_dumerili ENSSDUG00000020320
seriola_lalandi_dorsalis ENSSLDG00000000284
scophthalmus_maximus ENSSMAG00000020399
monopterus_albus ENSMALG00000010930
mastacembelus_armatus ENSMAMG00000003350
anabas_testudineus ENSATEG00000007435
fundulus_heteroclitus ENSFHEG00000008500
cyprinodon_variegatus ENSCVAG00000003225
poecilia_mexicana ENSPMEG00000008074
kryptolebias_marmoratus ENSKMAG00000002132
oryzias_latipes ENSORLG00000024759
oryzias_latipes ENSORLG00020009778
oryzias_latipes_asm223469v1 ENSORLG00015016997
oryzias_melastigma ENSOMEG00000008802
haplochromis_burtoni ENSHBUG00000023296
maylandia_zebra ENSMZEG00005026393
pundamilia_nyererei ENSPNYG00000017577
neolamprologus_brichardi ENSNBRG00000013001
amphilophus_citrinellus ENSACIG00000013709
labrus_bergylta ENSLBEG00000023898
mola_mola ENSMMOG00000014493
hippocampus_comes ENSHCOG00000006963
amphiprion_percula ENSAPEG00000019065
amphiprion_ocellaris ENSAOCG00000016389
acanthochromis_polyacanthus ENSAPOG00000013340
stegastes_partitus ENSSPAG00000013834
periophthalmus_magnuspinnatus ENSPMGG00000019780
esox_lucius ENSELUG00000005589
pygocentrus_nattereri ENSPNAG00000024515
astyanax_mexicanus ENSAMXG00000029552
ictalurus_punctatus ENSIPUG00000014441
danio_rerio ENSDARG00000104929
scleropages_formosus ENSSFOG00015009305
paramormyrops_kingsleyae ENSPKIG00000018880
