sphenodon_punctatus ENSSPUG00000018077
notechis_scutatus ENSNSUG00000014328
gopherus_agassizii ENSGAGG00000024787
chelonoidis_abingdonii ENSCABG00000016721
chrysemys_picta_bellii ENSCPBG00000015601
pelodiscus_sinensis ENSPSIG00000016606
lonchura_striata_domestica ENSLSDG00000014651
taeniopygia_guttata ENSTGUG00000008707
parus_major ENSPMJG00000009183
cyanistes_caeruleus ENSCCEG00000009475
junco_hyemalis ENSJHYG00000007715
calidris_pugnax ENSCPUG00000005347
gallus_gallus ENSGALG00000008014
coturnix_japonica ENSCJPG00005007308
dromaius_novaehollandiae ENSDNVG00000003650
nothoprocta_perdicaria ENSNPEG00000010789
ficedula_albicollis ENSFALG00000014081
serinus_canaria ENSSCAG00000015560
lepidothrix_coronata ENSLCOG00000008260
calidris_pygmaea ENSCPGG00000006568
apteryx_owenii ENSAOWG00000001334
anas_platyrhynchos_platyrhynchos ENSAPLG00000020861
anser_brachyrhynchus ENSABRG00000021130
numida_meleagris ENSNMEG00000001284
apteryx_haastii ENSAHAG00000012071
apteryx_rowi ENSARWG00000007056
anolis_carolinensis ENSACAG00000015567
crocodylus_porosus ENSCPRG00005004615
salvator_merianae ENSSMRG00000005058
notamacropus_eugenii ENSMEUG00000000063
monodelphis_domestica ENSMODG00000016314
heterocephalus_glaber_female ENSHGLG00000005124
octodon_degus ENSODEG00000007763
urocitellus_parryii ENSUPAG00010000335
castor_canadensis ENSCCNG00000010873
oryctolagus_cuniculus ENSOCUG00000024667
gorilla_gorilla ENSGGOG00000043045
pan_troglodytes ENSPTRG00000048989
homo_sapiens ENSG00000172216
pongo_abelii ENSPPYG00000011124
macaca_mulatta ENSMMUG00000045219
macaca_fascicularis ENSMFAG00000041086
macaca_nemestrina ENSMNEG00000008052
cercocebus_atys ENSCATG00000020712
chlorocebus_sabaeus ENSCSAG00000018746
theropithecus_gelada ENSTGEG00000015240
papio_anubis ENSPANG00000007537
piliocolobus_tephrosceles ENSPTEG00000013240
cebus_capucinus ENSCCAG00000018941
callithrix_jacchus ENSCJAG00000038265
aotus_nancymaae ENSANAG00000021304
prolemur_simus ENSPSMG00000012787
propithecus_coquereli ENSPCOG00000026786
microcebus_murinus ENSMICG00000035606
otolemur_garnettii ENSOGAG00000026467
sus_scrofa ENSSSCG00000034207
tursiops_truncatus ENSTTRG00000003985
capra_hircus ENSCHIG00000026165
bos_taurus ENSBTAG00000051972
pteropus_vampyrus ENSPVAG00000003541
myotis_lucifugus ENSMLUG00000002060
mustela_putorius_furo ENSMPUG00000019019
ursus_americanus ENSUAMG00000021129
canis_lupus_dingo ENSCAFG00020017492
panthera_pardus ENSPPRG00000016636
panthera_pardus ENSPPRG00000016619
felis_catus ENSFCAG00000041071
equus_caballus ENSECAG00000027770
equus_asinus_asinus ENSEASG00005023317
