monopterus_albus ENSMALG00000003672
mastacembelus_armatus ENSMAMG00000006423
anabas_testudineus ENSATEG00000001552
seriola_lalandi_dorsalis ENSSLDG00000004837
seriola_dumerili ENSSDUG00000022367
scophthalmus_maximus ENSSMAG00000008267
cynoglossus_semilaevis ENSCSEG00000018931
astatotilapia_calliptera ENSACLG00000020372
haplochromis_burtoni ENSHBUG00000007466
oreochromis_niloticus ENSONIG00000016909
fundulus_heteroclitus ENSFHEG00000000658
cyprinodon_variegatus ENSCVAG00000015546
poecilia_formosa ENSPFOG00000023814
poecilia_reticulata ENSPREG00000007819
gambusia_affinis ENSGAFG00000016848
amphiprion_percula ENSAPEG00000012704
amphiprion_ocellaris ENSAOCG00000018419
esox_lucius ENSELUG00000014400
pygocentrus_nattereri ENSPNAG00000004666
astyanax_mexicanus ENSAMXG00000008606
ictalurus_punctatus ENSIPUG00000016059
paramormyrops_kingsleyae ENSPKIG00000024385
lepisosteus_oculatus ENSLOCG00000003834
ornithorhynchus_anatinus ENSOANG00000003480
ornithorhynchus_anatinus ENSOANG00000011008
bos_mutus ENSBMUG00000014508
bos_taurus ENSBTAG00000012157
bison_bison_bison ENSBBBG00000004459
ovis_aries ENSOARG00000017181
capra_hircus ENSCHIG00000025634
tursiops_truncatus ENSTTRG00000014405
vicugna_pacos ENSVPAG00000001577
sus_scrofa ENSSSCG00000008983
pteropus_vampyrus ENSPVAG00000012525
ursus_americanus ENSUAMG00000024944
ursus_maritimus ENSUMAG00000007861
ailuropoda_melanoleuca ENSAMEG00000011815
neovison_vison ENSNVIG00000024108
mustela_putorius_furo ENSMPUG00000008436
canis_lupus_dingo ENSCAFG00020011548
canis_lupus_familiaris ENSCAFG00000008634
vulpes_vulpes ENSVVUG00000023403
panthera_tigris_altaica ENSPTIG00000020021
panthera_pardus ENSPPRG00000003721
felis_catus ENSFCAG00000010427
felis_catus ENSFCAG00000042711
myotis_lucifugus ENSMLUG00000005202
erinaceus_europaeus ENSEEUG00000001353
equus_asinus_asinus ENSEASG00005016456
equus_caballus ENSECAG00000019478
pan_troglodytes ENSPTRG00000016189
pan_paniscus ENSPPAG00000043751
gorilla_gorilla ENSGGOG00000007500
homo_sapiens ENSG00000163749
pongo_abelii ENSPPYG00000014861
nomascus_leucogenys ENSNLEG00000008104
theropithecus_gelada ENSTGEG00000012702
papio_anubis ENSPANG00000018334
cercocebus_atys ENSCATG00000044186
mandrillus_leucophaeus ENSMLEG00000029903
macaca_mulatta ENSMMUG00000020916
macaca_nemestrina ENSMNEG00000034010
macaca_fascicularis ENSMFAG00000040081
chlorocebus_sabaeus ENSCSAG00000004624
piliocolobus_tephrosceles ENSPTEG00000024763
colobus_angolensis_palliatus ENSCANG00000021680
rhinopithecus_roxellana ENSRROG00000030497
rhinopithecus_bieti ENSRBIG00000044923
cebus_capucinus ENSCCAG00000034839
saimiri_boliviensis_boliviensis ENSSBOG00000033721
callithrix_jacchus ENSCJAG00000014647
aotus_nancymaae ENSANAG00000025294
carlito_syrichta ENSTSYG00000002024
propithecus_coquereli ENSPCOG00000014409
microcebus_murinus ENSMICG00000017894
prolemur_simus ENSPSMG00000011976
otolemur_garnettii ENSOGAG00000016358
chinchilla_lanigera ENSCLAG00000007109
octodon_degus ENSODEG00000001128
cavia_porcellus ENSCPOG00000011711
cavia_aperea ENSCAPG00000000097
heterocephalus_glaber_female ENSHGLG00000013896
heterocephalus_glaber_male ENSHGLG00100005293
fukomys_damarensis ENSFDAG00000007540
castor_canadensis ENSCCNG00000004145
urocitellus_parryii ENSUPAG00010009448
ictidomys_tridecemlineatus ENSSTOG00000012606
marmota_marmota_marmota ENSMMMG00000006444
spermophilus_dauricus ENSSDAG00000007922
dipodomys_ordii ENSDORG00000009456
mus_musculus ENSMUSG00000050050
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028418
mus_pahari MGP_PahariEiJ_G0017199
rattus_norvegicus ENSRNOG00000002204
meriones_unguiculatus ENSMUGG00000021053
peromyscus_maniculatus_bairdii ENSPEMG00000008230
microtus_ochrogaster ENSMOCG00000017131
cricetulus_griseus_crigri-picr ENSCGRG00015011495
cricetulus_griseus_crigri ENSCGRG00000000423
cricetulus_griseus_chok1gshd ENSCGRG00001020351
mesocricetus_auratus ENSMAUG00000017239
nannospalax_galili ENSNGAG00000015531
jaculus_jaculus ENSJJAG00000011028
oryctolagus_cuniculus ENSOCUG00000013553
ochotona_princeps ENSOPRG00000002965
tupaia_belangeri ENSTBEG00000003599
choloepus_hoffmanni ENSCHOG00000013908
dasypus_novemcinctus ENSDNOG00000025208
loxodonta_africana ENSLAFG00000006683
procavia_capensis ENSPCAG00000002583
sorex_araneus ENSSARG00000007343
sarcophilus_harrisii ENSSHAG00000002216
monodelphis_domestica ENSMODG00000019307
notamacropus_eugenii ENSMEUG00000002343
phascolarctos_cinereus ENSPCIG00000014887
anolis_carolinensis ENSACAG00000012498
pogona_vitticeps ENSPVIG00000012079
notechis_scutatus ENSNSUG00000001903
salvator_merianae ENSSMRG00000012828
sphenodon_punctatus ENSSPUG00000006701
gopherus_agassizii ENSGAGG00000002177
chelonoidis_abingdonii ENSCABG00000009359
chrysemys_picta_bellii ENSCPBG00000019432
pelodiscus_sinensis ENSPSIG00000008743
apteryx_owenii ENSAOWG00000019085
apteryx_haastii ENSAHAG00000008050
apteryx_rowi ENSARWG00000003079
dromaius_novaehollandiae ENSDNVG00000007845
nothoprocta_perdicaria ENSNPEG00000010601
melopsittacus_undulatus ENSMUNG00000012042
latimeria_chalumnae ENSLACG00000022432
