poecilia_reticulata ENSPREG00000014241
pundamilia_nyererei ENSPNYG00000002710
astyanax_mexicanus ENSAMXG00000020569
paramormyrops_kingsleyae ENSPKIG00000023490
seriola_lalandi_dorsalis ENSSLDG00000011464
urocitellus_parryii ENSUPAG00010016671
castor_canadensis ENSCCNG00000031224
meriones_unguiculatus ENSMUGG00000009248
mus_spicilegus ENSMSIG00000009984
theropithecus_gelada ENSTGEG00000000725
theropithecus_gelada ENSTGEG00000012101
theropithecus_gelada ENSTGEG00000018165
felis_catus ENSFCAG00000046197
panthera_tigris_altaica ENSPTIG00000012253
ursus_americanus ENSUAMG00000014548
sus_scrofa ENSSSCG00000039388
