cavia_aperea ENSCAPG00000011875
spermophilus_dauricus ENSSDAG00000000650
cricetulus_griseus ENSCGRG00000001731
cricetulus_griseus ENSCGRG00001018996
mesocricetus_auratus ENSMAUG00000012532
meriones_unguiculatus ENSMUGG00000026618
castor_canadensis ENSCCNG00000013871
neovison_vison ENSNVIG00000016303
ursus_americanus ENSUAMG00000008264
canis_lupus ENSCAFG00020002938
equus_asinus ENSEASG00005001255
bison_bison ENSBBBG00000007694
bos_mutus ENSBMUG00000001699
loxodonta_africana ENSLAFG00000026474
dasypus_novemcinctus ENSDNOG00000049545
