melopsittacus_undulatus ENSMUNG00000008648
calidris_pugnax ENSCPUG00000005552
gallus_gallus ENSGALG00000039326
meleagris_gallopavo ENSMGAG00000002158
lepidothrix_coronata ENSLCOG00000011564
ficedula_albicollis ENSFALG00000013323
gopherus_agassizii ENSGAGG00000005427
salvator_merianae ENSSMRG00000004652
pogona_vitticeps ENSPVIG00000002493
pan_paniscus ENSPPAG00000033010
pan_troglodytes ENSPTRG00000038894
gorilla_gorilla ENSGGOG00000025369
homo_sapiens ENSG00000226742
nomascus_leucogenys ENSNLEG00000008376
rhinopithecus_bieti ENSRBIG00000035594
rhinopithecus_roxellana ENSRROG00000036197
colobus_angolensis_palliatus ENSCANG00000029958
piliocolobus_tephrosceles ENSPTEG00000028284
macaca_fascicularis ENSMFAG00000001811
macaca_nemestrina ENSMNEG00000032907
macaca_mulatta ENSMMUG00000048128
mandrillus_leucophaeus ENSMLEG00000031421
papio_anubis ENSPANG00000011076
chlorocebus_sabaeus ENSCSAG00000018253
cercocebus_atys ENSCATG00000013374
theropithecus_gelada ENSTGEG00000007724
cebus_capucinus ENSCCAG00000023553
saimiri_boliviensis_boliviensis ENSSBOG00000022763
callithrix_jacchus ENSCJAG00000048675
aotus_nancymaae ENSANAG00000031164
carlito_syrichta ENSTSYG00000028373
microcebus_murinus ENSMICG00000028958
propithecus_coquereli ENSPCOG00000018227
prolemur_simus ENSPSMG00000023926
mus_spicilegus ENSMSIG00000002676
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022436
mus_musculus ENSMUSG00000078963
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023351
mus_pahari MGP_PahariEiJ_G0019164
rattus_norvegicus ENSRNOG00000059055
meriones_unguiculatus ENSMUGG00000019551
microtus_ochrogaster ENSMOCG00000000864
peromyscus_maniculatus_bairdii ENSPEMG00000028002
cricetulus_griseus_crigri-picr ENSCGRG00015013994
cricetulus_griseus_chok1gshd ENSCGRG00001020550
cricetulus_griseus_crigri ENSCGRG00000013827
mesocricetus_auratus ENSMAUG00000007227
jaculus_jaculus ENSJJAG00000016955
castor_canadensis ENSCCNG00000004496
heterocephalus_glaber_male ENSHGLG00100004257
heterocephalus_glaber_female ENSHGLG00000002355
fukomys_damarensis ENSFDAG00000004148
cavia_aperea ENSCAPG00000008889
cavia_porcellus ENSCPOG00000032487
octodon_degus ENSODEG00000003188
urocitellus_parryii ENSUPAG00010001050
ictidomys_tridecemlineatus ENSSTOG00000029821
marmota_marmota_marmota ENSMMMG00000019110
canis_lupus_familiaris ENSCAFG00000031133
canis_lupus_dingo ENSCAFG00020014641
neovison_vison ENSNVIG00000010980
panthera_tigris_altaica ENSPTIG00000011319
panthera_pardus ENSPPRG00000014154
felis_catus ENSFCAG00000022901
equus_caballus ENSECAG00000028420
equus_asinus_asinus ENSEASG00005001945
ursus_americanus ENSUAMG00000003842
sus_scrofa ENSSSCG00000005778
bison_bison_bison ENSBBBG00000014388
danio_rerio ENSDARG00000075984
