haplochromis_burtoni ENSHBUG00000017056
pundamilia_nyererei ENSPNYG00000020637
maylandia_zebra ENSMZEG00005010069
astatotilapia_calliptera ENSACLG00000000868
oreochromis_niloticus ENSONIG00000004585
neolamprologus_brichardi ENSNBRG00000005134
amphilophus_citrinellus ENSACIG00000002071
stegastes_partitus ENSSPAG00000013927
poecilia_mexicana ENSPMEG00000010779
poecilia_formosa ENSPFOG00000002750
poecilia_reticulata ENSPREG00000000800
poecilia_latipinna ENSPLAG00000021827
xiphophorus_couchianus ENSXCOG00000001214
xiphophorus_maculatus ENSXMAG00000001014
gambusia_affinis ENSGAFG00000017901
fundulus_heteroclitus ENSFHEG00000014120
cyprinodon_variegatus ENSCVAG00000009777
kryptolebias_marmoratus ENSKMAG00000019264
oryzias_latipes_asm223469v1 ENSORLG00015016330
oryzias_latipes ENSORLG00020004106
oryzias_latipes ENSORLG00000025295
oryzias_melastigma ENSOMEG00000018577
anabas_testudineus ENSATEG00000001574
monopterus_albus ENSMALG00000000248
seriola_lalandi_dorsalis ENSSLDG00000005659
seriola_dumerili ENSSDUG00000005032
labrus_bergylta ENSLBEG00000006286
takifugu_rubripes ENSTRUG00000015852
pygocentrus_nattereri ENSPNAG00000007901
astyanax_mexicanus ENSAMXG00000016285
danio_rerio ENSDARG00000036227
ursus_americanus ENSUAMG00000002213
ursus_maritimus ENSUMAG00000001665
ailuropoda_melanoleuca ENSAMEG00000006024
neovison_vison ENSNVIG00000012461
mustela_putorius_furo ENSMPUG00000004494
canis_lupus_familiaris ENSCAFG00000002863
canis_lupus_dingo ENSCAFG00020003466
vulpes_vulpes ENSVVUG00000000561
panthera_pardus ENSPPRG00000023448
panthera_tigris_altaica ENSPTIG00000002609
felis_catus ENSFCAG00000008467
equus_caballus ENSECAG00000021063
equus_asinus_asinus ENSEASG00005022093
pteropus_vampyrus ENSPVAG00000009161
ovis_aries ENSOARG00000010230
capra_hircus ENSCHIG00000021793
bos_mutus ENSBMUG00000012489
bos_taurus ENSBTAG00000019447
bison_bison_bison ENSBBBG00000020751
tursiops_truncatus ENSTTRG00000005613
sus_scrofa ENSSSCG00000036611
vicugna_pacos ENSVPAG00000010415
erinaceus_europaeus ENSEEUG00000011282
sorex_araneus ENSSARG00000008216
cricetulus_griseus_crigri ENSCGRG00000016699
cricetulus_griseus_crigri-picr ENSCGRG00015020360
cricetulus_griseus_chok1gshd ENSCGRG00001013575
mesocricetus_auratus ENSMAUG00000006780
microtus_ochrogaster ENSMOCG00000009097
peromyscus_maniculatus_bairdii ENSPEMG00000004324
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029377
mus_musculus ENSMUSG00000029831
mus_spicilegus ENSMSIG00000030952
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028375
mus_pahari MGP_PahariEiJ_G0022125
rattus_norvegicus ENSRNOG00000010806
meriones_unguiculatus ENSMUGG00000008068
nannospalax_galili ENSNGAG00000023484
jaculus_jaculus ENSJJAG00000023289
castor_canadensis ENSCCNG00000009586
dipodomys_ordii ENSDORG00000027438
heterocephalus_glaber_female ENSHGLG00000017985
heterocephalus_glaber_male ENSHGLG00100011679
fukomys_damarensis ENSFDAG00000005202
cavia_porcellus ENSCPOG00000013784
octodon_degus ENSODEG00000009144
urocitellus_parryii ENSUPAG00010017650
ictidomys_tridecemlineatus ENSSTOG00000008873
spermophilus_dauricus ENSSDAG00000005559
marmota_marmota_marmota ENSMMMG00000006151
oryctolagus_cuniculus ENSOCUG00000009530
tupaia_belangeri ENSTBEG00000004710
homo_sapiens ENSG00000105954
gorilla_gorilla ENSGGOG00000011997
pan_troglodytes ENSPTRG00000018998
pan_paniscus ENSPPAG00000010942
pongo_abelii ENSPPYG00000017717
nomascus_leucogenys ENSNLEG00000014908
macaca_nemestrina ENSMNEG00000044212
macaca_mulatta ENSMMUG00000008369
macaca_fascicularis ENSMFAG00000033164
mandrillus_leucophaeus ENSMLEG00000040253
theropithecus_gelada ENSTGEG00000021496
papio_anubis ENSPANG00000008672
cercocebus_atys ENSCATG00000042042
chlorocebus_sabaeus ENSCSAG00000014160
rhinopithecus_bieti ENSRBIG00000033401
rhinopithecus_roxellana ENSRROG00000037427
piliocolobus_tephrosceles ENSPTEG00000030566
colobus_angolensis_palliatus ENSCANG00000042748
saimiri_boliviensis_boliviensis ENSSBOG00000020608
cebus_capucinus ENSCCAG00000030493
callithrix_jacchus ENSCJAG00000007888
aotus_nancymaae ENSANAG00000035252
carlito_syrichta ENSTSYG00000013809
microcebus_murinus ENSMICG00000000759
propithecus_coquereli ENSPCOG00000023274
prolemur_simus ENSPSMG00000014349
loxodonta_africana ENSLAFG00000008838
procavia_capensis ENSPCAG00000016089
echinops_telfairi ENSETEG00000009932
dasypus_novemcinctus ENSDNOG00000018761
choloepus_hoffmanni ENSCHOG00000012004
phascolarctos_cinereus ENSPCIG00000022663
notamacropus_eugenii ENSMEUG00000011080
sarcophilus_harrisii ENSSHAG00000018628
monodelphis_domestica ENSMODG00000000610
ornithorhynchus_anatinus ENSOANG00000031573
manacus_vitellinus ENSMVIG00005017640
lepidothrix_coronata ENSLCOG00000003027
taeniopygia_guttata ENSTGUG00000002868
taeniopygia_guttata ENSTGUG00000017204
lonchura_striata_domestica ENSLSDG00000000972
serinus_canaria ENSSCAG00000014977
junco_hyemalis ENSJHYG00000005306
zonotrichia_albicollis ENSZALG00000011285
cyanistes_caeruleus ENSCCEG00000001823
parus_major ENSPMJG00000001035
ficedula_albicollis ENSFALG00000009541
melopsittacus_undulatus ENSMUNG00000014479
calidris_pugnax ENSCPUG00000010854
calidris_pygmaea ENSCPGG00000001884
anser_brachyrhynchus ENSABRG00000010288
anas_platyrhynchos_platyrhynchos ENSAPLG00000011937
meleagris_gallopavo ENSMGAG00000010628
coturnix_japonica ENSCJPG00005012514
gallus_gallus ENSGALG00000011022
numida_meleagris ENSNMEG00000007565
dromaius_novaehollandiae ENSDNVG00000011717
nothoprocta_perdicaria ENSNPEG00000002521
apteryx_owenii ENSAOWG00000011082
apteryx_haastii ENSAHAG00000016304
apteryx_rowi ENSARWG00000018181
crocodylus_porosus ENSCPRG00005016052
chelonoidis_abingdonii ENSCABG00000000177
gopherus_agassizii ENSGAGG00000024545
chrysemys_picta_bellii ENSCPBG00000022481
pelodiscus_sinensis ENSPSIG00000017952
anolis_carolinensis ENSACAG00000013069
pogona_vitticeps ENSPVIG00000015336
notechis_scutatus ENSNSUG00000011844
salvator_merianae ENSSMRG00000003304
sphenodon_punctatus ENSSPUG00000015924
xenopus_tropicalis ENSXETG00000031334
