gorilla_gorilla ENSGGOG00000013701
homo_sapiens ENSG00000188227
pan_paniscus ENSPPAG00000038403
pan_troglodytes ENSPTRG00000010910
pongo_abelii ENSPPYG00000010532
nomascus_leucogenys ENSNLEG00000016986
colobus_angolensis_palliatus ENSCANG00000028795
piliocolobus_tephrosceles ENSPTEG00000012572
rhinopithecus_bieti ENSRBIG00000042539
rhinopithecus_roxellana ENSRROG00000035042
macaca_mulatta ENSMMUG00000028776
macaca_nemestrina ENSMNEG00000042777
macaca_fascicularis ENSMFAG00000043630
theropithecus_gelada ENSTGEG00000006541
papio_anubis ENSPANG00000006735
mandrillus_leucophaeus ENSMLEG00000038828
cercocebus_atys ENSCATG00000002587
chlorocebus_sabaeus ENSCSAG00000004159
saimiri_boliviensis_boliviensis ENSSBOG00000016022
cebus_capucinus ENSCCAG00000020428
callithrix_jacchus ENSCJAG00000013437
aotus_nancymaae ENSANAG00000013092
carlito_syrichta ENSTSYG00000010127
propithecus_coquereli ENSPCOG00000026773
microcebus_murinus ENSMICG00000029811
prolemur_simus ENSPSMG00000001954
propithecus_coquereli ENSPCOG00000016423
otolemur_garnettii ENSOGAG00000006991
tupaia_belangeri ENSTBEG00000009524
urocitellus_parryii ENSUPAG00010021292
spermophilus_dauricus ENSSDAG00000005458
marmota_marmota_marmota ENSMMMG00000004429
castor_canadensis ENSCCNG00000012165
heterocephalus_glaber_male ENSHGLG00100019341
heterocephalus_glaber_female ENSHGLG00000014559
cavia_porcellus ENSCPOG00000036514
oryctolagus_cuniculus ENSOCUG00000028997
equus_caballus ENSECAG00000016557
equus_asinus_asinus ENSEASG00005002338
sorex_araneus ENSSARG00000011748
tursiops_truncatus ENSTTRG00000013688
vicugna_pacos ENSVPAG00000005389
sus_scrofa ENSSSCG00000033611
capra_hircus ENSCHIG00000026130
ovis_aries ENSOARG00000005366
bos_mutus ENSBMUG00000019287
bos_taurus ENSBTAG00000047219
bison_bison_bison ENSBBBG00000005803
erinaceus_europaeus ENSEEUG00000004648
ursus_americanus ENSUAMG00000020142
ursus_maritimus ENSUMAG00000005030
ailuropoda_melanoleuca ENSAMEG00000014711
neovison_vison ENSNVIG00000015871
mustela_putorius_furo ENSMPUG00000005506
canis_lupus_familiaris ENSCAFG00000028694
panthera_tigris_altaica ENSPTIG00000007362
panthera_pardus ENSPPRG00000016472
felis_catus ENSFCAG00000046384
dasypus_novemcinctus ENSDNOG00000002626
choloepus_hoffmanni ENSCHOG00000003923
