haplochromis_burtoni ENSHBUG00000016599
pundamilia_nyererei ENSPNYG00000023584
oreochromis_niloticus ENSONIG00000019953
oreochromis_niloticus ENSONIG00000007918
maylandia_zebra ENSMZEG00005020502
astatotilapia_calliptera ENSACLG00000013723
maylandia_zebra ENSMZEG00005021793
astatotilapia_calliptera ENSACLG00000011573
maylandia_zebra ENSMZEG00005021809
pundamilia_nyererei ENSPNYG00000020636
neolamprologus_brichardi ENSNBRG00000023388
oreochromis_niloticus ENSONIG00000013215
neolamprologus_brichardi ENSNBRG00000003216
astatotilapia_calliptera ENSACLG00000010708
