amphiprion_percula ENSAPEG00000020993
amphiprion_ocellaris ENSAOCG00000009725
acanthochromis_polyacanthus ENSAPOG00000010719
acanthochromis_polyacanthus ENSAPOG00000003014
acanthochromis_polyacanthus ENSAPOG00000000947
haplochromis_burtoni ENSHBUG00000020824
astatotilapia_calliptera ENSACLG00000025462
pundamilia_nyererei ENSPNYG00000007789
maylandia_zebra ENSMZEG00005020001
neolamprologus_brichardi ENSNBRG00000015590
oreochromis_niloticus ENSONIG00000013912
amphilophus_citrinellus ENSACIG00000006734
stegastes_partitus ENSSPAG00000003298
seriola_dumerili ENSSDUG00000013471
seriola_lalandi_dorsalis ENSSLDG00000024662
anabas_testudineus ENSATEG00000010003
monopterus_albus ENSMALG00000005392
cynoglossus_semilaevis ENSCSEG00000010332
takifugu_rubripes ENSTRUG00000019801
tetraodon_nigroviridis ENSTNIG00000016735
mola_mola ENSMMOG00000014747
mastacembelus_armatus ENSMAMG00000017386
xiphophorus_maculatus ENSXMAG00000009256
xiphophorus_couchianus ENSXCOG00000011498
gambusia_affinis ENSGAFG00000016215
poecilia_mexicana ENSPMEG00000000447
poecilia_formosa ENSPFOG00000003715
poecilia_latipinna ENSPLAG00000023354
poecilia_reticulata ENSPREG00000012612
fundulus_heteroclitus ENSFHEG00000010590
cyprinodon_variegatus ENSCVAG00000010701
kryptolebias_marmoratus ENSKMAG00000003253
periophthalmus_magnuspinnatus ENSPMGG00000002148
gasterosteus_aculeatus ENSGACG00000014682
labrus_bergylta ENSLBEG00000028842
cyprinodon_variegatus ENSCVAG00000003873
scophthalmus_maximus ENSSMAG00000016747
hippocampus_comes ENSHCOG00000014772
gadus_morhua ENSGMOG00000009801
esox_lucius ENSELUG00000015467
pygocentrus_nattereri ENSPNAG00000029930
astyanax_mexicanus ENSAMXG00000034117
ictalurus_punctatus ENSIPUG00000015364
danio_rerio ENSDARG00000098206
paramormyrops_kingsleyae ENSPKIG00000005449
scleropages_formosus ENSSFOG00015007053
notechis_scutatus ENSNSUG00000001299
pogona_vitticeps ENSPVIG00000002400
salvator_merianae ENSSMRG00000011128
sphenodon_punctatus ENSSPUG00000000040
gopherus_agassizii ENSGAGG00000022860
chelonoidis_abingdonii ENSCABG00000001936
chrysemys_picta_bellii ENSCPBG00000025207
pelodiscus_sinensis ENSPSIG00000013828
crocodylus_porosus ENSCPRG00005000359
apteryx_rowi ENSARWG00000018511
apteryx_owenii ENSAOWG00000010980
apteryx_haastii ENSAHAG00000018532
dromaius_novaehollandiae ENSDNVG00000019086
nothoprocta_perdicaria ENSNPEG00000002277
lepidothrix_coronata ENSLCOG00000006871
manacus_vitellinus ENSMVIG00005004382
serinus_canaria ENSSCAG00000006422
junco_hyemalis ENSJHYG00000011793
taeniopygia_guttata ENSTGUG00000003648
lonchura_striata_domestica ENSLSDG00000000824
parus_major ENSPMJG00000009541
cyanistes_caeruleus ENSCCEG00000024128
ficedula_albicollis ENSFALG00000001352
calidris_pygmaea ENSCPGG00000005510
calidris_pugnax ENSCPUG00000011468
phascolarctos_cinereus ENSPCIG00000036472
notamacropus_eugenii ENSMEUG00000009694
sarcophilus_harrisii ENSSHAG00000018238
monodelphis_domestica ENSMODG00000005503
propithecus_coquereli ENSPCOG00000014541
prolemur_simus ENSPSMG00000008508
microcebus_murinus ENSMICG00000005611
otolemur_garnettii ENSOGAG00000008094
rhinopithecus_roxellana ENSRROG00000028799
rhinopithecus_bieti ENSRBIG00000027290
colobus_angolensis_palliatus ENSCANG00000039856
macaca_fascicularis ENSMFAG00000001700
macaca_nemestrina ENSMNEG00000033061
macaca_mulatta ENSMMUG00000016424
mandrillus_leucophaeus ENSMLEG00000042412
theropithecus_gelada ENSTGEG00000022011
cercocebus_atys ENSCATG00000042852
chlorocebus_sabaeus ENSCSAG00000013748
papio_anubis ENSPANG00000031755
piliocolobus_tephrosceles ENSPTEG00000017009
homo_sapiens ENSG00000187024
gorilla_gorilla ENSGGOG00000011033
pan_troglodytes ENSPTRG00000021394
pan_paniscus ENSPPAG00000041782
pongo_abelii ENSPPYG00000019628
nomascus_leucogenys ENSNLEG00000017468
saimiri_boliviensis_boliviensis ENSSBOG00000026699
cebus_capucinus ENSCCAG00000023134
callithrix_jacchus ENSCJAG00000019841
aotus_nancymaae ENSANAG00000025547
oryctolagus_cuniculus ENSOCUG00000006894
tupaia_belangeri ENSTBEG00000001921
equus_caballus ENSECAG00000007615
vicugna_pacos ENSVPAG00000001805
tursiops_truncatus ENSTTRG00000016458
capra_hircus ENSCHIG00000008188
ovis_aries ENSOARG00000011808
bison_bison_bison ENSBBBG00000020731
bos_taurus ENSBTAG00000012736
bos_mutus ENSBMUG00000010781
sus_scrofa ENSSSCG00000005615
equus_asinus_asinus ENSEASG00005020466
pteropus_vampyrus ENSPVAG00000000954
myotis_lucifugus ENSMLUG00000013454
ursus_americanus ENSUAMG00000023948
ursus_americanus ENSUAMG00000003090
ailuropoda_melanoleuca ENSAMEG00000016791
mustela_putorius_furo ENSMPUG00000013790
neovison_vison ENSNVIG00000009973
canis_lupus_dingo ENSCAFG00020015776
canis_lupus_familiaris ENSCAFG00000020123
vulpes_vulpes ENSVVUG00000013198
panthera_pardus ENSPPRG00000007889
panthera_tigris_altaica ENSPTIG00000021082
felis_catus ENSFCAG00000001483
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024367
mus_spicilegus ENSMSIG00000009978
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023450
mus_musculus ENSMUSG00000053746
mus_pahari MGP_PahariEiJ_G0024907
rattus_norvegicus ENSRNOG00000049034
meriones_unguiculatus ENSMUGG00000012879
cricetulus_griseus_chok1gshd ENSCGRG00001013108
cricetulus_griseus_crigri-picr ENSCGRG00015005026
cricetulus_griseus_crigri ENSCGRG00000016553
mesocricetus_auratus ENSMAUG00000006266
microtus_ochrogaster ENSMOCG00000013992
peromyscus_maniculatus_bairdii ENSPEMG00000014360
nannospalax_galili ENSNGAG00000014008
jaculus_jaculus ENSJJAG00000014338
castor_canadensis ENSCCNG00000027355
dipodomys_ordii ENSDORG00000013321
ictidomys_tridecemlineatus ENSSTOG00000008942
urocitellus_parryii ENSUPAG00010014270
marmota_marmota_marmota ENSMMMG00000017329
spermophilus_dauricus ENSSDAG00000024157
cavia_porcellus ENSCPOG00000023968
cavia_aperea ENSCAPG00000015926
octodon_degus ENSODEG00000004012
chinchilla_lanigera ENSCLAG00000011155
heterocephalus_glaber_female ENSHGLG00000019147
heterocephalus_glaber_male ENSHGLG00100003681
fukomys_damarensis ENSFDAG00000020077
procavia_capensis ENSPCAG00000007016
loxodonta_africana ENSLAFG00000021934
dasypus_novemcinctus ENSDNOG00000024194
carlito_syrichta ENSTSYG00000026891
ornithorhynchus_anatinus ENSOANG00000011891
xenopus_tropicalis ENSXETG00000009980
latimeria_chalumnae ENSLACG00000016741
saccharomyces_cerevisiae YHR189W
