sus_scrofa ENSSSCG00000021536
tursiops_truncatus ENSTTRG00000011214
myotis_lucifugus ENSMLUG00000002212
ursus_americanus ENSUAMG00000007930
ailuropoda_melanoleuca ENSAMEG00000005494
mustela_putorius_furo ENSMPUG00000020058
neovison_vison ENSNVIG00000023273
canis_lupus_familiaris ENSCAFG00000024263
canis_lupus_dingo ENSCAFG00020025894
vulpes_vulpes ENSVVUG00000008682
panthera_pardus ENSPPRG00000019554
panthera_tigris_altaica ENSPTIG00000018219
felis_catus ENSFCAG00000004662
equus_asinus_asinus ENSEASG00005006031
equus_caballus ENSECAG00000003923
ochotona_princeps ENSOPRG00000005662
ochotona_princeps ENSOPRG00000016226
dipodomys_ordii ENSDORG00000023807
otolemur_garnettii ENSOGAG00000028444
dasypus_novemcinctus ENSDNOG00000009560
sorex_araneus ENSSARG00000011595
capra_hircus ENSCHIG00000002207
ovis_aries ENSOARG00000010593
bos_taurus ENSBTAG00000047563
bos_mutus ENSBMUG00000014396
bison_bison_bison ENSBBBG00000022810
microcebus_murinus ENSMICG00000001877
propithecus_coquereli ENSPCOG00000010994
prolemur_simus ENSPSMG00000017095
pan_troglodytes ENSPTRG00000048489
pan_troglodytes ENSPTRG00000052009
pan_paniscus ENSPPAG00000010480
homo_sapiens ENSG00000213937
gorilla_gorilla ENSGGOG00000041931
pongo_abelii ENSPPYG00000007023
nomascus_leucogenys ENSNLEG00000035672
piliocolobus_tephrosceles ENSPTEG00000018637
colobus_angolensis_palliatus ENSCANG00000006157
rhinopithecus_roxellana ENSRROG00000017295
rhinopithecus_bieti ENSRBIG00000043333
cercocebus_atys ENSCATG00000000139
mandrillus_leucophaeus ENSMLEG00000014448
macaca_mulatta ENSMMUG00000041201
macaca_nemestrina ENSMNEG00000014238
macaca_fascicularis ENSMFAG00000005034
chlorocebus_sabaeus ENSCSAG00000018844
papio_anubis ENSPANG00000019961
theropithecus_gelada ENSTGEG00000025920
saimiri_boliviensis_boliviensis ENSSBOG00000009203
cebus_capucinus ENSCCAG00000001076
callithrix_jacchus ENSCJAG00000023120
aotus_nancymaae ENSANAG00000019795
carlito_syrichta ENSTSYG00000000124
loxodonta_africana ENSLAFG00000016568
procavia_capensis ENSPCAG00000015331
spermophilus_dauricus ENSSDAG00000008699
marmota_marmota_marmota ENSMMMG00000008338
urocitellus_parryii ENSUPAG00010018420
ictidomys_tridecemlineatus ENSSTOG00000010084
castor_canadensis ENSCCNG00000018116
chinchilla_lanigera ENSCLAG00000017901
octodon_degus ENSODEG00000020111
cavia_aperea ENSCAPG00000008096
cavia_porcellus ENSCPOG00000008462
heterocephalus_glaber_female ENSHGLG00000020798
heterocephalus_glaber_male ENSHGLG00100010861
fukomys_damarensis ENSFDAG00000018499
mus_spicilegus ENSMSIG00000014427
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022064
mus_musculus ENSMUSG00000066720
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021154
mus_pahari MGP_PahariEiJ_G0023471
rattus_norvegicus ENSRNOG00000003654
meriones_unguiculatus ENSMUGG00000017497
cricetulus_griseus_chok1gshd ENSCGRG00001006625
cricetulus_griseus_crigri ENSCGRG00000019512
cricetulus_griseus_crigri-picr ENSCGRG00015011416
mesocricetus_auratus ENSMAUG00000009320
microtus_ochrogaster ENSMOCG00000010561
peromyscus_maniculatus_bairdii ENSPEMG00000007002
nannospalax_galili ENSNGAG00000010322
jaculus_jaculus ENSJJAG00000000996
monodelphis_domestica ENSMODG00000016481
sarcophilus_harrisii ENSSHAG00000017508
notamacropus_eugenii ENSMEUG00000003248
phascolarctos_cinereus ENSPCIG00000017317
