gasterosteus_aculeatus ENSGACG00000011286
mola_mola ENSMMOG00000020318
poecilia_latipinna ENSPLAG00000013332
poecilia_latipinna ENSPLAG00000023590
poecilia_formosa ENSPFOG00000004190
xiphophorus_couchianus ENSXCOG00000010263
gambusia_affinis ENSGAFG00000016054
xiphophorus_maculatus ENSXMAG00000003387
poecilia_mexicana ENSPMEG00000017808
fundulus_heteroclitus ENSFHEG00000004295
seriola_lalandi_dorsalis ENSSLDG00000003982
drosophila_melanogaster FBgn0039300
caenorhabditis_elegans_strain_n2 WBGene00004496
saccharomyces_cerevisiae YHR021C
saccharomyces_cerevisiae YKL156W
piliocolobus_tephrosceles ENSPTEG00000003639
