mesocricetus_auratus ENSMAUG00000020068
octodon_degus ENSODEG00000013199
prolemur_simus ENSPSMG00000001868
choloepus_hoffmanni ENSCHOG00000002440
pan_troglodytes ENSPTRG00000013276
pan_paniscus ENSPPAG00000035464
gorilla_gorilla ENSGGOG00000009013
homo_sapiens ENSG00000125844
pongo_abelii ENSPPYG00000010728
nomascus_leucogenys ENSNLEG00000009692
piliocolobus_tephrosceles ENSPTEG00000036432
colobus_angolensis ENSCANG00000013717
rhinopithecus_bieti ENSRBIG00000044244
rhinopithecus_roxellana ENSRROG00000028582
macaca_fascicularis ENSMFAG00000008658
macaca_mulatta ENSMMUG00000013787
theropithecus_gelada ENSTGEG00000017948
papio_anubis ENSPANG00000018776
cercocebus_atys ENSCATG00000043743
chlorocebus_sabaeus ENSCSAG00000011641
macaca_nemestrina ENSMNEG00000036412
mandrillus_leucophaeus ENSMLEG00000031256
saimiri_boliviensis ENSSBOG00000022194
callithrix_jacchus ENSCJAG00000004913
aotus_nancymaae ENSANAG00000031056
cebus_capucinus ENSCCAG00000028254
carlito_syrichta ENSTSYG00000037036
propithecus_coquereli ENSPCOG00000016164
microcebus_murinus ENSMICG00000013693
prolemur_simus ENSPSMG00000000299
otolemur_garnettii ENSOGAG00000010859
castor_canadensis ENSCCNG00000011305
dipodomys_ordii ENSDORG00000002490
mus_spretus MGP_SPRETEiJ_G0025296
mus_spicilegus ENSMSIG00000021488
mus_musculus ENSMUSG00000027422
mus_caroli MGP_CAROLIEiJ_G0024377
mus_pahari MGP_PahariEiJ_G0025821
rattus_norvegicus ENSRNOG00000005958
meriones_unguiculatus ENSMUGG00000009902
cricetulus_griseus ENSCGRG00000005046
cricetulus_griseus ENSCGRG00001023883
cricetulus_griseus ENSCGRG00015007531
peromyscus_maniculatus ENSPEMG00000012715
microtus_ochrogaster ENSMOCG00000010378
nannospalax_galili ENSNGAG00000010319
jaculus_jaculus ENSJJAG00000011577
ictidomys_tridecemlineatus ENSSTOG00000025839
spermophilus_dauricus ENSSDAG00000003777
urocitellus_parryii ENSUPAG00010003789
marmota_marmota ENSMMMG00000002621
heterocephalus_glaber ENSHGLG00000018289
heterocephalus_glaber ENSHGLG00100007309
fukomys_damarensis ENSFDAG00000010205
chinchilla_lanigera ENSCLAG00000017033
cavia_porcellus ENSCPOG00000022191
oryctolagus_cuniculus ENSOCUG00000021320
ochotona_princeps ENSOPRG00000000979
tupaia_belangeri ENSTBEG00000009613
pteropus_vampyrus ENSPVAG00000000422
myotis_lucifugus ENSMLUG00000012180
equus_asinus ENSEASG00005001933
equus_caballus ENSECAG00000014760
bos_indicus ENSBIXG00000018569
bos_indicus ENSBIXG00005009648
bos_taurus ENSBTAG00000015438
bos_mutus ENSBMUG00000004843
bison_bison ENSBBBG00000010157
capra_hircus ENSCHIG00000022721
ovis_aries ENSOARG00000017736
tursiops_truncatus ENSTTRG00000007292
sus_scrofa ENSSSCG00000024692
ursus_americanus ENSUAMG00000013963
ursus_maritimus ENSUMAG00000024888
ailuropoda_melanoleuca ENSAMEG00000005309
mustela_putorius ENSMPUG00000001305
neovison_vison ENSNVIG00000014503
canis_lupus ENSCAFG00020027513
canis_lupus ENSCAFG00000005479
vulpes_vulpes ENSVVUG00000013194
panthera_pardus ENSPPRG00000003892
panthera_tigris ENSPTIG00000005432
felis_catus ENSFCAG00000011082
sorex_araneus ENSSARG00000005889
erinaceus_europaeus ENSEEUG00000011906
procavia_capensis ENSPCAG00000013547
echinops_telfairi ENSETEG00000006432
loxodonta_africana ENSLAFG00000015681
dasypus_novemcinctus ENSDNOG00000047811
vombatus_ursinus ENSVURG00010006612
phascolarctos_cinereus ENSPCIG00000000650
notamacropus_eugenii ENSMEUG00000005787
ornithorhynchus_anatinus ENSOANG00000001247
astyanax_mexicanus ENSAMXG00000003499
pygocentrus_nattereri ENSPNAG00000016922
danio_rerio ENSDARG00000013763
clupea_harengus ENSCHAG00000019098
mastacembelus_armatus ENSMAMG00000019649
monopterus_albus ENSMALG00000003542
anabas_testudineus ENSATEG00000017047
betta_splendens ENSBSLG00000012429
seriola_dumerili ENSSDUG00000001688
seriola_lalandi ENSSLDG00000002088
lates_calcarifer ENSLCAG00010002575
scophthalmus_maximus ENSSMAG00000009485
tetraodon_nigroviridis ENSTNIG00000016631
takifugu_rubripes ENSTRUG00000007143
mola_mola ENSMMOG00000002469
larimichthys_crocea ENSLCRG00005007950
cottoperca_gobio ENSCGOG00000019113
gasterosteus_aculeatus ENSGACG00000004737
amphiprion_ocellaris ENSAOCG00000003400
amphiprion_percula ENSAPEG00000022935
acanthochromis_polyacanthus ENSAPOG00000001247
stegastes_partitus ENSSPAG00000011084
parambassis_ranga ENSPRNG00000023053
pundamilia_nyererei ENSPNYG00000018464
haplochromis_burtoni ENSHBUG00000021403
maylandia_zebra ENSMZEG00005008901
astatotilapia_calliptera ENSACLG00000025482
neolamprologus_brichardi ENSNBRG00000013000
oreochromis_niloticus ENSONIG00000010011
amphilophus_citrinellus ENSACIG00000008006
poecilia_formosa ENSPFOG00000017093
poecilia_mexicana ENSPMEG00000012177
poecilia_latipinna ENSPLAG00000005613
poecilia_reticulata ENSPREG00000006512
xiphophorus_maculatus ENSXMAG00000006142
