gorilla_gorilla ENSGGOG00000008361
homo_sapiens ENSG00000101203
pan_troglodytes ENSPTRG00000013734
pan_paniscus ENSPPAG00000024254
pongo_abelii ENSPPYG00000011230
nomascus_leucogenys ENSNLEG00000010011
piliocolobus_tephrosceles ENSPTEG00000003375
colobus_angolensis ENSCANG00000041879
rhinopithecus_roxellana ENSRROG00000037231
rhinopithecus_bieti ENSRBIG00000035309
mandrillus_leucophaeus ENSMLEG00000028700
cercocebus_atys ENSCATG00000034558
macaca_mulatta ENSMMUG00000015912
macaca_fascicularis ENSMFAG00000001425
chlorocebus_sabaeus ENSCSAG00000016347
saimiri_boliviensis ENSSBOG00000028118
callithrix_jacchus ENSCJAG00000010103
cebus_capucinus ENSCCAG00000012160
aotus_nancymaae ENSANAG00000023543
carlito_syrichta ENSTSYG00000029460
spermophilus_dauricus ENSSDAG00000007081
ictidomys_tridecemlineatus ENSSTOG00000014595
urocitellus_parryii ENSUPAG00010004864
fukomys_damarensis ENSFDAG00000005319
mus_spretus MGP_SPRETEiJ_G0025719
mus_spicilegus ENSMSIG00000014136
mus_musculus ENSMUSG00000016356
mus_caroli MGP_CAROLIEiJ_G0024794
meriones_unguiculatus ENSMUGG00000006093
cricetulus_griseus ENSCGRG00015016427
nannospalax_galili ENSNGAG00000011814
equus_caballus ENSECAG00000033282
ursus_americanus ENSUAMG00000024976
tursiops_truncatus ENSTTRG00000001818
ovis_aries ENSOARG00000000393
pteropus_vampyrus ENSPVAG00000014108
echinops_telfairi ENSETEG00000018437
notamacropus_eugenii ENSMEUG00000005588
ornithorhynchus_anatinus ENSOANG00000003730
pelodiscus_sinensis ENSPSIG00000012399
chelonoidis_abingdonii ENSCABG00000001068
gallus_gallus ENSGALG00000005797
coturnix_japonica ENSCJPG00005003131
meleagris_gallopavo ENSMGAG00000006260
numida_meleagris ENSNMEG00000016026
anser_brachyrhynchus ENSABRG00000006131
tetraodon_nigroviridis ENSTNIG00000019832
callorhinchus_milii ENSCMIG00000012545
