eptatretus_burgeri ENSEBUG00000008600
petromyzon_marinus ENSPMAG00000001667
phascolarctos_cinereus ENSPCIG00000028152
vombatus_ursinus ENSVURG00010019190
notamacropus_eugenii ENSMEUG00000002217
sarcophilus_harrisii ENSSHAG00000017606
monodelphis_domestica ENSMODG00000002683
loxodonta_africana ENSLAFG00000017870
procavia_capensis ENSPCAG00000003522
echinops_telfairi ENSETEG00000000694
choloepus_hoffmanni ENSCHOG00000009267
dasypus_novemcinctus ENSDNOG00000037143
capra_hircus ENSCHIG00000024810
ovis_aries ENSOARG00000010095
bos_indicus ENSBIXG00000021362
bos_indicus ENSBIXG00005028741
bos_taurus ENSBTAG00000011620
bos_mutus ENSBMUG00000005403
bison_bison ENSBBBG00000017915
tursiops_truncatus ENSTTRG00000012478
sus_scrofa ENSSSCG00000007282
vicugna_pacos ENSVPAG00000009814
equus_caballus ENSECAG00000017510
equus_asinus ENSEASG00005007165
pteropus_vampyrus ENSPVAG00000005448
myotis_lucifugus ENSMLUG00000004825
sorex_araneus ENSSARG00000004612
erinaceus_europaeus ENSEEUG00000007071
ailuropoda_melanoleuca ENSAMEG00000009187
ursus_americanus ENSUAMG00000020940
mustela_putorius ENSMPUG00000017813
neovison_vison ENSNVIG00000017474
canis_lupus ENSCAFG00000007571
canis_lupus ENSCAFG00020005140
vulpes_vulpes ENSVVUG00000004377
panthera_pardus ENSPPRG00000022523
panthera_tigris ENSPTIG00000009571
chinchilla_lanigera ENSCLAG00000016489
octodon_degus ENSODEG00000013242
cavia_porcellus ENSCPOG00000013806
heterocephalus_glaber ENSHGLG00100001966
heterocephalus_glaber ENSHGLG00000008565
fukomys_damarensis ENSFDAG00000021046
ictidomys_tridecemlineatus ENSSTOG00000014830
spermophilus_dauricus ENSSDAG00000019566
urocitellus_parryii ENSUPAG00010004614
marmota_marmota ENSMMMG00000023384
mus_spicilegus ENSMSIG00000002063
mus_spretus MGP_SPRETEiJ_G0025448
mus_musculus ENSMUSG00000038383
mus_caroli MGP_CAROLIEiJ_G0024526
mus_pahari MGP_PahariEiJ_G0025971
rattus_norvegicus ENSRNOG00000025181
meriones_unguiculatus ENSMUGG00000006411
cricetulus_griseus ENSCGRG00001013977
cricetulus_griseus ENSCGRG00015026343
cricetulus_griseus ENSCGRG00000010012
microtus_ochrogaster ENSMOCG00000012991
peromyscus_maniculatus ENSPEMG00000001185
nannospalax_galili ENSNGAG00000002924
jaculus_jaculus ENSJJAG00000021314
dipodomys_ordii ENSDORG00000001715
oryctolagus_cuniculus ENSOCUG00000009627
ochotona_princeps ENSOPRG00000004735
pan_paniscus ENSPPAG00000037046
pan_troglodytes ENSPTRG00000013418
homo_sapiens ENSG00000101464
gorilla_gorilla ENSGGOG00000006437
pongo_abelii ENSPPYG00000010939
nomascus_leucogenys ENSNLEG00000010090
macaca_nemestrina ENSMNEG00000032759
macaca_mulatta ENSMMUG00000063752
macaca_fascicularis ENSMFAG00000042795
mandrillus_leucophaeus ENSMLEG00000023509
cercocebus_atys ENSCATG00000037763
papio_anubis ENSPANG00000006987
theropithecus_gelada ENSTGEG00000005566
chlorocebus_sabaeus ENSCSAG00000012058
rhinopithecus_bieti ENSRBIG00000004516
rhinopithecus_roxellana ENSRROG00000029312
colobus_angolensis ENSCANG00000041016
piliocolobus_tephrosceles ENSPTEG00000009067
cebus_capucinus ENSCCAG00000032834
callithrix_jacchus ENSCJAG00000018152
saimiri_boliviensis ENSSBOG00000019453
aotus_nancymaae ENSANAG00000035852
carlito_syrichta ENSTSYG00000010525
propithecus_coquereli ENSPCOG00000020520
microcebus_murinus ENSMICG00000003257
prolemur_simus ENSPSMG00000018561
otolemur_garnettii ENSOGAG00000003518
mesocricetus_auratus ENSMAUG00000012275
castor_canadensis ENSCCNG00000002315
tupaia_belangeri ENSTBEG00000006046
felis_catus ENSFCAG00000002305
ursus_maritimus ENSUMAG00000005298
ornithorhynchus_anatinus ENSOANG00000011545
anolis_carolinensis ENSACAG00000009379
pogona_vitticeps ENSPVIG00000000651
notechis_scutatus ENSNSUG00000004739
salvator_merianae ENSSMRG00000001122
sphenodon_punctatus ENSSPUG00000008335
taeniopygia_guttata ENSTGUG00000003310
lonchura_striata ENSLSDG00000007029
serinus_canaria ENSSCAG00000010938
zonotrichia_albicollis ENSZALG00000016056
junco_hyemalis ENSJHYG00000005579
ficedula_albicollis ENSFALG00000012629
parus_major ENSPMJG00000001745
cyanistes_caeruleus ENSCCEG00000007524
lepidothrix_coronata ENSLCOG00000015208
manacus_vitellinus ENSMVIG00005014944
melopsittacus_undulatus ENSMUNG00000006496
calidris_pygmaea ENSCPGG00000013380
calidris_pugnax ENSCPUG00000016811
anas_platyrhynchos ENSAPLG00000014171
anser_brachyrhynchus ENSABRG00000016169
gallus_gallus ENSGALG00000001219
coturnix_japonica ENSCJPG00005019631
meleagris_gallopavo ENSMGAG00000001041
numida_meleagris ENSNMEG00000014162
apteryx_owenii ENSAOWG00000010547
apteryx_haastii ENSAHAG00000006611
apteryx_rowi ENSARWG00000000396
dromaius_novaehollandiae ENSDNVG00000010378
nothoprocta_perdicaria ENSNPEG00000003294
crocodylus_porosus ENSCPRG00005012848
gopherus_agassizii ENSGAGG00000002270
chelonoidis_abingdonii ENSCABG00000001045
chrysemys_picta ENSCPBG00000018212
pelodiscus_sinensis ENSPSIG00000007267
xenopus_tropicalis ENSXETG00000021358
latimeria_chalumnae ENSLACG00000019048
hucho_hucho ENSHHUG00000036348
hucho_hucho ENSHHUG00000004902
esox_lucius ENSELUG00000018876
cottoperca_gobio ENSCGOG00000005995
larimichthys_crocea ENSLCRG00005021665
tetraodon_nigroviridis ENSTNIG00000017492
takifugu_rubripes ENSTRUG00000007128
mola_mola ENSMMOG00000009469
monopterus_albus ENSMALG00000010808
mastacembelus_armatus ENSMAMG00000013240
anabas_testudineus ENSATEG00000005765
betta_splendens ENSBSLG00000012751
amphiprion_ocellaris ENSAOCG00000016468
amphiprion_percula ENSAPEG00000000827
acanthochromis_polyacanthus ENSAPOG00000018742
stegastes_partitus ENSSPAG00000016143
parambassis_ranga ENSPRNG00000002874
kryptolebias_marmoratus ENSKMAG00000018679
pundamilia_nyererei ENSPNYG00000003227
haplochromis_burtoni ENSHBUG00000008061
astatotilapia_calliptera ENSACLG00000017250
astatotilapia_calliptera ENSACLG00000018560
maylandia_zebra ENSMZEG00005025671
maylandia_zebra ENSMZEG00005025707
neolamprologus_brichardi ENSNBRG00000008262
oreochromis_niloticus ENSONIG00000005244
amphilophus_citrinellus ENSACIG00000010725
seriola_dumerili ENSSDUG00000009387
seriola_lalandi ENSSLDG00000006823
scophthalmus_maximus ENSSMAG00000001234
lates_calcarifer ENSLCAG00010010779
labrus_bergylta ENSLBEG00000006055
labrus_bergylta ENSLBEG00000025914
fundulus_heteroclitus ENSFHEG00000018878
cyprinodon_variegatus ENSCVAG00000003590
xiphophorus_maculatus ENSXMAG00000028005
xiphophorus_maculatus ENSXMAG00000013633
xiphophorus_couchianus ENSXCOG00000003255
gambusia_affinis ENSGAFG00000020351
poecilia_formosa ENSPFOG00000019169
poecilia_latipinna ENSPLAG00000005474
poecilia_mexicana ENSPMEG00000016843
poecilia_reticulata ENSPREG00000015688
oryzias_latipes ENSORLG00000017459
oryzias_latipes ENSORLG00020010416
oryzias_latipes ENSORLG00015004017
oryzias_melastigma ENSOMEG00000020777
gouania_willdenowi ENSGWIG00000006897
cynoglossus_semilaevis ENSCSEG00000000428
hippocampus_comes ENSHCOG00000012234
gadus_morhua ENSGMOG00000011636
clupea_harengus ENSCHAG00000026383
denticeps_clupeoides ENSDCDG00000029812
astyanax_mexicanus ENSAMXG00000009757
astyanax_mexicanus ENSAMXG00005022057
pygocentrus_nattereri ENSPNAG00000011592
electrophorus_electricus ENSEEEG00000000208
ictalurus_punctatus ENSIPUG00000003857
danio_rerio ENSDARG00000075530
scleropages_formosus ENSSFOG00015012619
paramormyrops_kingsleyae ENSPKIG00000005277
lepisosteus_oculatus ENSLOCG00000007311
erpetoichthys_calabaricus ENSECRG00000009594
callorhinchus_milii ENSCMIG00000011488
ciona_intestinalis ENSCING00000016495
ciona_savignyi ENSCSAVG00000010887
drosophila_melanogaster FBgn0032052
caenorhabditis_elegans WBGene00011914
saccharomyces_cerevisiae YLR459W
