pan_troglodytes ENSPTRG00000019196
pan_paniscus ENSPPAG00000044119
gorilla_gorilla ENSGGOG00000007623
homo_sapiens ENSG00000146648
pongo_abelii ENSPPYG00000017549
nomascus_leucogenys ENSNLEG00000008441
cercocebus_atys ENSCATG00000039642
mandrillus_leucophaeus ENSMLEG00000035929
papio_anubis ENSPANG00000023117
theropithecus_gelada ENSTGEG00000006618
macaca_mulatta ENSMMUG00000022394
macaca_fascicularis ENSMFAG00000034444
macaca_nemestrina ENSMNEG00000022279
chlorocebus_sabaeus ENSCSAG00000016056
piliocolobus_tephrosceles ENSPTEG00000010712
colobus_angolensis ENSCANG00000031898
rhinopithecus_roxellana ENSRROG00000041505
rhinopithecus_bieti ENSRBIG00000041754
cebus_capucinus ENSCCAG00000023661
callithrix_jacchus ENSCJAG00000000989
saimiri_boliviensis ENSSBOG00000027907
aotus_nancymaae ENSANAG00000036014
carlito_syrichta ENSTSYG00000006265
propithecus_coquereli ENSPCOG00000021048
microcebus_murinus ENSMICG00000009640
prolemur_simus ENSPSMG00000025256
otolemur_garnettii ENSOGAG00000009092
tupaia_belangeri ENSTBEG00000012800
spermophilus_dauricus ENSSDAG00000002812
marmota_marmota ENSMMMG00000015895
urocitellus_parryii ENSUPAG00010011920
ictidomys_tridecemlineatus ENSSTOG00000006716
chinchilla_lanigera ENSCLAG00000007797
octodon_degus ENSODEG00000001111
cavia_porcellus ENSCPOG00000000040
cavia_aperea ENSCAPG00000009591
heterocephalus_glaber ENSHGLG00000005749
heterocephalus_glaber ENSHGLG00100004192
fukomys_damarensis ENSFDAG00000013118
mus_musculus ENSMUSG00000020122
mus_spretus MGP_SPRETEiJ_G0016945
mus_spicilegus ENSMSIG00000001122
mus_caroli MGP_CAROLIEiJ_G0016103
mus_pahari MGP_PahariEiJ_G0016788
rattus_norvegicus ENSRNOG00000004332
meriones_unguiculatus ENSMUGG00000025796
cricetulus_griseus ENSCGRG00001020721
cricetulus_griseus ENSCGRG00000007806
cricetulus_griseus ENSCGRG00015027934
mesocricetus_auratus ENSMAUG00000000581
peromyscus_maniculatus ENSPEMG00000012745
microtus_ochrogaster ENSMOCG00000000900
nannospalax_galili ENSNGAG00000019295
jaculus_jaculus ENSJJAG00000014249
castor_canadensis ENSCCNG00000030885
dipodomys_ordii ENSDORG00000013051
oryctolagus_cuniculus ENSOCUG00000010481
ochotona_princeps ENSOPRG00000007103
canis_lupus ENSCAFG00000003465
canis_lupus ENSCAFG00020023672
vulpes_vulpes ENSVVUG00000009879
neovison_vison ENSNVIG00000013258
mustela_putorius ENSMPUG00000018153
ursus_maritimus ENSUMAG00000008777
ursus_americanus ENSUAMG00000025061
panthera_pardus ENSPPRG00000000798
panthera_tigris ENSPTIG00000015949
felis_catus ENSFCAG00000015468
erinaceus_europaeus ENSEEUG00000012984
sorex_araneus ENSSARG00000000739
pteropus_vampyrus ENSPVAG00000011454
myotis_lucifugus ENSMLUG00000005672
bos_indicus ENSBIXG00000009618
bos_indicus ENSBIXG00005016700
bos_taurus ENSBTAG00000011628
bos_mutus ENSBMUG00000018413
bos_mutus ENSBMUG00000014975
bison_bison ENSBBBG00000019718
ovis_aries ENSOARG00000013753
capra_hircus ENSCHIG00000020547
tursiops_truncatus ENSTTRG00000017277
sus_scrofa ENSSSCG00000022126
vicugna_pacos ENSVPAG00000011100
equus_asinus ENSEASG00005018099
equus_caballus ENSECAG00000009952
meriones_unguiculatus ENSMUGG00000025841
meriones_unguiculatus ENSMUGG00000024898
tupaia_belangeri ENSTBEG00000000702
echinops_telfairi ENSETEG00000004611
loxodonta_africana ENSLAFG00000014393
procavia_capensis ENSPCAG00000006282
echinops_telfairi ENSETEG00000014320
choloepus_hoffmanni ENSCHOG00000002830
dasypus_novemcinctus ENSDNOG00000015935
phascolarctos_cinereus ENSPCIG00000003935
vombatus_ursinus ENSVURG00010013668
notamacropus_eugenii ENSMEUG00000002628
monodelphis_domestica ENSMODG00000009033
sarcophilus_harrisii ENSSHAG00000008346
ornithorhynchus_anatinus ENSOANG00000010685
anser_brachyrhynchus ENSABRG00000009417
anas_platyrhynchos ENSAPLG00000002987
gallus_gallus ENSGALG00000038089
coturnix_japonica ENSCJPG00005000163
meleagris_gallopavo ENSMGAG00000012330
numida_meleagris ENSNMEG00000001245
parus_major ENSPMJG00000018030
cyanistes_caeruleus ENSCCEG00000016734
ficedula_albicollis ENSFALG00000004982
taeniopygia_guttata ENSTGUG00000016456
taeniopygia_guttata ENSTGUG00000001806
lonchura_striata ENSLSDG00000008108
serinus_canaria ENSSCAG00000015542
junco_hyemalis ENSJHYG00000007422
zonotrichia_albicollis ENSZALG00000014608
manacus_vitellinus ENSMVIG00005010689
lepidothrix_coronata ENSLCOG00000012117
calidris_pygmaea ENSCPGG00000014347
calidris_pugnax ENSCPUG00000019951
melopsittacus_undulatus ENSMUNG00000008715
nothoprocta_perdicaria ENSNPEG00000001693
nothoprocta_perdicaria ENSNPEG00000001702
apteryx_rowi ENSARWG00000007090
apteryx_rowi ENSARWG00000007093
apteryx_owenii ENSAOWG00000006499
apteryx_owenii ENSAOWG00000006514
apteryx_haastii ENSAHAG00000018186
apteryx_haastii ENSAHAG00000018183
dromaius_novaehollandiae ENSDNVG00000008314
crocodylus_porosus ENSCPRG00005011649
chelonoidis_abingdonii ENSCABG00000001249
chelonoidis_abingdonii ENSCABG00000001238
gopherus_agassizii ENSGAGG00000015490
gopherus_agassizii ENSGAGG00000011095
chrysemys_picta ENSCPBG00000024828
pelodiscus_sinensis ENSPSIG00000004403
pogona_vitticeps ENSPVIG00000022265
anolis_carolinensis ENSACAG00000017406
notechis_scutatus ENSNSUG00000010339
salvator_merianae ENSSMRG00000019090
sphenodon_punctatus ENSSPUG00000001379
xenopus_tropicalis ENSXETG00000007945
lepisosteus_oculatus ENSLOCG00000011537
erpetoichthys_calabaricus ENSECRG00000014172
hucho_hucho ENSHHUG00000023536
hucho_hucho ENSHHUG00000032949
esox_lucius ENSELUG00000017562
seriola_dumerili ENSSDUG00000016537
seriola_lalandi ENSSLDG00000013878
lates_calcarifer ENSLCAG00010006879
scophthalmus_maximus ENSSMAG00000010649
mastacembelus_armatus ENSMAMG00000020588
monopterus_albus ENSMALG00000010198
anabas_testudineus ENSATEG00000016090
larimichthys_crocea ENSLCRG00005008076
labrus_bergylta ENSLBEG00000020899
amphiprion_percula ENSAPEG00000001483
amphiprion_ocellaris ENSAOCG00000020243
acanthochromis_polyacanthus ENSAPOG00000005941
stegastes_partitus ENSSPAG00000018106
mola_mola ENSMMOG00000019264
gasterosteus_aculeatus ENSGACG00000018079
parambassis_ranga ENSPRNG00000026530
betta_splendens ENSBSLG00000005077
hippocampus_comes ENSHCOG00000013062
cynoglossus_semilaevis ENSCSEG00000018056
seriola_lalandi ENSSLDG00000001142
tetraodon_nigroviridis ENSTNIG00000013552
tetraodon_nigroviridis ENSTNIG00000000023
tetraodon_nigroviridis ENSTNIG00000013553
takifugu_rubripes ENSTRUG00000017446
poecilia_latipinna ENSPLAG00000000132
poecilia_mexicana ENSPMEG00000020569
poecilia_formosa ENSPFOG00000005185
poecilia_reticulata ENSPREG00000010373
xiphophorus_maculatus ENSXMAG00000024944
xiphophorus_maculatus ENSXMAG00000024953
xiphophorus_maculatus ENSXMAG00000008804
xiphophorus_couchianus ENSXCOG00000012968
gambusia_affinis ENSGAFG00000019052
fundulus_heteroclitus ENSFHEG00000004380
cyprinodon_variegatus ENSCVAG00000012573
kryptolebias_marmoratus ENSKMAG00000003851
oryzias_latipes ENSORLG00020010325
oryzias_latipes ENSORLG00015007039
oryzias_latipes ENSORLG00000003577
oryzias_melastigma ENSOMEG00000001342
gouania_willdenowi ENSGWIG00000004247
astatotilapia_calliptera ENSACLG00000018098
haplochromis_burtoni ENSHBUG00000008822
maylandia_zebra ENSMZEG00005020342
neolamprologus_brichardi ENSNBRG00000022714
pundamilia_nyererei ENSPNYG00000009719
oreochromis_niloticus ENSONIG00000017327
amphilophus_citrinellus ENSACIG00000015896
periophthalmus_magnuspinnatus ENSPMGG00000021695
gadus_morhua ENSGMOG00000010493
clupea_harengus ENSCHAG00000008203
denticeps_clupeoides ENSDCDG00000035745
astyanax_mexicanus ENSAMXG00000015959
astyanax_mexicanus ENSAMXG00005004401
pygocentrus_nattereri ENSPNAG00000001392
electrophorus_electricus ENSEEEG00000015989
danio_rerio ENSDARG00000056909
paramormyrops_kingsleyae ENSPKIG00000018119
astyanax_mexicanus ENSAMXG00000012474
astyanax_mexicanus ENSAMXG00005011695
pygocentrus_nattereri ENSPNAG00000012443
ictalurus_punctatus ENSIPUG00000010294
electrophorus_electricus ENSEEEG00000004939
danio_rerio ENSDARG00000013847
clupea_harengus ENSCHAG00000023240
denticeps_clupeoides ENSDCDG00000002222
amphiprion_percula ENSAPEG00000024805
amphiprion_ocellaris ENSAOCG00000006328
acanthochromis_polyacanthus ENSAPOG00000013926
stegastes_partitus ENSSPAG00000018539
parambassis_ranga ENSPRNG00000006155
astatotilapia_calliptera ENSACLG00000015280
maylandia_zebra ENSMZEG00005024555
pundamilia_nyererei ENSPNYG00000018649
haplochromis_burtoni ENSHBUG00000010288
haplochromis_burtoni ENSHBUG00000000276
neolamprologus_brichardi ENSNBRG00000007045
oreochromis_niloticus ENSONIG00000009358
amphilophus_citrinellus ENSACIG00000019884
cyprinodon_variegatus ENSCVAG00000021165
fundulus_heteroclitus ENSFHEG00000008277
poecilia_formosa ENSPFOG00000008848
poecilia_mexicana ENSPMEG00000021738
poecilia_latipinna ENSPLAG00000021230
poecilia_reticulata ENSPREG00000017074
xiphophorus_maculatus ENSXMAG00000016482
xiphophorus_couchianus ENSXCOG00000016121
gambusia_affinis ENSGAFG00000021475
kryptolebias_marmoratus ENSKMAG00000003098
seriola_lalandi ENSSLDG00000021153
seriola_dumerili ENSSDUG00000015965
