serinus_canaria ENSSCAG00000014160
lonchura_striata_domestica ENSLSDG00000015991
ficedula_albicollis ENSFALG00000011443
junco_hyemalis ENSJHYG00000016512
zonotrichia_albicollis ENSZALG00000016144
cyanistes_caeruleus ENSCCEG00000015059
lepidothrix_coronata ENSLCOG00000016234
manacus_vitellinus ENSMVIG00005017808
anas_platyrhynchos_platyrhynchos ENSAPLG00000003348
anser_brachyrhynchus ENSABRG00000008012
nothoprocta_perdicaria ENSNPEG00000013731
meleagris_gallopavo ENSMGAG00000013284
coturnix_japonica ENSCJPG00005009156
gallus_gallus ENSGALG00000014843
numida_meleagris ENSNMEG00000022102
taeniopygia_guttata ENSTGUG00000011802
parus_major ENSPMJG00000013683
apteryx_owenii ENSAOWG00000002605
apteryx_haastii ENSAHAG00000008646
apteryx_rowi ENSARWG00000011145
calidris_pygmaea ENSCPGG00000012911
calidris_pugnax ENSCPUG00000017789
melopsittacus_undulatus ENSMUNG00000012672
dromaius_novaehollandiae ENSDNVG00000018291
crocodylus_porosus ENSCPRG00005004990
gopherus_agassizii ENSGAGG00000022727
chelonoidis_abingdonii ENSCABG00000022450
chrysemys_picta_bellii ENSCPBG00000018552
pelodiscus_sinensis ENSPSIG00000012694
anolis_carolinensis ENSACAG00000001702
pogona_vitticeps ENSPVIG00000013776
notechis_scutatus ENSNSUG00000004525
salvator_merianae ENSSMRG00000011838
sphenodon_punctatus ENSSPUG00000009664
notamacropus_eugenii ENSMEUG00000012528
phascolarctos_cinereus ENSPCIG00000012161
monodelphis_domestica ENSMODG00000017714
sarcophilus_harrisii ENSSHAG00000014081
choloepus_hoffmanni ENSCHOG00000000112
dasypus_novemcinctus ENSDNOG00000042158
sus_scrofa ENSSSCG00000004225
vicugna_pacos ENSVPAG00000010497
ovis_aries ENSOARG00000007955
capra_hircus ENSCHIG00000018254
bos_mutus ENSBMUG00000013254
bos_taurus ENSBTAG00000003336
bison_bison_bison ENSBBBG00000010434
tursiops_truncatus ENSTTRG00000002253
erinaceus_europaeus ENSEEUG00000013289
ursus_maritimus ENSUMAG00000001285
ursus_americanus ENSUAMG00000011498
ailuropoda_melanoleuca ENSAMEG00000009638
neovison_vison ENSNVIG00000001878
mustela_putorius_furo ENSMPUG00000014507
canis_lupus_dingo ENSCAFG00020021776
canis_lupus_familiaris ENSCAFG00000001029
vulpes_vulpes ENSVVUG00000000554
panthera_pardus ENSPPRG00000013333
panthera_tigris_altaica ENSPTIG00000017092
felis_catus ENSFCAG00000031827
pteropus_vampyrus ENSPVAG00000005469
equus_asinus_asinus ENSEASG00005009360
equus_caballus ENSECAG00000010643
pan_paniscus ENSPPAG00000027933
pan_troglodytes ENSPTRG00000018572
gorilla_gorilla ENSGGOG00000004847
homo_sapiens ENSG00000111907
pongo_abelii ENSPPYG00000016985
theropithecus_gelada ENSTGEG00000006704
chlorocebus_sabaeus ENSCSAG00000016306
piliocolobus_tephrosceles ENSPTEG00000012299
rhinopithecus_bieti ENSRBIG00000043620
papio_anubis ENSPANG00000022517
cercocebus_atys ENSCATG00000033642
mandrillus_leucophaeus ENSMLEG00000006004
macaca_mulatta ENSMMUG00000003135
macaca_nemestrina ENSMNEG00000013701
macaca_fascicularis ENSMFAG00000040169
rhinopithecus_roxellana ENSRROG00000038296
colobus_angolensis_palliatus ENSCANG00000041705
nomascus_leucogenys ENSNLEG00000013932
cebus_capucinus ENSCCAG00000023800
saimiri_boliviensis_boliviensis ENSSBOG00000033817
callithrix_jacchus ENSCJAG00000003786
aotus_nancymaae ENSANAG00000028803
prolemur_simus ENSPSMG00000003919
microcebus_murinus ENSMICG00000014048
propithecus_coquereli ENSPCOG00000023273
otolemur_garnettii ENSOGAG00000015418
castor_canadensis ENSCCNG00000020019
dipodomys_ordii ENSDORG00000003051
ictidomys_tridecemlineatus ENSSTOG00000009709
spermophilus_dauricus ENSSDAG00000003665
urocitellus_parryii ENSUPAG00010020474
marmota_marmota_marmota ENSMMMG00000016339
mus_spicilegus ENSMSIG00000005733
mus_musculus ENSMUSG00000000296
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015217
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016026
mus_pahari MGP_PahariEiJ_G0023839
rattus_norvegicus ENSRNOG00000021478
meriones_unguiculatus ENSMUGG00000021621
meriones_unguiculatus ENSMUGG00000021628
microtus_ochrogaster ENSMOCG00000014723
peromyscus_maniculatus_bairdii ENSPEMG00000019746
cricetulus_griseus_crigri-picr ENSCGRG00015011152
cricetulus_griseus_chok1gshd ENSCGRG00001021259
cricetulus_griseus_crigri ENSCGRG00000000282
mesocricetus_auratus ENSMAUG00000006546
oryctolagus_cuniculus ENSOCUG00000011858
ochotona_princeps ENSOPRG00000000332
chinchilla_lanigera ENSCLAG00000011312
octodon_degus ENSODEG00000005223
cavia_porcellus ENSCPOG00000013150
cavia_aperea ENSCAPG00000000816
