seriola_dumerili ENSSDUG00000016979
cynoglossus_semilaevis ENSCSEG00000020707
kryptolebias_marmoratus ENSKMAG00000011197
mastacembelus_armatus ENSMAMG00000020757
xiphophorus_couchianus ENSXCOG00000016724
gambusia_affinis ENSGAFG00000000082
fundulus_heteroclitus ENSFHEG00000011637
kryptolebias_marmoratus ENSKMAG00000004151
numida_meleagris ENSNMEG00000013674
gallus_gallus ENSGALG00000048885
cyanistes_caeruleus ENSCCEG00000013740
apteryx_owenii ENSAOWG00000008653
apteryx_haastii ENSAHAG00000014152
apteryx_rowi ENSARWG00000015856
ornithorhynchus_anatinus ENSOANG00000021848
